"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00011","","","","0.6","20","10","5","5","0.7","0.2","33.39805825","4.33498","1.359122","0.896248","182.3823","102.161","21.1398","55.05632","4.982689","7.651853","15.93888","0.462235","0.9","1.5","10","0.14","0.04","0.09","1","0.5","0.5","0.25","0.09","0.045","0.06","0.03","50","60","50","0.300582524","1.555555556","3.111111111","2","4","1.333333333","2.666666667","0.667961165","1.33592233","3.333333333","6.666666667"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00012","","","","2.2","20","11","17","15","1.1","0.3","36.02362205","4.201338","1.487309","1.147587","177.1669","109.5919","31.1534","66.14052","0.951732","2.529326","12.88276","0.244379","1.4","3.6","32","0.064705882","0.02","0.04375","2.909090909","1.6","1.545454545","0.85","0.127272727","0.07","0.2","0.11","53.125","38.88888889","55","0.504330709","2.444444444","4.444444444","3.111111111","5.656565657","4.888888889","8.888888889","1.120734908","2.037699833","8","14.54545455"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00013","","","","0.9","20","7","3","2","0.5","0.1","34.50980392","5.24925","1.718733","1.166017","165.3826","113.5978","53.08222","53.34076","3.446031","5.958639","17.73639","0.353602","0.6","1.5","5","0.166666667","0.05","0.12","0.714285714","0.25","0.428571429","0.15","0.085714286","0.03","0.128571429","0.045","60","40","35","0.207058824","1.111111111","3.174603175","1.333333333","3.80952381","2","5.714285714","0.460130719","1.314659197","3.333333333","9.523809524"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00014","","","","0.3","20","5","0","8","0","0.2","32.46376812","8.037641","2.421144","1.558442","163.4679","148.9284","55.75231","54.49846","1.684218","3.508334","17.45307","0.596795","0.2","0.5","8","","0.025","0.025","1.6","0.4","0","0","0.04","0.01","0.06","0.015","0","40","25","0.064927536","0","0","0.444444444","1.777777778","0.666666667","2.666666667","0.144283414","0.577133655","1.111111111","4.444444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00015","","","","1.3","20","9","3","2","0.4","0.1","36.43564356","5.793366","1.70187","1.104611","149.5319","126.7616","14.87338","58.21752","3.951445","6.230587","9.155471","0.623529","0.5","1.8","5","0.133333333","0.05","0.1","0.555555556","0.25","0.333333333","0.15","0.055555556","0.025","0.144444444","0.065","60","27.77777778","45","0.182178218","0.888888889","1.975308642","1.111111111","2.469135802","2.888888889","6.419753086","0.404840484","0.89964552","4","8.888888889"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00016","","","","4.2","20","11","6","21","1.1","0.6","31.67330677","4.692997","1.728007","1.172522","120.7659","102.697","30.2961","64.3433","2.905727","5.09079","8.532248","0.120421","1.7","5.9","27","0.183333333","0.028571429","0.062962963","2.454545455","1.35","0.545454545","0.3","0.154545455","0.085","0.381818182","0.21","22.22222222","28.81355932","55","0.538446215","2.444444444","4.444444444","3.777777778","6.868686869","9.333333333","16.96969697","1.196547145","2.175540263","13.11111111","23.83838384"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00017","","","","1.8","20","11","9","8","1","0.2","32.73809524","6.296973","2.044056","1.267507","97.10291","112.8855","51.29584","58.31536","2.065245","3.917802","13.14253","0.150726","1.2","3","17","0.111111111","0.025","0.070588235","1.545454545","0.85","0.818181818","0.45","0.109090909","0.06","0.163636364","0.09","52.94117647","40","55","0.392857143","2.222222222","4.04040404","2.666666667","4.848484848","4","7.272727273","0.873015873","1.587301587","6.666666667","12.12121212"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00018","","","","2.2","20","10","12","5","1.2","0.3","32.14990138","5.748085","2.030344","1.213575","129.1259","130.3694","48.04445","58.30559","1.983637","3.838002","14.28607","0.240013","1.5","3.7","17","0.1","0.06","0.088235294","1.7","0.85","1.2","0.6","0.15","0.075","0.22","0.11","70.58823529","40.54054054","50","0.482248521","2.666666667","5.333333333","3.333333333","6.666666667","4.888888889","9.777777778","1.071663379","2.143326759","8.222222222","16.44444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00019","","","","1.9","20","9","3","4","0.3","0.1","31.43418468","4.933556","2.01147","1.258841","185.5688","149.8679","35.86775","51.51682","4.951422","8.087623","13.40856","0.132843","0.4","2.3","7","0.1","0.025","0.057142857","0.777777778","0.35","0.333333333","0.15","0.044444444","0.02","0.211111111","0.095","42.85714286","17.39130435","45","0.125736739","0.666666667","1.481481481","0.888888889","1.975308642","4.222222222","9.382716049","0.279414975","0.620922167","5.111111111","11.35802469"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00020","","","","4","20","13","7","7","0.8","0.3","27.23658052","3.121355","1.932131","1.167678","185.0568","147.6481","38.45202","52.92107","5.62954","8.742127","11.01654","0.254291","1.1","5.1","14","0.114285714","0.042857143","0.078571429","1.076923077","0.7","0.538461538","0.35","0.084615385","0.055","0.307692308","0.2","50","21.56862745","65","0.299602386","1.777777778","2.735042735","2.444444444","3.760683761","8.888888889","13.67521368","0.665783079","1.024281661","11.33333333","17.43589744"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00021","","","","0.5","20","3","0","2","0","0.1","32.01970443","6.414707","2.259676","1.485713","221.972","158.45","32.67513","57.45297","3.232055","5.848734","12.0632","0.443097","0.1","0.6","2","","0.05","0.05","0.666666667","0.1","0","0","0.033333333","0.005","0.166666667","0.025","0","16.66666667","15","0.032019704","0","0","0.222222222","1.481481481","1.111111111","7.407407407","0.071154899","0.474365992","1.333333333","8.888888889"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00022","","","","0.1","20","1","0","0","0","0","","","","","","","","","","","","","0","0.1","0","","","","0","0","0","0","0","0","0.1","0.005","","0","5","","0","0","0","0","0.222222222","4.444444444","","","0.222222222","4.444444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00023","","","","2.8","20","15","5","10","0.2","0.1","34.26294821","4.587774","1.860533","1.336268","242.4825","160.4654","10.58496","56.95223","3.996326","6.87834","12.09432","0.530584","0.3","3.1","15","0.04","0.01","0.02","1","0.75","0.333333333","0.25","0.02","0.015","0.186666667","0.14","33.33333333","9.677419355","75","0.102788845","0.444444444","0.592592593","0.666666667","0.888888889","6.222222222","8.296296296","0.228419655","0.30455954","6.888888889","9.185185185"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00024","","","","2.2","20","9","2","12","0.2","0.1","31.81818182","4.021526","1.590075","1.20974","200.4984","112.8208","18.70779","59.79848","3.833019","6.223177","10.58836","0","0.3","2.5","14","0.1","0.008333333","0.021428571","1.555555556","0.7","0.222222222","0.1","0.033333333","0.015","0.244444444","0.11","14.28571429","12","45","0.095454545","0.444444444","0.987654321","0.666666667","1.481481481","4.888888889","10.86419753","0.212121212","0.471380471","5.555555556","12.34567901"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00025","","","","0.1","20","2","0","1","0","0.1","","","","","","","","","","","","","0.1","0.2","1","","0.1","0.1","0.5","0.05","0","0","0.05","0.005","0.05","0.005","0","50","10","","0","0","0.222222222","2.222222222","0.222222222","2.222222222","","","0.444444444","4.444444444"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00026","","","","0.8","20","11","7","6","0.9","0.2","35.2","5.480555","1.83869","1.244354","129.2152","124.0581","27.10718","61.61112","1.70891","3.863003","11.76299","0","1.1","1.9","13","0.128571429","0.033333333","0.084615385","1.181818182","0.65","0.636363636","0.35","0.1","0.055","0.072727273","0.04","53.84615385","57.89473684","55","0.3872","2","3.636363636","2.444444444","4.444444444","1.777777778","3.232323232","0.860444444","1.564444444","4.222222222","7.676767677"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00027","","","","2.7","20","2","1","3","0.2","0.1","28.65612648","3.077465","1.549561","1.083194","98.65649","90.1405","42.24722","59.54954","2.024845","4.14508","16.33354","0","0.3","3","4","0.2","0.033333333","0.075","2","0.2","0.5","0.05","0.15","0.015","1.35","0.135","25","10","10","0.085968379","0.444444444","4.444444444","0.666666667","6.666666667","6","60","0.191040843","1.910408432","6.666666667","66.66666667"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00028","","","","0.7","20","5","5","5","0.5","0.1","32.20675944","2.852209","1.421157","0.928857","121.5355","85.66864","25.87169","59.33801","4.882459","7.6888","9.74367","0.474261","0.6","1.3","10","0.1","0.02","0.06","2","0.5","1","0.25","0.12","0.03","0.14","0.035","50","46.15384615","25","0.193240557","1.111111111","4.444444444","1.333333333","5.333333333","1.555555556","6.222222222","0.429423459","1.717693837","2.888888889","11.55555556"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00029","","","","2.6","20","15","8","6","0.7","0.2","28.96825397","4.590345","1.478942","0.945128","139.3434","101.5708","37.92645","55.83374","5.297961","8.087218","12.3781","0.290306","0.9","3.5","14","0.0875","0.033333333","0.064285714","0.933333333","0.7","0.533333333","0.4","0.06","0.045","0.173333333","0.13","57.14285714","25.71428571","75","0.260714286","1.555555556","2.074074074","2","2.666666667","5.777777778","7.703703704","0.579365079","0.772486773","7.777777778","10.37037037"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00030","","","","1","20","13","4","9","0.3","0.3","31.11545988","5.391344","1.635092","1.085807","128.7383","100.6924","30.14047","59.34383","2.882646","4.755967","13.0265","0.127764","0.6","1.6","13","0.075","0.033333333","0.046153846","1","0.65","0.307692308","0.2","0.046153846","0.03","0.076923077","0.05","30.76923077","37.5","65","0.186692759","0.666666667","1.025641026","1.333333333","2.051282051","2.222222222","3.418803419","0.414872798","0.638265844","3.555555556","5.47008547"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00031","","","","2.4","20","14","14","8","1","0.2","32.21343874","4.787994","1.68529","1.255322","226.86","138.8179","25.99524","54.64979","4.160482","7.259967","14.96258","0.338288","1.2","3.6","22","0.071428571","0.025","0.054545455","1.571428571","1.1","1","0.7","0.085714286","0.06","0.171428571","0.12","63.63636364","33.33333333","70","0.386561265","2.222222222","3.174603175","2.666666667","3.80952381","5.333333333","7.619047619","0.859025033","1.227178619","8","11.42857143"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00032","","","","4.3","20","14","8","15","0.8","0.3","24.6031746","5.179739","2.066952","1.407834","216.5586","154.8362","29.78413","47.2041","3.708682","6.709455","23.61848","0.479192","1.1","5.4","23","0.1","0.02","0.047826087","1.642857143","1.15","0.571428571","0.4","0.078571429","0.055","0.307142857","0.215","34.7826087","20.37037037","70","0.270634921","1.777777778","2.53968254","2.444444444","3.492063492","9.555555556","13.65079365","0.601410935","0.859158478","12","17.14285714"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00033","","","","2.5","20","9","5","5","0.3","0.1","31.95266272","4.725084","1.706385","1.160887","255.5058","150.3486","14.38983","49.66161","4.515717","7.209253","20.7554","0.764143","0.4","2.9","10","0.06","0.02","0.04","1.111111111","0.5","0.555555556","0.25","0.044444444","0.02","0.277777778","0.125","50","13.79310345","45","0.127810651","0.666666667","1.481481481","0.888888889","1.975308642","5.555555556","12.34567901","0.284023669","0.631163708","6.444444444","14.32098765"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00034","","","","0.6","20","6","0","2","0","0.1","34.41176471","5.687189","1.742996","1.251787","150.7211","116.1804","28.87115","60.3649","2.433155","4.418517","14.20409","0.304668","0.1","0.7","2","","0.05","0.05","0.333333333","0.1","0","0","0.016666667","0.005","0.1","0.03","0","14.28571429","30","0.034411765","0","0","0.222222222","0.740740741","1.333333333","4.444444444","0.076470588","0.254901961","1.555555556","5.185185185"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00035","","","","1.6","20","15","15","10","1.7","0.5","37.25868726","3.74745","1.464202","1.094635","151.0498","107.1877","14.94113","65.4968","2.779511","4.728014","8.561335","0.701638","2.2","3.8","25","0.113333333","0.05","0.088","1.666666667","1.25","1","0.75","0.146666667","0.11","0.106666667","0.08","60","57.89473684","75","0.81969112","3.777777778","5.037037037","4.888888889","6.518518519","3.555555556","4.740740741","1.821535822","2.428714429","8.444444444","11.25925926"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00036","","","","4.4","20","12","16","10","2.7","0.3","36.5234375","4.517227","1.565694","1.103075","149.1528","108.9269","20.88864","65.31503","1.581112","3.171722","10.6786","0.437553","3","7.4","26","0.16875","0.03","0.115384615","2.166666667","1.3","1.333333333","0.8","0.25","0.15","0.366666667","0.22","61.53846154","40.54054054","60","1.095703125","6","10","6.666666667","11.11111111","9.777777778","16.2962963","2.434895833","4.058159722","16.44444444","27.40740741"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00037","","","","4","20","12","4","4","0.4","0.1","32.47524752","4.61269","1.77186","1.330637","167.6111","125.5335","21.06131","59.09673","2.384387","4.732629","14.35797","0.075219","0.5","4.5","8","0.1","0.025","0.0625","0.666666667","0.4","0.333333333","0.2","0.041666667","0.025","0.333333333","0.2","50","11.11111111","60","0.162376238","0.888888889","1.481481481","1.111111111","1.851851852","8.888888889","14.81481481","0.360836084","0.601393473","10","16.66666667"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00038","","","","0.9","20","5","0","0","0","0","","","","","","","","","","","","","0","0.9","0","","","","0","0","0","0","0","0","0.18","0.045","","0","25","","0","0","0","0","2","8","","","2","8"
"","","PEP2012BEU-AT01","","","","","","","","","PEP2012BEU-AT01-00039","","","","3.4","20","12","7","7","0.6","0.2","33.4622824","5.803663","1.974871","1.320682","203.4177","114.3461","17.53149","56.06362","6.017055","9.373438","7.53047","0.582392","0.8","4.2","14","0.085714286","0.028571429","0.057142857","1.166666667","0.7","0.583333333","0.35","0.066666667","0.04","0.283333333","0.17","50","19.04761905","60","0.267698259","1.333333333","2.222222222","1.777777778","2.962962963","7.555555556","12.59259259","0.59488502","0.991475034","9.333333333","15.55555556"
