"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00011","","","","30","40.17","22","61","38","10.29","1.15","11.44","51.61","99","0.168688525","0.030263158","0.115555556","4.5","3.3","2.772727273","2.033333333","0.52","0.381333333","1.825909091","1.339","61.61616162","22.16624685","73.33333333","15.24444444","20.78787879","16.94814815","23.11111111","59.51111111","81.15151515","76.45925926","104.2626263"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00012","","","","30","35.5","26","60","65","6.72","1.78","8.5","44","125","0.112","0.027384615","0.068","4.807692308","4.166666667","2.307692308","2","0.326923077","0.283333333","1.365384615","1.183333333","48","19.31818182","86.66666667","9.955555556","11.48717949","12.59259259","14.52991453","52.59259259","60.68376068","65.18518519","75.21367521"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00013","","","","30","19.44","21","70","46","11.58","1.5","13.08","32.52","116","0.165428571","0.032608696","0.112758621","5.523809524","3.866666667","3.333333333","2.333333333","0.622857143","0.436","0.925714286","0.648","60.34482759","40.22140221","70","17.15555556","24.50793651","19.37777778","27.68253968","28.8","41.14285714","48.17777778","68.82539683"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00014","","","","30","25.52","23","55","40","7.2","1.17","8.37","33.89","95","0.130909091","0.02925","0.088105263","4.130434783","3.166666667","2.391304348","1.833333333","0.363913043","0.279","1.109565217","0.850666667","57.89473684","24.6975509","76.66666667","10.66666667","13.91304348","12.4","16.17391304","37.80740741","49.31400966","50.20740741","65.48792271"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00015","","","","30","21.5","26","26","54","4.31","1.4","5.71","27.21","80","0.165769231","0.025925926","0.071375","3.076923077","2.666666667","1","0.866666667","0.219615385","0.190333333","0.826923077","0.716666667","32.5","20.98493201","86.66666667","6.385185185","7.367521368","8.459259259","9.760683761","31.85185185","36.75213675","40.31111111","46.51282051"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00016","","","","30","29.9","25","18","35","2.02","0.9","2.92","32.82","53","0.112222222","0.025714286","0.05509434","2.12","1.766666667","0.72","0.6","0.1168","0.097333333","1.196","0.996666667","33.96226415","8.897014016","83.33333333","2.992592593","3.591111111","4.325925926","5.191111111","44.2962963","53.15555556","48.62222222","58.34666667"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00017","","","","30","14.93","27","9","50","1.92","1.2","3.12","18.05","59","0.213333333","0.024","0.052881356","2.185185185","1.966666667","0.333333333","0.3","0.115555556","0.104","0.552962963","0.497666667","15.25423729","17.28531856","90","2.844444444","3.160493827","4.622222222","5.135802469","22.11851852","24.57613169","26.74074074","29.71193416"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00018","","","","30","25.36","20","20","35","2.49","0.77","3.26","28.62","55","0.1245","0.022","0.059272727","2.75","1.833333333","1","0.666666667","0.163","0.108666667","1.268","0.845333333","36.36363636","11.39063592","66.66666667","3.688888889","5.533333333","4.82962963","7.244444444","37.57037037","56.35555556","42.4","63.6"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00019","","","","30","13.93","30","100","190","19.02","5.84","24.86","38.79","290","0.1902","0.030736842","0.085724138","9.666666667","9.666666667","3.333333333","3.333333333","0.828666667","0.828666667","0.464333333","0.464333333","34.48275862","64.08868265","100","28.17777778","28.17777778","36.82962963","36.82962963","20.63703704","20.63703704","57.46666667","57.46666667"
"","","PEP2012SPE-AT02","","","","","","","","","PEP2012SPE-AT02-00020","","","","30","24.76","29","150","118","28.15","6.03","34.18","58.94","268","0.187666667","0.051101695","0.127537313","9.24137931","8.933333333","5.172413793","5","1.17862069","1.139333333","0.853793103","0.825333333","55.97014925","57.99117747","96.66666667","41.7037037","43.14176245","50.63703704","52.38314176","36.68148148","37.94636015","87.31851852","90.32950192"
