"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00001","","","","20","2.2","14","8","25","1.72","0.58","27.23658052","6.540813","1.699845","1.17938","45.16333","84.79742","0","64.77251","4.533135","6.799128","5.279339","0.60778","2.3","4.5","33","0.215","0.0232","0.06969697","2.357142857","1.65","0.571428571","0.4","0.164285714","0.115","0.157142857","0.11","24.24242424","51.11111111","70","0.626441352","3.822222222","5.46031746","5.111111111","7.301587302","4.888888889","6.984126984","1.392091893","1.988702705","10","14.28571429"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00002","","","","20","5.52","13","30","25","6.5","0.76","24.60629921","4.452318","1.435502","1.048199","48.89526","96.72627","0","63.91658","4.307513","6.675335","7.919911","0.476715","7.26","12.78","55","0.216666667","0.0304","0.132","4.230769231","2.75","2.307692308","1.5","0.558461538","0.363","0.424615385","0.276","54.54545455","56.80751174","65","1.786417323","14.44444444","22.22222222","16.13333333","24.82051282","12.26666667","18.87179487","3.969816273","6.10740965","28.4","43.69230769"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00003","","","","20","3.94","18","5","50","0.9","1.08","35.11904762","7.093947","1.736782","1.055343","101.8087","107.9253","4.378784","59.33538","2.274392","4.191392","15.63605","0.707069","1.98","5.92","55","0.18","0.0216","0.036","3.055555556","2.75","0.277777778","0.25","0.11","0.099","0.218888889","0.197","9.090909091","33.44594595","90","0.695357143","2","2.222222222","4.4","4.888888889","8.755555556","9.728395062","1.545238095","1.716931217","13.15555556","14.61728395"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00004","","","","20","1.6","17","3","21","0.24","0.44","36.30952381","9.571534","2.08254","1.283317","50.33533","99.5117","0","66.57677","0.24477","1.536353","8.709528","0","0.68","2.28","24","0.08","0.020952381","0.028333333","1.411764706","1.2","0.176470588","0.15","0.04","0.034","0.094117647","0.08","12.5","29.8245614","85","0.246904762","0.533333333","0.62745098","1.511111111","1.777777778","3.555555556","4.183006536","0.548677249","0.645502646","5.066666667","5.960784314"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00005","","","","20","5.78","20","14","39","1.18","0.82","27.55905512","7.119748","2.009584","1.163527","96.24548","123.6261","18.32056","51.80068","6.629775","9.795239","10.14509","1.076625","2","7.78","53","0.084285714","0.021025641","0.037735849","2.65","2.65","0.7","0.7","0.1","0.1","0.289","0.289","26.41509434","25.70694087","100","0.551181102","2.622222222","2.622222222","4.444444444","4.444444444","12.84444444","12.84444444","1.224846894","1.224846894","17.28888889","17.28888889"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00006","","","","20","7.74","20","39","33","6.44","1.1","28.88015717","5.070629","1.64212","1.012551","116.3732","104.456","35.49088","61.88651","2.356093","3.85546","12.85263","0.585015","7.54","15.28","72","0.165128205","0.033333333","0.104722222","3.6","3.6","1.95","1.95","0.377","0.377","0.387","0.387","54.16666667","49.34554974","100","2.177563851","14.31111111","14.31111111","16.75555556","16.75555556","17.2","17.2","4.839030779","4.839030779","33.95555556","33.95555556"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00007","","","","20","3.26","19","16","59","1.08","0.08","18.56287425","9.182519","2.787646","1.278822","140.2501","152.6609","4.110016","38.29827","11.67389","17.76758","8.419475","0.922905","1.16","4.42","75","0.0675","0.001355932","0.015466667","3.947368421","3.75","0.842105263","0.8","0.061052632","0.058","0.171578947","0.163","21.33333333","26.24434389","95","0.215329341","2.4","2.526315789","2.577777778","2.713450292","7.244444444","7.625730994","0.478509647","0.503694366","9.822222222","10.33918129"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00008","","","","20","2.76","14","14","7","1","0.22","22.94117647","10.80473","2.891881","1.655341","91.47852","126.4776","16.48601","49.34132","3.957614","6.76779","12.71442","0.460081","1.22","3.98","21","0.071428571","0.031428571","0.058095238","1.5","1.05","1","0.7","0.087142857","0.061","0.197142857","0.138","66.66666667","30.65326633","70","0.279882353","2.222222222","3.174603175","2.711111111","3.873015873","6.133333333","8.761904762","0.621960784","0.888515406","8.844444444","12.63492063"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00009","","","","20","1.64","16","12","16","1.04","0.42","26.28458498","5.598616","1.870441","1.02875","100.3762","104.9176","23.49121","55.1915","7.25645","10.87373","7.809449","1.105151","1.46","3.1","28","0.086666667","0.02625","0.052142857","1.75","1.4","0.75","0.6","0.09125","0.073","0.1025","0.082","42.85714286","47.09677419","80","0.383754941","2.311111111","2.888888889","3.244444444","4.055555556","3.644444444","4.555555556","0.852788757","1.065985946","6.888888889","8.611111111"
"","","PEP2012PUC-AT01","","","","","","","","","PEP2012PUC-AT01-00010","","","","20","3.42","20","23","16","3.84","0.52","24.15841584","6.887755","2.006127","1.26523","85.98975","92.7222","30.50372","56.06601","3.058456","4.627423","15.43797","0.445233","4.36","7.78","39","0.166956522","0.0325","0.111794872","1.95","1.95","1.15","1.15","0.218","0.218","0.171","0.171","58.97435897","56.04113111","100","1.053306931","8.533333333","8.533333333","9.688888889","9.688888889","7.6","7.6","2.340682068","2.340682068","17.28888889","17.28888889"
