"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00001","","","","30","30","20.16","47","8.74","7.34","179.16","48.65","4","16.08","36.24","0.185957447","1.566666667","1.566666667","0.536","0.536","0.672","0.672","44.37086093","100","27.15449877","4.366443403","12.94814815","12.94814815","23.82222222","23.82222222","29.86666667","29.86666667","6.468805041","6.468805041","53.68888889","53.68888889","0.69"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00002","","","","30","24","23.33","95","34.09","2.56","187.22","32.92","5","36.65","59.98","0.358842105","3.958333333","3.166666667","1.527083333","1.221666667","0.972083333","0.777666667","61.10370123","80","17.5835915","6.444386284","50.5037037","63.12962963","54.2962963","67.87037037","34.56296296","43.2037037","9.547238939","11.93404867","88.85925926","111.0740741","10.5"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00003","","","","30","23","18.21","46","10.4","4.56","185.63","42.26","6","14.96","33.17","0.226086957","2","1.533333333","0.650434783","0.498666667","0.79173913","0.607","45.10099487","76.66666667","22.76571675","3.405751226","15.40740741","20.09661836","22.16296296","28.90821256","26.97777778","35.1884058","5.045557371","6.581161789","49.14074074","64.09661836","5.49"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00004","","","","30","26","27.37","79","22.44","3.8","190.44","45.49","6","26.24","53.61","0.284050633","3.038461538","2.633333333","1.009230769","0.874666667","1.052692308","0.912333333","48.94609215","86.66666667","23.88678849","6.2678933","33.24444444","38.35897436","38.87407407","44.85470085","40.54814815","46.78632479","9.285767851","10.71434752","79.42222222","91.64102564","12.39"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00005","","","","30","22","19.73","19","3.38","3.66","154.81","34.36","6","7.04","26.77","0.177894737","0.863636364","0.633333333","0.32","0.234666667","0.896818182","0.657666667","26.29809488","73.33333333","22.19494865","1.562524385","5.007407407","6.828282828","10.42962963","14.22222222","29.22962963","39.85858586","2.31485094","3.156614919","39.65925926","54.08080808","14.37"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00006","","","","30","28","28.7","92","32.21","3.11","192.74","41.03","5","35.32","64.02","0.350108696","3.285714286","3.066666667","1.261428571","1.177333333","1.025","0.956666667","55.17025929","93.33333333","21.28774515","7.518831587","47.71851852","51.12698413","52.32592593","56.06349206","42.51851852","45.55555556","11.13900976","11.93465331","94.84444444","101.6190476","10.5"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00007","","","","30","19","16.9","46","24.64","1.64","182.9","43.06","6","26.28","43.18","0.535652174","2.421052632","1.533333333","1.383157895","0.876","0.889473684","0.563333333","60.86150996","63.33333333","23.54291963","6.187079278","36.5037037","57.6374269","38.93333333","61.47368421","25.03703704","39.53216374","9.166043375","14.47270007","63.97037037","101.005848","11.03"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00008","","","","30","28","29","67","26.59","2.52","182.4","38.9","6","29.11","58.11","0.396865672","2.392857143","2.233333333","1.039642857","0.970333333","1.035714286","0.966666667","50.09464808","93.33333333","21.32675439","6.208218202","39.39259259","42.20634921","43.12592593","46.20634921","42.96296296","46.03174603","9.197360299","9.854314606","86.08888889","92.23809524","4.61"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00009","","","","30","20","18.67","48","17.94","0.99","173.97","44.52","5","18.93","37.6","0.37375","2.4","1.6","0.9465","0.631","0.9335","0.622333333","50.34574468","66.66666667","25.59061907","4.84430419","26.57777778","39.86666667","28.04444444","42.06666667","27.65925926","41.48888889","7.176746949","10.76512042","55.7037037","83.55555556",""
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00010","","","","30","21","16.71","23","4.05","1.75","192.2","43.99","6","5.8","22.51","0.176086957","1.095238095","0.766666667","0.276190476","0.193333333","0.795714286","0.557","25.76632608","70","22.88761707","1.32748179","6","8.571428571","8.592592593","12.27513228","24.75555556","35.36507937","1.966639689","2.809485269","33.34814815","47.64021164","4.61"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00011","","","","30","26","18.35","97","22.17","5.13","162.49","34.82","5","27.3","45.65","0.228556701","3.730769231","3.233333333","1.05","0.91","0.705769231","0.611666667","59.80284775","86.66666667","21.42901102","5.850120007","32.84444444","37.8974359","40.44444444","46.66666667","27.18518519","31.36752137","8.666844455","10.00020514","67.62962963","78.03418803","14.37"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00012","","","","30","22","17.09","52","20.49","3.68","175.58","35.58","6","24.17","41.26","0.394038462","2.363636364","1.733333333","1.098636364","0.805666667","0.776818182","0.569666667","58.57973825","73.33333333","20.264267","4.897873334","30.35555556","41.39393939","35.80740741","48.82828283","25.31851852","34.52525253","7.256108643","9.894693604","61.12592593","83.35353535","14.37"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00013","","","","30","26","30.73","70","21.46","3.64","177.74","48.12","5","25.1","55.83","0.306571429","2.692307692","2.333333333","0.965384615","0.836666667","1.181923077","1.024333333","44.95790793","86.66666667","27.07325307","6.79538652","31.79259259","36.68376068","37.18518519","42.90598291","45.52592593","52.52991453","10.06723929","11.61604533","82.71111111","95.43589744","7.76"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00014","","","","30","12","12.36","12","2.45","0.6","183.88","43.88","6","3.05","15.41","0.204166667","1","0.4","0.254166667","0.101666667","1.03","0.412","19.79234263","40","23.86338917","0.72783337","3.62962963","9.074074074","4.518518519","11.2962963","18.31111111","45.77777778","1.078271659","2.695679147","22.82962963","57.07407407","7.76"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00015","","","","30","23","23.92","75","35.21","3.13","172.18","38.53","3","38.34","62.26","0.469466667","3.260869565","2.5","1.666956522","1.278","1.04","0.797333333","61.580469","76.66666667","22.37774422","8.579627134","52.16296296","68.03864734","56.8","74.08695652","35.43703704","46.22222222","12.71055872","16.57898963","92.23703704","120.3091787","11.03"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00016","","","","30","29","28.6","51","12.53","3.45","181.67","49.2","5","15.98","44.58","0.245686275","1.75862069","1.7","0.551034483","0.532666667","0.986206897","0.953333333","35.8456707","96.66666667","27.08207189","4.327715088","18.56296296","19.20306513","23.67407407","24.49042146","42.37037037","43.83141762","6.41142976","6.632513545","66.04444444","68.32183908","12.39"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00017","","","","30","29","39.63","51","16.45","2.45","170.06","49.95","5","18.9","58.53","0.32254902","1.75862069","1.7","0.651724138","0.63","1.366551724","1.321","32.29113275","96.66666667","29.37198636","5.551305422","24.37037037","25.21072797","28","28.96551724","58.71111111","60.73563218","8.22415618","8.507747773","86.71111111","89.70114943","0"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00018","","","","30","20","21","56","17.78","5.19","192.76","36.52","4","22.97","43.97","0.3175","2.8","1.866666667","1.1485","0.765666667","1.05","0.7","52.24016375","66.66666667","18.94583939","4.351859307","26.34074074","39.51111111","34.02962963","51.04444444","31.11111111","46.66666667","6.447198973","9.67079846","65.14074074","97.71111111","14.37"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00019","","","","30","20","15.24","37","8.31","4.71","166.02","44.92","6","13.02","28.26","0.224594595","1.85","1.233333333","0.651","0.434","0.762","0.508","46.07218684","66.66666667","27.05698109","3.522818937","12.31111111","18.46666667","19.28888889","28.93333333","22.57777778","33.86666667","5.218991018","7.828486528","41.86666667","62.8","12.39"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00020","","","","30","27","49.88","45","14.19","0.96","187.61","52.16","6","15.15","65.03","0.315333333","1.666666667","1.5","0.561111111","0.505","1.847407407","1.662666667","23.29693987","90","27.80235595","4.212056927","21.02222222","23.35802469","22.44444444","24.9382716","73.8962963","82.10699588","6.240084336","6.93342704","96.34074074","107.0452675","5.49"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00021","","","","30","22","21.48","56","22.35","2.13","175.11","47.42","2","24.48","45.96","0.399107143","2.545454545","1.866666667","1.112727273","0.816","0.976363636","0.716","53.26370757","73.33333333","27.08012107","6.629213637","33.11111111","45.15151515","36.26666667","49.45454545","31.82222222","43.39393939","9.82105724","13.39235078","68.08888889","92.84848485","7.23"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00022","","","","30","28","29.75","110","26.88","3.49","181.52","50.43","3","30.37","60.12","0.244363636","3.928571429","3.666666667","1.084642857","1.012333333","1.0625","0.991666667","50.5156354","93.33333333","27.78206258","8.437412406","39.82222222","42.66666667","44.99259259","48.20634921","44.07407407","47.22222222","12.49987023","13.39271811","89.06666667","95.42857143","11.03"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00023","","","","30","25","10.1","50","20.89","1.36","188.12","47.26","6","22.25","32.35","0.4178","2","1.666666667","0.89","0.741666667","0.404","0.336666667","68.77897991","83.33333333","25.12226239","5.589703381","30.94814815","37.13777778","32.96296296","39.55555556","14.96296296","17.95555556","8.281042046","9.937250455","47.92592593","57.51111111","11.03"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00024","","","","30","29","31.87","104","31.87","3.61","172.66","37.64","5","35.48","67.35","0.306442308","3.586206897","3.466666667","1.223448276","1.182666667","1.098965517","1.062333333","52.6800297","96.66666667","21.8000695","7.734664659","47.21481481","48.84291188","52.56296296","54.37547893","47.21481481","48.84291188","11.45876246","11.8538922","99.77777778","103.2183908","10.5"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00025","","","","30","29","21.13","77","30.12","2.76","166.07","43.2","3","32.88","54.01","0.391168831","2.655172414","2.566666667","1.133793103","1.096","0.72862069","0.704333333","60.87761526","96.66666667","26.01312699","8.553116156","44.62222222","46.16091954","48.71111111","50.3908046","31.3037037","32.38314176","12.67128319","13.10822399","80.01481481","82.77394636","4.61"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00026","","","","30","20","24.38","50","22.46","0.91","175.39","42.82","5","23.37","47.75","0.4492","2.5","1.666666667","1.1685","0.779","1.219","0.812666667","48.94240838","66.66666667","24.41416272","5.705589828","33.27407407","49.91111111","34.62222222","51.93333333","36.11851852","54.17777778","8.452725672","12.67908851","70.74074074","106.1111111","0"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00027","","","","30","18","8.2","29","4.86","1.67","168.79","46.93","6","6.53","14.73","0.167586207","1.611111111","0.966666667","0.362777778","0.217666667","0.455555556","0.273333333","44.33129667","60","27.80377984","1.815586824","7.2","12","9.674074074","16.12345679","12.14814815","20.24691358","2.689758258","4.482930429","21.82222222","36.37037037","7.76"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00028","","","","30","16","3.86","13","2.22","0.97","187.95","43.33","6","3.19","7.05","0.170769231","0.8125","0.433333333","0.199375","0.106333333","0.24125","0.128666667","45.24822695","53.33333333","23.05400372","0.735422719","3.288888889","6.166666667","4.725925926","8.861111111","5.718518519","10.72222222","1.089515139","2.042840886","10.44444444","19.58333333","14.37"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00029","","","","30","26","16.57","49","6.98","7.66","168.81","45.38","6","14.64","31.21","0.14244898","1.884615385","1.633333333","0.563076923","0.488","0.637307692","0.552333333","46.90804229","86.66666667","26.8822937","3.935567798","10.34074074","11.93162393","21.68888889","25.02564103","24.54814815","28.32478632","5.830470812","6.727466322","46.23703704","53.35042735","11.03"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00030","","","","30","25","15.5","50","14.54","2.85","172.42","50.27","5","17.39","32.89","0.2908","2","1.666666667","0.6956","0.579666667","0.62","0.516666667","52.87321374","83.33333333","29.1555504","5.070150215","21.54074074","25.84888889","25.76296296","30.91555556","22.96296296","27.55555556","7.511333651","9.013600381","48.72592593","58.47111111","12.39"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00031","","","","30","27","19.61","73","15.91","2.71","175.51","43.2","5","18.62","38.23","0.217945205","2.703703704","2.433333333","0.68962963","0.620666667","0.726296296","0.653666667","48.70520534","90","24.61398211","4.583123469","23.57037037","26.18930041","27.58518519","30.65020576","29.05185185","32.27983539","6.789812546","7.544236163","56.63703704","62.93004115","12.39"
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00032","","","","30","2","0.53","0","0","0.12","","","","0.12","0.65","","0","0","0.06","0.004","0.265","0.017666667","18.46153846","6.666666667","","","0","0","0.177777778","2.666666667","0.785185185","11.77777778","","","0.962962963","14.44444444",""
"","","PEP2019HUA-PT02","","","","","","","","","PEP2019HUA-PT02-00033","","","","30","21","15.43","88","26.09","2.37","186.6","44.14","4","28.46","43.89","0.296477273","4.19047619","2.933333333","1.355238095","0.948666667","0.734761905","0.514333333","64.843928","70","23.65487674","6.732177921","38.65185185","55.21693122","42.16296296","60.23280423","22.85925926","32.65608466","9.97359692","14.2479956","65.02222222","92.88888889","4.61"
