"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00001","","","","20","14","2.31","16","38","1.89","0.62","24.6031746","4.9584141","0","1.6465968","1.3235626","83.2627411","88.6557922","56.3128967","5.7315326","8.7896891","12.0275173","0.9393179","2.51","4.82","54","0.118125","0.016315789","0.046481481","3.857142857","2.7","1.142857143","0.8","0.179285714","0.1255","0.165","0.1155","29.62962963","52.0746888","70","0.617539682","4.2","6","5.577777778","7.968253968","5.133333333","7.333333333","1.372310405","1.960443436","10.71111111","15.3015873"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00002","","","","20","18","1.74","11","32","1.11","0.46","24.45759369","5.1092224","0","1.7010353","1.3510563","60.1850548","91.533783","56.6894379","5.0837054","7.6266875","10.835907","0.693004","1.57","3.31","43","0.100909091","0.014375","0.036511628","2.388888889","2.15","0.611111111","0.55","0.087222222","0.0785","0.096666667","0.087","25.58139535","47.43202417","90","0.383984221","2.466666667","2.740740741","3.488888889","3.87654321","3.866666667","4.296296296","0.853298269","0.948109187","7.355555556","8.172839506"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00003","","","","20","12","2.69","3","3","0.11","0.09","35.17786561","8.2997694","2.3509817","2.1357083","1.7335411","0","81.5001602","60.9594193","0.055733","0.9038155","11.5785542","0.6630153","0.2","2.89","6","0.036666667","0.03","0.033333333","0.5","0.3","0.25","0.15","0.016666667","0.01","0.224166667","0.1345","50","6.920415225","60","0.070355731","0.244444444","0.407407407","0.444444444","0.740740741","5.977777778","9.962962963","0.156346069","0.260576782","6.422222222","10.7037037"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00004","","","","20","15","2.24","6","0","0.62","0","36.5805169","7.3269591","8.7892332","1.8834629","1.3615842","39.4682693","84.749382","66.3646774","0","0.9884996","8.7178373","0","0.62","2.86","6","0.103333333","","0.103333333","0.4","0.3","0.4","0.3","0.041333333","0.031","0.149333333","0.112","100","21.67832168","75","0.226799205","1.377777778","1.837037037","1.377777778","1.837037037","4.977777778","6.637037037","0.503998233","0.671997644","6.355555556","8.474074074"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00005","","","","20","20","8.71","30","13","4.86","1.13","27.57936508","5.3642302","25.8391552","1.878123","1.2815294","57.0897903","88.6902161","56.2341576","4.287643","6.6581035","12.5518064","0.8280493","5.99","14.7","43","0.162","0.086923077","0.139302326","2.15","2.15","1.5","1.5","0.2995","0.2995","0.4355","0.4355","69.76744186","40.74829932","100","1.652003968","10.8","10.8","13.31111111","13.31111111","19.35555556","19.35555556","3.67111993","3.67111993","32.66666667","32.66666667"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00006","","","","20","18","4.65","18","8","3.46","0.38","30.35019455","4.2711992","23.5891895","1.5947269","1.1394424","42.7196617","76.0013275","58.5152397","3.3577735","5.3452187","12.6040211","0.3633052","3.84","8.49","26","0.192222222","0.0475","0.147692308","1.444444444","1.3","1","0.9","0.213333333","0.192","0.258333333","0.2325","69.23076923","45.22968198","90","1.165447471","7.688888889","8.543209877","8.533333333","9.481481481","10.33333333","11.48148148","2.589883268","2.877648076","18.86666667","20.96296296"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00007","","","","20","11","1.58","10","13","0.38","0.18","32.8125","7.793581","19.3352337","2.2356567","1.5531166","93.7047501","95.9060974","58.2354546","2.1208615","4.2460041","10.5067139","0.3556","0.56","2.14","23","0.038","0.013846154","0.024347826","2.090909091","1.15","0.909090909","0.5","0.050909091","0.028","0.143636364","0.079","43.47826087","26.1682243","55","0.18375","0.844444444","1.535353535","1.244444444","2.262626263","3.511111111","6.383838384","0.408333333","0.742424242","4.755555556","8.646464646"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00008","","","","20","17","2.98","6","47","0.44","0.69","26.42998028","6.3781581","19.0210514","2.1549971","1.3546636","84.7662888","100.8031998","50.6078377","4.9708538","7.9315009","14.0393047","0.5919638","1.13","4.11","53","0.073333333","0.014680851","0.021320755","3.117647059","2.65","0.352941176","0.3","0.066470588","0.0565","0.175294118","0.149","11.32075472","27.49391727","85","0.298658777","0.977777778","1.150326797","2.511111111","2.954248366","6.622222222","7.790849673","0.663686171","0.780807261","9.133333333","10.74509804"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00009","","","","20","17","2.27","23","18","3.25","0.68","27.57936508","4.8835111","30.5437908","1.824947","1.249045","89.2210312","86.1439743","53.5062675","3.2790089","5.0651689","16.2339439","0.6627257","3.93","6.2","41","0.141304348","0.037777778","0.095853659","2.411764706","2.05","1.352941176","1.15","0.231176471","0.1965","0.133529412","0.1135","56.09756098","63.38709677","85","1.083869048","7.222222222","8.496732026","8.733333333","10.2745098","5.044444444","5.934640523","2.408597884","2.833644569","13.77777778","16.20915033"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00010","","","","20","14","1.23","26","8","2.63","0.23","29.28286853","4.7037463","26.8024101","1.6555754","1.1342771","80.7888794","74.3559952","56.9342499","3.0404651","4.8020473","14.8202686","0.3652373","2.86","4.09","34","0.101153846","0.02875","0.084117647","2.428571429","1.7","1.857142857","1.3","0.204285714","0.143","0.087857143","0.0615","76.47058824","69.92665037","70","0.83749004","5.844444444","8.349206349","6.355555556","9.079365079","2.733333333","3.904761905","1.861088978","2.65869854","9.088888889","12.98412698"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00011","","","","20","20","3.26","30","33","4.26","0.85","25.94059406","5.5223069","36.9443169","2.0409851","1.4754025","114.4533157","89.9144592","53.4111481","2.4114041","4.0554185","17.0790844","0.7640364","5.11","8.37","63","0.142","0.025757576","0.081111111","3.15","3.15","1.5","1.5","0.2555","0.2555","0.163","0.163","47.61904762","61.05137395","100","1.325564356","9.466666667","9.466666667","11.35555556","11.35555556","7.244444444","7.244444444","2.94569857","2.94569857","18.6","18.6"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00012","","","","20","17","1.85","37","15","3.81","0.28","32.60869565","4.5114546","30.5837135","1.6009663","1.1587059","132.0135193","84.0504227","60.2876549","2.0946298","3.4489527","15.2247744","0.4929991","4.09","5.94","52","0.102972973","0.018666667","0.078653846","3.058823529","2.6","2.176470588","1.85","0.240588235","0.2045","0.108823529","0.0925","71.15384615","68.85521886","85","1.333695652","8.466666667","9.960784314","9.088888889","10.69281046","4.111111111","4.836601307","2.963768116","3.486786019","13.2","15.52941176"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00013","","","","20","20","3.81","32","29","3.11","0.61","26.53465347","5.1429758","47.6362991","2.1220176","1.4071996","181.2761841","120.2768707","50.9737854","4.2215524","6.7508116","15.7332706","1.0009577","3.72","7.53","61","0.0971875","0.021034483","0.060983607","3.05","3.05","1.6","1.6","0.186","0.186","0.1905","0.1905","52.45901639","49.40239044","100","0.987089109","6.911111111","6.911111111","8.266666667","8.266666667","8.466666667","8.466666667","2.193531354","2.193531354","16.73333333","16.73333333"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00014","","","","20","15","1.47","10","32","1.28","0.91","28.03180915","5.3255062","42.3548737","2.0292168","1.4804599","144.5447083","110.3099289","52.1900406","1.6232088","3.2502186","20.7949085","0.185571","2.19","3.66","42","0.128","0.0284375","0.052142857","2.8","2.1","0.666666667","0.5","0.146","0.1095","0.098","0.0735","23.80952381","59.83606557","75","0.61389662","2.844444444","3.792592593","4.866666667","6.488888889","3.266666667","4.355555556","1.364214712","1.818952949","8.133333333","10.84444444"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00015","","","","20","17","3.71","10","28","0.63","0.47","30.87649402","6.5508337","22.7385769","2.0793378","1.4248788","83.604332","97.1819458","57.7602158","3.7131479","5.7242017","9.3489027","0.6065893","1.1","4.81","38","0.063","0.016785714","0.028947368","2.235294118","1.9","0.588235294","0.5","0.064705882","0.055","0.218235294","0.1855","26.31578947","22.86902287","85","0.339641434","1.4","1.647058824","2.444444444","2.875816993","8.244444444","9.699346405","0.754758743","0.887951462","10.68888889","12.5751634"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00016","","","","20","11","1.65","10","7","0.89","0.16","33.13492063","5.7914982","26.1157532","1.837765","1.2966321","80.0066299","83.5201797","60.8786697","3.7429276","5.5253515","7.6442723","0.3081757","1.05","2.7","17","0.089","0.022857143","0.061764706","1.545454545","0.85","0.909090909","0.5","0.095454545","0.0525","0.15","0.0825","58.82352941","38.88888889","55","0.347916667","1.977777778","3.595959596","2.333333333","4.242424242","3.666666667","6.666666667","0.773148148","1.405723906","6","10.90909091"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00017","","","","20","14","1.31","24","14","1.45","0.24","30.70866142","8.2415638","50.0793457","2.4213963","1.5989912","133.5888214","125.0409546","51.4343567","1.1407441","2.8201716","20.1956253","0.7057626","1.69","3","38","0.060416667","0.017142857","0.044473684","2.714285714","1.9","1.714285714","1.2","0.120714286","0.0845","0.093571429","0.0655","63.15789474","56.33333333","70","0.518976378","3.222222222","4.603174603","3.755555556","5.365079365","2.911111111","4.158730159","1.15328084","1.647544057","6.666666667","9.523809524"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00018","","","","20","19","1.55","25","18","2.83","0.59","27.41617357","8.2043371","52.1957016","2.4527407","1.6239501","109.4568329","120.2521667","50.300354","1.282709","2.8804431","19.9952621","0.3872358","3.42","4.97","43","0.1132","0.032777778","0.079534884","2.263157895","2.15","1.315789474","1.25","0.18","0.171","0.081578947","0.0775","58.13953488","68.81287726","95","0.937633136","6.288888889","6.619883041","7.6","8","3.444444444","3.625730994","2.083629191","2.193293886","11.04444444","11.62573099"
"","","PEP2011MAR-AT01","","","","","","","","","PEP2011MAR-AT01-00019","","","","20","6","3.94","3","16","0.32","0.34","28.79377432","5.8670855","40.1061401","2.2446287","1.5805234","212.4640198","138.5798187","49.9256287","3.6473093","6.3067932","15.5006762","0.4967608","0.66","4.6","19","0.106666667","0.02125","0.034736842","3.166666667","0.95","0.5","0.15","0.11","0.033","0.656666667","0.197","15.78947368","14.34782609","30","0.190038911","0.711111111","2.37037037","1.466666667","4.888888889","8.755555556","29.18518519","0.42230869","1.407695633","10.22222222","34.07407407"
