"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00011","","","","10","7","19","7","6.43","0.33","8.72","23.22015334","6.76","15.48","26","0.338421053","0.047142857","0.26","3.714285714","2.6","2.714285714","1.9","0.965714286","0.676","1.245714286","0.872","73.07692308","43.66925065","70","1.569682366","28.57777778","40.82539683","30.04444444","42.92063492","38.75555556","55.36507937","6.97636607","9.966237243","68.8","98.28571429","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00012","","","","10","7","34","18","5.98","0.74","18.17","20.0228776","6.72","24.89","52","0.175882353","0.041111111","0.129230769","7.428571429","5.2","4.857142857","3.4","0.96","0.672","2.595714286","1.817","65.38461538","26.9987947","70","1.345537375","26.57777778","37.96825397","29.86666667","42.66666667","80.75555556","115.3650794","5.98016611","8.543094443","110.6222222","158.031746","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00013","","","","10","6","10","9","1.56","0.45","14.23","26.76666999","2.01","16.24","19","0.156","0.05","0.105789474","3.166666667","1.9","1.666666667","1","0.335","0.201","2.371666667","1.423","52.63157895","12.37684729","60","0.538010067","6.933333333","11.55555556","8.933333333","14.88888889","63.24444444","105.4074074","2.391155852","3.985259754","72.17777778","120.2962963","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00014","","","","10","6","5","9","1.13","0.26","16.85","26.36444975","1.39","18.24","14","0.226","0.028888889","0.099285714","2.333333333","1.4","0.833333333","0.5","0.231666667","0.139","2.808333333","1.685","35.71428571","7.620614035","60","0.366465852","5.022222222","8.37037037","6.177777778","10.2962963","74.88888889","124.8148148","1.628737118","2.714561863","81.06666667","135.1111111","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00015","","","","10","6","13","7","4.51","0.19","10.71","27.3935773","4.7","15.41","20","0.346923077","0.027142857","0.235","3.333333333","2","2.166666667","1.3","0.783333333","0.47","1.785","1.071","65","30.49967554","60","1.287498133","20.04444444","33.40740741","20.88888889","34.81481481","47.6","79.33333333","5.722213925","9.537023208","68.48888889","114.1481481","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00016","","","","10","7","16","21","4.34","0.89","8.31","27.66432041","5.23","13.54","37","0.27125","0.042380952","0.141351351","5.285714286","3.7","2.285714286","1.6","0.747142857","0.523","1.187142857","0.831","43.24324324","38.62629247","70","1.446843957","19.28888889","27.55555556","23.24444444","33.20634921","36.93333333","52.76190476","6.430417589","9.186310841","60.17777778","85.96825397","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00017","","","","10","6","4","7","1.9","0.23","11.25","31.58207772","2.13","13.38","11","0.475","0.032857143","0.193636364","1.833333333","1.1","0.666666667","0.4","0.355","0.213","1.875","1.125","36.36363636","15.91928251","60","0.672698255","8.444444444","14.07407407","9.466666667","15.77777778","50","83.33333333","2.989770024","4.98295004","59.46666667","99.11111111","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00018","","","","10","6","3","4","1.05","0.17","18.08","31.2368868","1.22","19.3","7","0.35","0.0425","0.174285714","1.166666667","0.7","0.5","0.3","0.203333333","0.122","3.013333333","1.808","42.85714286","6.321243523","60","0.381090019","4.666666667","7.777777778","5.422222222","9.037037037","80.35555556","133.9259259","1.693733418","2.822889029","85.77777778","142.962963","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00019","","","","10","8","9","3","2.41","0.27","14.75","34.7032869","2.68","17.43","12","0.267777778","0.09","0.223333333","1.5","1.2","1.125","0.9","0.335","0.268","1.84375","1.475","75","15.37578887","80","0.930048089","10.71111111","13.38888889","11.91111111","14.88888889","65.55555556","81.94444444","4.133547062","5.166933827","77.46666667","96.83333333","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00020","","","","10","4","4","1","0.86","0.05","5.72","31.28386103","0.91","6.63","5","0.215","0.05","0.182","1.25","0.5","1","0.4","0.2275","0.091","1.43","0.572","80","13.7254902","40","0.284683135","3.822222222","9.555555556","4.044444444","10.11111111","25.42222222","63.55555556","1.265258379","3.163145949","29.46666667","73.66666667","","1"
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00021","","","","10","7","19","16","3.53","0.57","10.65","27.70519597","4.1","14.75","35","0.185789474","0.035625","0.117142857","5","3.5","2.714285714","1.9","0.585714286","0.41","1.521428571","1.065","54.28571429","27.79661017","70","1.135913035","15.68888889","22.41269841","18.22222222","26.03174603","47.33333333","67.61904762","5.048502377","7.212146253","65.55555556","93.65079365","1",""
"","","PEP2013SAT-AT02","","","","","","","","","PEP2013SAT-AT02-00022","","","","10","7","7","7","1.59","0.11","9.82","29.00214646","1.7","11.52","14","0.227142857","0.015714286","0.121428571","2","1.4","1","0.7","0.242857143","0.17","1.402857143","0.982","50","14.75694444","70","0.49303649","7.066666667","10.0952381","7.555555556","10.79365079","43.64444444","62.34920635","2.191273288","3.130390412","51.2","73.14285714","1",""
