"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00050","","","","30","6","3.08","11","2.21","0.75","5","2.96","6.04","0.200909091","1.833333333","0.366666667","0.493333333","0.098666667","0.513333333","0.102666667","49.00662252","20","3.274074074","16.37037037","4.385185185","21.92592593","4.562962963","22.81481481","8.948148148","44.74074074","50.4","13.3","10.2774029","34.7108765","2.8253365","1.7746","172.8710938","143.9462585","52.9849319","2.1580639","4.7049379","12.2845039","0.4640675","26.38888889","0.781111111","1.157201646","5.78600823"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00074","","","","30","11","5.33","6","0.92","0.82","6","1.74","7.07","0.153333333","0.545454545","0.2","0.158181818","0.058","0.484545455","0.177666667","24.61103253","36.66666667","1.362962963","3.717171717","2.577777778","7.03030303","7.896296296","21.53535354","10.47407407","28.56565657","46.5","12.9","9.9492664","71.1515808","2.8109396","1.9479418","184.3978271","149.9838562","47.1235962","1.0227222","3.3891592","20.5389214","0.5858564","27.74193548","0.482709677","0.715125448","1.950342131"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00098","","","","30","22","5.13","45","8.78","2.6","5","11.38","16.51","0.195111111","2.045454545","1.5","0.517272727","0.379333333","0.233181818","0.171","68.92792247","73.33333333","13.00740741","17.73737374","16.85925926","22.98989899","7.6","10.36363636","24.45925926","33.35353535","50.5","11.4","8.2093945","72.4329529","2.7212775","1.6441278","175.9365234","140.7334442","45.44767","6.3385935","10.4858198","12.5560865","1.0969257","22.57425743","2.568950495","3.805852585","5.18979898"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00122","","","","30","17","5.15","21","6.42","1.15","5","7.57","12.72","0.305714286","1.235294118","0.7","0.445294118","0.252333333","0.302941176","0.171666667","59.51257862","56.66666667","9.511111111","16.78431373","11.21481481","19.79084967","7.62962963","13.46405229","18.84444444","33.25490196","50.5","10.9","10.0617304","48.3021545","2.7702312","1.7254705","137.4447021","147.5147095","44.2374916","5.9159994","9.717926","14.92484","0.8482313","21.58415842","1.633920792","2.420623396","4.271688345"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00146","","","","30","13","3.18","21","3.72","1.97","4","5.69","8.87","0.177142857","1.615384615","0.7","0.437692308","0.189666667","0.244615385","0.106","64.14881623","43.33333333","5.511111111","12.71794872","8.42962963","19.45299145","4.711111111","10.87179487","13.14074074","30.32478632","50.3","13.3","8.0896816","53.3267212","2.223639","1.5200129","92.6094971","95.743454","50.090065","3.0698566","5.1783018","18.7054977","0.5535851","26.44135189","1.504512922","2.228908033","5.143633923"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00170","","","","30","22","4.72","28","6.48","1.97","5","8.45","13.17","0.231428571","1.272727273","0.933333333","0.384090909","0.281666667","0.214545455","0.157333333","64.16097191","73.33333333","9.6","13.09090909","12.51851852","17.07070707","6.992592593","9.535353535","19.51111111","26.60606061","50","12.8","8.7900085","54.4250793","2.3459461","1.5768499","109.5596924","123.3725586","53.9176941","2.7741404","5.2414541","15.2911291","0.5628338","25.6","2.1632","3.204740741","4.37010101"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00003","","","","30","25","3.54","30","5.36","2.79","5","8.15","11.69","0.178666667","1.2","1","0.326","0.271666667","0.1416","0.118","69.71770744","83.33333333","7.940740741","9.528888889","12.07407407","14.48888889","5.244444444","6.293333333","17.31851852","20.78222222","50.3","11.1","8.1930447","55.9595032","2.4332306","1.6288242","110.8065186","135.2917786","39.4301758","2.4941587","5.3978839","29.0738106","0.6389608","22.06759443","1.798508946","2.664457698","3.197349238"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00027","","","","30","15","1.89","32","5.29","2.33","5","7.62","9.51","0.1653125","2.133333333","1.066666667","0.508","0.254","0.126","0.063","80.12618297","50","7.837037037","15.67407407","11.28888889","22.57777778","2.8","5.6","14.08888889","28.17777778","51","10.2","8.8816175","58.9563904","2.7269137","1.7000952","195.7253418","147.289856","44.055027","7.7700548","11.9562235","11.6767302","0.8525734","20","1.524","2.257777778","4.515555556"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00051","","","","30","17","4.4","13","2.15","1.64","6","3.79","8.19","0.165384615","0.764705882","0.433333333","0.222941176","0.126333333","0.258823529","0.146666667","46.27594628","56.66666667","3.185185185","5.620915033","5.614814815","9.908496732","6.518518519","11.50326797","12.13333333","21.41176471","50.4","12.6","7.6320591","30.6068115","2.2521949","1.395916","169.3527832","130.1424561","49.7381668","5.0126133","7.8524213","15.4014235","1.2164717","25","0.9475","1.403703704","2.477124183"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00075","","","","30","27","7.71","64","13.29","2.96","4","16.25","23.96","0.20765625","2.37037037","2.133333333","0.601851852","0.541666667","0.285555556","0.257","67.82136895","90","19.68888889","21.87654321","24.07407407","26.74897119","11.42222222","12.69135802","35.4962963","39.44032922","50.6","12.4","6.7810011","61.0122681","1.9350076","1.4138131","96.8492432","98.6177521","46.717907","3.0794735","5.5406508","27.5435562","0.7095051","24.50592885","3.982213439","5.899575465","6.55508385"
"","","PEP2019SAT-PT01","","","","","","","","","PEP2019SAT-PT01-00099","","","","30","19","4.76","31","9.64","1.42","5","11.06","15.82","0.310967742","1.631578947","1.033333333","0.582105263","0.368666667","0.250526316","0.158666667","69.91150442","63.33333333","14.28148148","22.5497076","16.38518519","25.87134503","7.051851852","11.13450292","23.43703704","37.00584795","51.2","12.3","8.6962414","64.4967957","2.3341296","1.4640913","249.6033325","167.5815887","45.5444717","5.7359543","9.6075258","18.48592","0.8913517","24.0234375","2.656992188","3.936284722","6.215186404"
