"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00011","","","","20","3.02","15","10","12","0.87","0.61","30.0990099","4.9055157","1.7668343","1.2056952","37.9145508","102.9202423","24.4820862","66.0380402","1.2915545","3.3989091","10.8327827","0.0889797","1.48","4.5","22","0.087","0.050833333","0.067272727","1.466666667","1.1","0.666666667","0.5","0.098666667","0.074","0.201333333","0.151","45.45454545","32.88888889","75","0.445465347","1.933333333","2.577777778","3.288888889","4.385185185","6.711111111","8.948148148","0.989922992","1.319897323","10","13.33333333"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00012","","","","20","5.4","18","19","17","5.36","0.85","","","","","","","","","","","","","6.21","11.61","36","0.282105263","0.05","0.1725","2","1.8","1.055555556","0.95","0.345","0.3105","0.3","0.27","52.77777778","53.48837209","90","","11.91111111","13.2345679","13.8","15.33333333","12","13.33333333","","","25.8","28.66666667"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00013","","","","20","0.97","11","5","5","0.69","0.17","27.12871287","6.3212156","2.3659589","1.589273","131.2126465","125.6018066","53.7129288","59.5509109","0.6060934","2.453546","14.3563833","0.2749004","0.86","1.83","10","0.138","0.034","0.086","0.909090909","0.5","0.454545455","0.25","0.078181818","0.043","0.088181818","0.0485","50","46.99453552","55","0.233306931","1.533333333","2.787878788","1.911111111","3.474747475","2.155555556","3.919191919","0.518459846","0.942654265","4.066666667","7.393939394"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00014","","","","20","3.64","8","10","2","1.78","0.18","29.7029703","6.4886017","2.3032486","1.4634824","112.7894287","141.6078186","60.3101273","60.2054367","0.4782028","2.4444909","13.8363142","0.457572","1.96","5.6","12","0.178","0.09","0.163333333","1.5","0.6","1.25","0.5","0.245","0.098","0.455","0.182","83.33333333","35","40","0.582178218","3.955555556","9.888888889","4.355555556","10.88888889","8.088888889","20.22222222","1.293729373","3.234323433","12.44444444","31.11111111"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00015","","","","20","0.55","12","1","4","0.17","0.11","32.52595156","5.5838699","1.6884847","1.0961952","55.9892578","105.7100067","9.4201355","67.1462097","2.5245705","4.7676692","5.3642035","0","0.28","0.83","5","0.17","0.0275","0.056","0.416666667","0.25","0.083333333","0.05","0.023333333","0.014","0.045833333","0.0275","20","33.73493976","60","0.091072664","0.377777778","0.62962963","0.622222222","1.037037037","1.222222222","2.037037037","0.202383699","0.337306164","1.844444444","3.074074074"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00016","","","","20","2.35","4","2","3","0.43","0.16","32.60437376","2.596941","1.3671207","1.0277748","86.8579102","103.9008331","30.5513153","69.8256836","1.9812374","4.359108","6.6768723","0.0360689","0.59","2.94","5","0.215","0.053333333","0.118","1.25","0.25","0.5","0.1","0.1475","0.0295","0.5875","0.1175","40","20.06802721","20","0.192365805","0.955555556","4.777777778","1.311111111","6.555555556","5.222222222","26.11111111","0.427479567","2.137397835","6.533333333","32.66666667"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00017","","","","20","0.2","1","","","","","29.46954813","5.9781857","2.1870809","1.4030819","122.5184326","143.6928864","56.1041565","61.6338234","0.7148037","3.072587","14.6644716","0.200634","","","","","","","","","","","","","0.2","0.01","","","5","","","","","","0.444444444","8.888888889","","","",""
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00018","","","","20","3.74","14","19","13","3.72","0.4","","","","","","","","","","","","","4.12","7.86","32","0.195789474","0.030769231","0.12875","2.285714286","1.6","1.357142857","0.95","0.294285714","0.206","0.267142857","0.187","59.375","52.4173028","70","","8.266666667","11.80952381","9.155555556","13.07936508","8.311111111","11.87301587","","","17.46666667","24.95238095"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00019","","","","20","1.23","7","0","6","0","0.17","","","","","","","","","","","","","0.17","1.4","6","","0.028333333","0.028333333","0.857142857","0.3","0","0","0.024285714","0.0085","0.175714286","0.0615","0","12.14285714","35","","0","0","0.377777778","1.079365079","2.733333333","7.80952381","","","3.111111111","8.888888889"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00020","","","","20","1.94","4","1","5","0.13","0.11","","","","","","","","","","","","","0.24","2.18","6","0.13","0.022","0.04","1.5","0.3","0.25","0.05","0.06","0.012","0.485","0.097","16.66666667","11.00917431","20","","0.288888889","1.444444444","0.533333333","2.666666667","4.311111111","21.55555556","","","4.844444444","24.22222222"
"","","PEP2013OVI-AT01","","","","","","","","","PEP2013OVI-AT01-00021","","","","20","1.73","8","9","16","1.14","0.53","27.77777778","5.2391663","1.8858747","1.3313146","73.6829834","106.6251831","33.8644638","63.7102013","0.6898489","2.3865118","13.6214514","0","1.67","3.4","25","0.126666667","0.033125","0.0668","3.125","1.25","1.125","0.45","0.20875","0.0835","0.21625","0.0865","36","49.11764706","40","0.463888889","2.533333333","6.333333333","3.711111111","9.277777778","3.844444444","9.611111111","1.030864198","2.577160494","7.555555556","18.88888889"
