"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00001","","","","20","0","0","0","0","0","0","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00002","","","","20","0","0","0","0","0","0","","","","","","","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","","0","","0","","0","","","","0",""
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00003","","","","20","14","0.32","0","18","0","0.28","33.47457627","10.4450531","8.3402376","2.8380253","1.751327","186.5622406","145.2526398","62.0964508","0.5851043","1.3618777","11.6366625","0.7635247","0.28","0.6","18","","0.015555556","0.015555556","1.285714286","0.9","0","0","0.02","0.014","0.022857143","0.016","0","46.66666667","70","0.093728814","0","0","0.622222222","0.888888889","0.711111111","1.015873016","0.208286252","0.297551789","1.333333333","1.904761905"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00004","","","","20","5","0.41","2","2","0.14","0.1","34.40860215","10.1771202","0","2.4806025","1.5132143","121.4000549","126.6685486","64.8594971","0.4873707","2.1232204","9.3318291","0.23251","0.24","0.65","4","0.07","0.05","0.06","0.8","0.2","0.4","0.1","0.048","0.012","0.082","0.0205","50","36.92307692","25","0.082580645","0.311111111","1.244444444","0.533333333","2.133333333","0.911111111","3.644444444","0.183512545","0.734050179","1.444444444","5.777777778"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00005","","","","20","10","2.53","6","11","0.69","0.21","","","","","","","","","","","","","0.9","3.43","17","0.115","0.019090909","0.052941176","1.7","0.85","0.6","0.3","0.09","0.045","0.253","0.1265","35.29411765","26.23906706","50","","1.533333333","3.066666667","2","4","5.622222222","11.24444444","","","7.622222222","15.24444444"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00006","","","","20","14","9.99","23","27","5.4","0.9","33.07086614","5.6411004","25.7255859","1.9049072","1.0860038","115.3409576","99.7947464","63.2509995","3.0891349","4.6760063","9.4940825","0.5793953","6.3","16.29","50","0.234782609","0.033333333","0.126","3.571428571","2.5","1.642857143","1.15","0.45","0.315","0.713571429","0.4995","46","38.67403315","70","2.083464567","12","17.14285714","14","20","22.2","31.71428571","4.62992126","6.614173228","36.2","51.71428571"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00007","","","","20","14","0.56","1","26","0.28","0.63","27.02020202","5.9533668","15.2101755","2.0249207","1.1533397","130.1474915","94.3106537","55.8036499","4.61377","7.1325011","12.7316437","0.535193","0.91","1.47","27","0.28","0.024230769","0.033703704","1.928571429","1.35","0.071428571","0.05","0.065","0.0455","0.04","0.028","3.703703704","61.9047619","70","0.245883838","0.622222222","0.888888889","2.022222222","2.888888889","1.244444444","1.777777778","0.54640853","0.780583614","3.266666667","4.666666667"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00008","","","","20","7","2.24","3","6","0.48","0.2","29.24528302","8.3919544","13.6236525","2.6223443","1.5600836","124.456459","107.7022781","57.2211113","3.2716939","5.4538741","10.1685963","0.6228397","0.68","2.92","9","0.16","0.033333333","0.075555556","1.285714286","0.45","0.428571429","0.15","0.097142857","0.034","0.32","0.112","33.33333333","23.28767123","35","0.198867925","1.066666667","3.047619048","1.511111111","4.317460317","4.977777778","14.22222222","0.441928721","1.262653489","6.488888889","18.53968254"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00009","","","","20","8","0.38","8","6","0.65","0.26","","","","","","","","","","","","","0.91","1.29","14","0.08125","0.043333333","0.065","1.75","0.7","1","0.4","0.11375","0.0455","0.0475","0.019","57.14285714","70.54263566","40","","1.444444444","3.611111111","2.022222222","5.055555556","0.844444444","2.111111111","","","2.866666667","7.166666667"
"","","PEP2011PUC-AT01","","","","","","","","","PEP2011PUC-AT01-00010","","","","20","8","0.9","10","16","1.22","0.67","28.81944444","6.6269922","17.2784767","2.2664106","1.3745646","138.8459778","113.5449066","60.7439919","2.1695449","3.5734251","12.000432","0.7490732","1.89","2.79","26","0.122","0.041875","0.072692308","3.25","1.3","1.25","0.5","0.23625","0.0945","0.1125","0.045","38.46153846","67.74193548","40","0.5446875","2.711111111","6.777777778","4.2","10.5","2","5","1.210416666","3.026041666","6.2","15.5"
