"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap120"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00011","","","","120","98","124.34","312","463","44.73","16.2","22.75449102","8.47","38.88","2.27","1.51","352.97","187.54","46.22","5.27","9.49","19.74","1.01","60.93","185.27","775","0.143365385","0.034989201","0.078619355","7.908163265","6.458333333","3.183673469","2.6","0.621734694","0.50775","1.26877551","1.036166667","40.25806452","32.88713769","81.66666667","13.86431138","16.56666667","20.28571429","22.56666667","27.63265306","46.05185185","56.39002268","5.13493014","6.287669559","68.61851852","84.02267574","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00012","","","","120","90","91.08","392","644","69.06","28.25","21.98019802","7.76","35.5","2.25","1.64","250.71","159.58","51.47","3.73","7.39","18.82","0.98","97.31","188.39","1036","0.176173469","0.04386646","0.093928571","11.51111111","8.633333333","4.355555556","3.266666667","1.081222222","0.810916667","1.012","0.759","37.83783784","51.65348479","75","21.38893069","25.57777778","34.1037037","36.04074074","48.05432099","33.73333333","44.97777778","7.921826183","10.56243491","69.77407407","93.03209877","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00013","","","","120","92","166.88","70","76","16.57","3.33","35.85657371","5.32","6.88","1.34","1.04","46.56","64.61","71.72","0.96","2.55","8.3","0.42","19.9","186.78","146","0.236714286","0.043815789","0.13630137","1.586956522","1.216666667","0.760869565","0.583333333","0.216304348","0.165833333","1.813913043","1.390666667","47.94520548","10.65424564","76.66666667","7.135458168","6.137037037","8.004830918","7.37037037","9.61352657","61.80740741","80.61835749","2.642762285","3.447081241","69.17777778","90.23188406","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00014","","","","120","96","189.89","52","63","11.21","2.87","35.91269841","7.35","0","1.67","1.28","63.94","83.53","72.02","0.2","1.7","7.36","0.51","14.08","203.97","115","0.215576923","0.045555556","0.122434783","1.197916667","0.958333333","0.541666667","0.433333333","0.146666667","0.117333333","1.978020833","1.582416667","45.2173913","6.902975928","80","5.056507936","4.151851852","5.189814815","5.214814815","6.518518519","70.32962963","87.91203704","1.872780717","2.340975896","75.54444444","94.43055556","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00015","","","","120","100","188.22","100","57","36.99","4.34","34.58498024","5.36","0","1.3","1.18","147.61","101.87","70.28","1.46","3.11","8.23","0.47","41.33","229.55","157","0.3699","0.076140351","0.263248408","1.57","1.308333333","1","0.833333333","0.4133","0.344416667","1.8822","1.5685","63.69426752","18.00479198","83.33333333","14.29397233","13.7","16.44","15.30740741","18.36888889","69.71111111","83.65333333","5.294063827","6.352876593","85.01851852","102.0222222","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00016","","","","120","110","157.69","125","87","34.92","5.64","33.20158103","6.25","0","1.5","1.42","135.69","111.29","74.18","0.33","1.91","6.37","0.48","40.56","198.25","212","0.27936","0.064827586","0.191320755","1.927272727","1.766666667","1.136363636","1.041666667","0.368727273","0.338","1.433545455","1.314083333","58.96226415","20.45901639","91.66666667","13.46656127","12.93333333","14.10909091","15.02222222","16.38787879","58.4037037","63.71313131","4.987615284","5.441034855","73.42592593","80.1010101","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00017","","","","120","70","145.78","55","60","14.11","2.86","23.75249501","5.38","","1.72","1.12","241.23","134.46","47.14","8.63","13.96","15.45","1.2","16.97","162.75","115","0.256545455","0.047666667","0.147565217","1.642857143","0.958333333","0.785714286","0.458333333","0.242428571","0.141416667","2.082571429","1.214833333","47.82608696","10.42703533","58.33333333","4.030798403","5.225925926","8.958730159","6.285185185","10.77460317","53.99259259","92.55873016","1.492888297","2.559237081","60.27777778","103.3333333","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00018","","","","120","84","46.39","12","18","3.8","0.81","22.13438735","8.51","","2.41","1.75","190.64","137.02","46.18","3.88","7.31","23.58","1.3","4.61","51","30","0.316666667","0.045","0.153666667","0.357142857","0.25","0.142857143","0.1","0.054880952","0.038416667","0.552261905","0.386583333","40","9.039215686","70","1.020395257","1.407407407","2.010582011","1.707407407","2.439153439","17.18148148","24.54497354","0.377924169","0.53989167","18.88888889","26.98412698","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00019","","","","120","90","208.2","114","73","35.49","4.25","30.6","5.68","0","1.56","1.22","84.9","91.82","67.08","1.42","3.2","10.62","0.72","39.74","247.94","187","0.311315789","0.058219178","0.212513369","2.077777778","1.558333333","1.266666667","0.95","0.441555556","0.331166667","2.313333333","1.735","60.96256684","16.02807131","75","12.16044","13.14444444","17.52592593","14.71851852","19.62469136","77.11111111","102.8148148","4.503866667","6.005155556","91.82962963","122.4395062","1"
"","","PEP2016HUA-ST01","","","","","","","","","PEP2016HUA-ST01-00020","","","","120","96","198.71","201","72","73.49","4.35","28.48605578","5.82","0","1.58","1.24","112.21","98.81","71.27","1.21","3.27","7.28","0.11","77.84","276.55","273","0.365621891","0.060416667","0.285128205","2.84375","2.275","2.09375","1.675","0.810833333","0.648666667","2.069895833","1.655916667","73.62637363","28.1468089","80","22.17354582","27.21851852","34.02314815","28.82962963","36.03703704","73.5962963","91.99537037","8.212424377","10.26553047","102.4259259","128.0324074","1"
