"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00011","","","","20","20","13.21","58","46","12.86","1.68","32.21343874","5.6480641","24.0455933","1.7689697","1.1846613","146.305191","71.8177948","65.6814194","1.613589","2.9205441","11.0446663","0.0654189","14.54","27.75","104","0.221724138","0.036521739","0.139807692","5.2","5.2","2.9","2.9","0.727","0.727","0.6605","0.6605","55.76923077","52.3963964","100","4.683833993","28.57777778","28.57777778","32.31111111","32.31111111","29.35555556","29.35555556","10.40851998","10.40851998","61.66666667","61.66666667"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00012","","","","20","20","20.75","64","48","27.3","3.65","29.10891089","3.3605764","23.5907612","1.4742291","0.9746898","174.733139","76.8033829","66.1964417","2.7038267","4.3542542","9.3787251","0.0987555","30.95","51.7","112","0.4265625","0.076041667","0.276339286","5.6","5.6","3.2","3.2","1.5475","1.5475","1.0375","1.0375","57.14285714","59.86460348","100","9.00920792","60.66666667","60.66666667","68.77777778","68.77777778","46.11111111","46.11111111","20.02046205","20.02046205","114.8888889","114.8888889"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00013","","","","20","18","6.8","47","116","8.12","3.61","29.07662083","8.4813671","40.8584518","2.4036217","1.4566883","95.7550125","87.0805435","58.8956108","1.2072294","2.0654469","14.451438","0.3168048","11.73","18.53","163","0.172765957","0.03112069","0.07196319","9.055555556","8.15","2.611111111","2.35","0.651666667","0.5865","0.377777778","0.34","28.83435583","63.30275229","90","3.410687623","18.04444444","20.04938272","26.06666667","28.96296296","15.11111111","16.79012346","7.57930583","8.421450922","41.17777778","45.75308642"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00014","","","","20","19","6.56","64","48","13.73","1.93","26.52259332","6.8602295","42.6863899","2.3799863","1.3713024","165.5559082","119.217186","54.5619736","1.787852","2.9310594","18.7571869","0.6741842","15.66","22.22","112","0.21453125","0.040208333","0.139821429","5.894736842","5.6","3.368421053","3.2","0.824210526","0.783","0.345263158","0.328","57.14285714","70.4770477","95","4.153438114","30.51111111","32.11695906","34.8","36.63157895","14.57777778","15.34502924","9.229862475","9.715644711","49.37777778","51.97660819"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00015","","","","20","16","8.8","43","24","7.51","0.93","33.66533865","5.7724009","17.1985493","1.7955978","1.0688806","150.8085632","84.6948624","66.5800629","3.310849","4.8230233","4.5055914","0.3794803","8.44","17.24","67","0.174651163","0.03875","0.125970149","4.1875","3.35","2.6875","2.15","0.5275","0.422","0.55","0.44","64.17910448","48.95591647","80","2.841354582","16.68888889","20.86111111","18.75555556","23.44444444","19.55555556","24.44444444","6.314121293","7.892651617","38.31111111","47.88888889"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00016","","","","20","17","6.78","44","32","11.48","1.73","32.14285714","4.3267365","25.9240246","1.5910591","0.9364228","92.3352737","72.4686661","67.8100739","2.8391521","4.1355634","5.0497122","0.1932824","13.21","19.99","76","0.260909091","0.0540625","0.173815789","4.470588235","3.8","2.588235294","2.2","0.777058824","0.6605","0.398823529","0.339","57.89473684","66.08304152","85","4.246071428","25.51111111","30.0130719","29.35555556","34.53594771","15.06666667","17.7254902","9.435714285","11.10084034","44.42222222","52.26143791"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00017","","","","20","20","8.72","75","71","14","2.22","27.09163347","4.2164397","30.3480968","1.7627699","1.0164374","140.7221375","104.0580063","61.5103188","1.9058934","3.3766747","13.9206829","0.0891969","16.22","24.94","146","0.186666667","0.031267606","0.11109589","7.3","7.3","3.75","3.75","0.811","0.811","0.436","0.436","51.36986301","65.03608661","100","4.394262949","31.11111111","31.11111111","36.04444444","36.04444444","19.37777778","19.37777778","9.765028775","9.765028775","55.42222222","55.42222222"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00018","","","","20","18","21.96","41","56","9.16","3.09","28.17460317","5.638278","27.2787666","2.1583021","1.2152036","156.5962982","117.0027542","59.9371529","2.414026","4.1950307","12.6591663","0.1182092","12.25","34.21","97","0.223414634","0.055178571","0.12628866","5.388888889","4.85","2.277777778","2.05","0.680555556","0.6125","1.22","1.098","42.26804124","35.8082432","90","3.451388888","20.35555556","22.61728395","27.22222222","30.24691358","48.8","54.22222222","7.669753085","8.521947872","76.02222222","84.4691358"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00019","","","","20","15","11.96","23","26","3.67","1.72","30.69306931","4.6409016","27.4011688","1.7849684","1.0709785","178.6460419","109.2937851","60.5059166","2.9306107","4.5943985","11.0948553","0.0929025","5.39","17.35","49","0.159565217","0.066153846","0.11","3.266666667","2.45","1.533333333","1.15","0.359333333","0.2695","0.797333333","0.598","46.93877551","31.06628242","75","1.654356436","8.155555556","10.87407407","11.97777778","15.97037037","26.57777778","35.43703704","3.676347635","4.901796847","38.55555556","51.40740741"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00020","","","","20","20","13.8","52","81","7.72","3.36","28.68525896","5.1902437","29.7470417","1.9581884","1.1301802","156.9120636","99.2860336","56.5239906","3.5397196","5.5052819","12.8384447","0.3885967","11.08","24.88","133","0.148461538","0.041481481","0.083308271","6.65","6.65","2.6","2.6","0.554","0.554","0.69","0.69","39.09774436","44.53376206","100","3.178326693","17.15555556","17.15555556","24.62222222","24.62222222","30.66666667","30.66666667","7.062948206","7.062948206","55.28888889","55.28888889"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00021","","","","20","19","7.47","51","57","14.97","3.98","27.34530938","5.91083","17.6808281","2.0754218","1.2756113","133.776062","103.0681992","62.6596985","1.8039805","2.8520446","11.8317537","0.2994191","18.95","26.42","108","0.293529412","0.069824561","0.175462963","5.684210526","5.4","2.684210526","2.55","0.997368421","0.9475","0.393157895","0.3735","47.22222222","71.72596518","95","5.181936128","33.26666667","35.01754386","42.11111111","44.32748538","16.6","17.47368421","11.51541362","12.12148802","58.71111111","61.80116959"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00022","","","","20","17","12.73","52","34","13.34","1.19","31.67330677","5.4867468","27.0109196","1.8803024","1.1366501","98.3266754","85.5104828","64.481636","1.0619069","1.6403381","11.0361986","0.0905406","14.53","27.26","86","0.256538462","0.035","0.168953488","5.058823529","4.3","3.058823529","2.6","0.854705882","0.7265","0.748823529","0.6365","60.46511628","53.30154072","85","4.602131474","29.64444444","34.87581699","32.28888889","37.9869281","28.28888889","33.28104575","10.22695883","12.03171627","60.57777778","71.26797386"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00023","","","","20","20","6.33","21","32","3.1","0.6","28.51637765","3.8428917","14.770936","1.6941338","1.0872768","134.575882","78.0306168","61.5371895","3.9771788","6.0169654","8.6452417","0.1259407","3.7","10.03","53","0.147619048","0.01875","0.069811321","2.65","2.65","1.05","1.05","0.185","0.185","0.3165","0.3165","39.62264151","36.889332","100","1.055105973","6.888888889","6.888888889","8.222222222","8.222222222","14.06666667","14.06666667","2.34467994","2.34467994","22.28888889","22.28888889"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00024","","","","20","19","10.39","19","133","2.53","3.67","30.31496063","4.6835995","12.4866276","1.8659663","1.0976318","152.2064362","94.5294571","62.3600121","4.4715199","6.3819089","6.4971871","0.3270333","6.2","16.59","152","0.133157895","0.027593985","0.040789474","8","7.6","1","0.95","0.326315789","0.31","0.546842105","0.5195","12.5","37.37191079","95","1.879527559","5.622222222","5.918128655","13.77777778","14.50292398","23.08888889","24.30409357","4.176727909","4.396555694","36.86666667","38.80701754"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00025","","","","20","17","6.5","43","12","10.83","0.77","30.76923077","6.5635333","21.5357342","2.0792832","1.2357819","202.0948334","118.7034225","59.6643867","1.9467033","3.5847609","10.18538","0","11.6","18.1","55","0.251860465","0.064166667","0.210909091","3.235294118","2.75","2.529411765","2.15","0.682352941","0.58","0.382352941","0.325","78.18181818","64.08839779","85","3.569230769","24.06666667","28.31372549","25.77777778","30.32679739","14.44444444","16.99346405","7.931623932","9.331322273","40.22222222","47.32026144"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00026","","","","20","9","6","34","22","9.16","1.24","31.2","7.9285884","19.3851318","2.3580685","1.3452541","185.1425171","128.1374054","59.9262924","1.9691207","3.6535778","10.6182499","0.084726","10.4","16.4","56","0.269411765","0.056363636","0.185714286","6.222222222","2.8","3.777777778","1.7","1.155555556","0.52","0.666666667","0.3","60.71428571","63.41463415","45","3.2448","20.35555556","45.2345679","23.11111111","51.35802469","13.33333333","29.62962963","7.210666667","16.0237037","36.44444444","80.98765432"
"","","PEP2011PIC-AT01","","","","","","","","","PEP2011PIC-AT01-00027","","","","20","17","11.53","46","41","10.75","1.51","32.4853229","4.9035249","20.551218","1.7651269","1.0662537","121.9631119","89.0768051","64.8474121","1.4305831","2.5082977","11.5213718","0.198579","12.26","23.79","87","0.233695652","0.036829268","0.14091954","5.117647059","4.35","2.705882353","2.3","0.721176471","0.613","0.678235294","0.5765","52.87356322","51.53425809","85","3.982700588","23.88888889","28.10457516","27.24444444","32.05228758","25.62222222","30.14379085","8.85044575","10.41228912","52.86666667","62.19607843"
