"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00120","","","","3","1.5","2","4","0.25","0.12","0.37","1.87","6","0.125","0.03","0.061666667","2","0.666666667","0.123333333","0.5","33.33333333","19.78609626","3.703703704","5.481481481","22.22222222","27.7037037"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00121","","","","3","1.52","0","0","0","0","0","1.52","0","","","","0","0","0","0.506666667","","0","0","0","22.51851852","22.51851852"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00122","","","","3","2.03","2","0","0.75","0","0.75","2.78","2","0.375","","0.375","0.666666667","0.666666667","0.25","0.676666667","100","26.97841727","11.11111111","11.11111111","30.07407407","41.18518519"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00123","","","","3","0.29","5","0","0.62","0","0.62","0.91","5","0.124","","0.124","1.666666667","1.666666667","0.206666667","0.096666667","100","68.13186813","9.185185185","9.185185185","4.296296296","13.48148148"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00124","","","","3","2.06","5","3","1.21","0.08","1.29","3.35","8","0.242","0.026666667","0.16125","2.666666667","1.666666667","0.43","0.686666667","62.5","38.50746269","17.92592593","19.11111111","30.51851852","49.62962963"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00125","","","","3","2.03","5","7","0.71","0.16","0.87","2.9","12","0.142","0.022857143","0.0725","4","1.666666667","0.29","0.676666667","41.66666667","30","10.51851852","12.88888889","30.07407407","42.96296296"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00126","","","","3","0.21","1","3","0.19","0.1","0.29","0.5","4","0.19","0.033333333","0.0725","1.333333333","0.333333333","0.096666667","0.07","25","58","2.814814815","4.296296296","3.111111111","7.407407407"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00127","","","","3","1.28","1","5","0.24","0.15","0.39","1.67","6","0.24","0.03","0.065","2","0.333333333","0.13","0.426666667","16.66666667","23.35329341","3.555555556","5.777777778","18.96296296","24.74074074"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00128","","","","3","1.42","2","2","0.25","0.07","0.32","1.74","4","0.125","0.035","0.08","1.333333333","0.666666667","0.106666667","0.473333333","50","18.3908046","3.703703704","4.740740741","21.03703704","25.77777778"
"","","PEP2015ICA-ST01","","","","","","","","","PEP2015ICA-ST01-00129","","","","3","1.08","5","3","0.57","0.09","0.66","1.74","8","0.114","0.03","0.0825","2.666666667","1.666666667","0.22","0.36","62.5","37.93103448","8.444444444","9.777777778","16","25.77777778"
