"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00011","","","","20","13.54","16","42","6","19.83","0.29","3","24.25447316","5.3813381","1.8978181","1.2595682","105.3074951","102.2352448","33.5194321","56.1429024","2.4159079","4.6788058","17.9486084","0.1749763","20.12","33.66","48","0.472142857","0.048333333","0.419166667","3","2.4","2.625","2.1","1.2575","1.006","0.84625","0.677","87.5","59.77421272","80","4.88","44.06666667","55.08333333","44.71111111","55.88888889","30.08888889","37.61111111","10.84444444","13.55555555","74.8","93.5"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00012","","","","20","5.34","12","40","12","11.82","0.68","3","28.82703777","4.846735","1.764245","1.2303305","127.1519775","108.016861","45.815155","60.6906929","1.4424982","3.4495568","16.3317184","0.0354052","12.5","17.84","52","0.2955","0.056666667","0.240384615","4.333333333","2.6","3.333333333","2","1.041666667","0.625","0.445","0.267","76.92307692","70.06726457","60","3.603379721","26.26666667","43.77777778","27.77777778","46.2962963","11.86666667","19.77777778","8.007510492","13.34585082","39.64444444","66.07407407"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00013","","","","20","18.02","11","10","9","5.01","0.83","5","25.04930966","7.3871126","2.4072855","1.5322747","159.3397217","139.8346252","55.582901","51.7585907","1.543416","3.6673923","21.3811646","0.5044355","5.84","23.86","19","0.501","0.092222222","0.307368421","1.727272727","0.95","0.909090909","0.5","0.530909091","0.292","1.638181818","0.901","52.63157895","24.47611065","55","1.462879684","11.13333333","20.24242424","12.97777778","23.5959596","40.04444444","72.80808081","3.250843743","5.910624986","53.02222222","96.4040404"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00014","","","","20","14.51","12","18","9","4.78","0.39","5","27.43538767","4.9342442","1.8739667","1.2541533","104.6514893","123.2710571","69.200592","56.0504303","1.6931486","4.1662359","19.2128124","0.6954584","5.17","19.68","27","0.265555556","0.043333333","0.191481481","2.25","1.35","1.5","0.9","0.430833333","0.2585","1.209166667","0.7255","66.66666667","26.2703252","60","1.418409543","10.62222222","17.7037037","11.48888889","19.14814815","32.24444444","53.74074074","3.152021206","5.253368676","43.73333333","72.88888889"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00015","","","","20","8.28","6","1","2","0.27","0.12","5","32.80318091","5.761137","1.7503848","1.2085061","82.9354248","101.1476898","23.4685059","69.6245575","1.3590927","3.1509647","5.8445244","0","0.39","8.67","3","0.27","0.06","0.13","0.5","0.15","0.166666667","0.05","0.065","0.0195","1.38","0.414","33.33333333","4.498269896","30","0.127932406","0.6","2","0.866666667","2.888888889","18.4","61.33333333","0.284294235","0.947647449","19.26666667","64.22222222"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00016","","","","20","7.12","12","14","13","1.2","0.32","5","32.47011952","5.9932041","1.7847137","1.2363071","122.6083984","118.6331329","17.75177","67.800621","1.8767796","4.1928992","7.7058344","0.1130896","1.52","8.64","27","0.085714286","0.024615385","0.056296296","2.25","1.35","1.166666667","0.7","0.126666667","0.076","0.593333333","0.356","51.85185185","17.59259259","60","0.493545817","2.666666667","4.444444444","3.377777778","5.62962963","15.82222222","26.37037037","1.096768482","1.827947469","19.2","32"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00017","","","","20","14.91","16","29","10","5.98","0.27","4","27.38095238","4.8348866","1.9191933","1.225215","74.8793945","104.9394073","53.4286499","59.4495087","1.6415358","3.5714626","15.5068197","0.2399054","6.25","21.16","39","0.206206897","0.027","0.16025641","2.4375","1.95","1.8125","1.45","0.390625","0.3125","0.931875","0.7455","74.35897436","29.536862","80","1.711309524","13.28888889","16.61111111","13.88888889","17.36111111","33.13333333","41.41666667","3.802910053","4.753637566","47.02222222","58.77777778"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00018","","","","20","7.39","14","31","10","5.37","1.01","4","24.95049505","5.5940819","2.1386905","1.2932725","85.9766846","122.2977905","58.7983551","55.1622314","2.4877262","4.9535141","18.3971577","0.5590801","6.38","13.77","41","0.173225806","0.101","0.155609756","2.928571429","2.05","2.214285714","1.55","0.455714286","0.319","0.527857143","0.3695","75.6097561","46.33260712","70","1.591841584","11.93333333","17.04761905","14.17777778","20.25396825","16.42222222","23.46031746","3.537425743","5.053465347","30.6","43.71428571"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00019","","","","20","8.47","8","4","8","0.61","0.23","5","28.2306163","4.3571835","1.9487042","1.2310424","172.3150635","132.1296844","49.3456879","55.4781418","3.4761953","6.1526237","12.8183241","0.274087","0.84","9.31","12","0.1525","0.02875","0.07","1.5","0.6","0.5","0.2","0.105","0.042","1.05875","0.4235","33.33333333","9.022556391","40","0.237137177","1.355555556","3.388888889","1.866666667","4.666666667","18.82222222","47.05555556","0.526971504","1.317428761","20.68888889","51.72222222"
"","","PEP2013POC-AT01","","","","","","","","","PEP2013POC-AT01-00020","","","","20","2.5","12","19","10","4.41","0.49","5","28.45849802","4.5530777","2.0934715","1.3297868","188.4744873","141.9253235","46.0539551","55.9318161","2.6752615","5.1192122","14.235157","0.3709192","4.9","7.4","29","0.232105263","0.049","0.168965517","2.416666667","1.45","1.583333333","0.95","0.408333333","0.245","0.208333333","0.125","65.51724138","66.21621622","60","1.394466403","9.8","16.33333333","10.88888889","18.14814815","5.555555556","9.259259259","3.098814229","5.164690381","16.44444444","27.40740741"
