"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00011","","","","10","6","15","35","7.16","2.75","15.41","","9.91","25.32","50","0.477333333","0.078571429","0.1982","8.333333333","5","2.5","1.5","1.651666667","0.991","2.568333333","1.541","30","39.13902054","60","","31.82222222","53.03703704","44.04444444","73.40740741","68.48888889","114.1481481","","","112.5333333","187.5555556","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00012","","","","10","5","18","17","8.8","1.31","5.58","17.86711891","10.11","15.69","35","0.488888889","0.077058824","0.288857143","7","3.5","3.6","1.8","2.022","1.011","1.116","0.558","51.42857143","64.43594646","50","1.806365722","39.11111111","78.22222222","44.93333333","89.86666667","24.8","49.6","8.028292097","16.05658419","69.73333333","139.4666667","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00013","","","","10","2","8","1","3.55","0.13","6.48","20.50733648","3.68","10.16","9","0.44375","0.13","0.408888889","4.5","0.9","4","0.8","1.84","0.368","3.24","0.648","88.88888889","36.22047244","20","0.754669982","15.77777778","78.88888889","16.35555556","81.77777778","28.8","144","3.354088811","16.77044405","45.15555556","225.7777778","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00014","","","","10","5","8","5","3.5","0.3","2.5","20.32293432","3.8","6.3","13","0.4375","0.06","0.292307692","2.6","1.3","1.6","0.8","0.76","0.38","0.5","0.25","61.53846154","60.31746032","50","0.772271504","15.55555556","31.11111111","16.88888889","33.77777778","11.11111111","22.22222222","3.432317796","6.864635593","28","56","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00015","","","","10","5","11","16","4.29","1.16","9.41","20.52416948","5.45","14.86","27","0.39","0.0725","0.201851852","5.4","2.7","2.2","1.1","1.09","0.545","1.882","0.941","40.74074074","36.6756393","50","1.118567237","19.06666667","38.13333333","24.22222222","48.44444444","41.82222222","83.64444444","4.971409941","9.942819881","66.04444444","132.0888889","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00016","","","","10","3","13","7","3.15","0.35","4.45","21.70392449","3.5","7.95","20","0.242307692","0.05","0.175","6.666666667","2","4.333333333","1.3","1.166666667","0.35","1.483333333","0.445","65","44.02515723","30","0.759637357","14","46.66666667","15.55555556","51.85185185","19.77777778","65.92592593","3.376166032","11.25388677","35.33333333","117.7777778","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00017","","","","10","3","6","4","3.28","0.15","4.69","25.44685088","3.43","8.12","10","0.546666667","0.0375","0.343","3.333333333","1","2","0.6","1.143333333","0.343","1.563333333","0.469","60","42.24137931","30","0.872826985","14.57777778","48.59259259","15.24444444","50.81481481","20.84444444","69.48148148","3.879231045","12.93077015","36.08888889","120.2962963","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00018","","","","10","6","7","0","1.9","0","7.63","26.60113196","1.9","9.53","7","0.271428571","","0.271428571","1.166666667","0.7","1.166666667","0.7","0.316666667","0.19","1.271666667","0.763","100","19.93704092","60","0.505421507","8.444444444","14.07407407","8.444444444","14.07407407","33.91111111","56.51851852","2.24631781","3.743863017","42.35555556","70.59259259","1",""
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00019","","","","10","5","3","4","1.98","0.16","3.05","27.88179786","2.14","5.19","7","0.66","0.04","0.305714286","1.4","0.7","0.6","0.3","0.428","0.214","0.61","0.305","42.85714286","41.23314066","50","0.596670474","8.8","17.6","9.511111111","19.02222222","13.55555556","27.11111111","2.651868774","5.303737548","23.06666667","46.13333333","","1"
"","","PEP2013PIU-AT02","","","","","","","","","PEP2013PIU-AT02-00020","","","","10","1","1","0","0.9","0","1.11","25.08123781","0.9","2.01","1","0.9","","0.9","1","0.1","1","0.1","0.9","0.09","1.11","0.111","100","44.7761194","10","0.22573114","4","40","4","40","4.933333333","49.33333333","1.003249512","10.03249512","8.933333333","89.33333333","","1"
