"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00011","","","","20","14","2.1","16","18","3.7","1.1","33.13609467","3.286114","31.1615257","1.3239505","0.9115483","106.1084137","69.5313644","62.3848495","2.4457531","4.0133786","13.5540895","0.1455387","4.8","6.9","34","0.23125","0.061111111","0.141176471","2.428571429","1.7","1.142857143","0.8","0.342857143","0.24","0.15","0.105","47.05882353","69.56521739","70","1.590532544","8.222222222","11.74603175","10.66666667","15.23809524","4.666666667","6.666666667","3.534516765","5.049309664","15.33333333","21.9047619"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00012","","","","20","20","1.3","28","18","5.7","0.8","31.33732535","4.3076272","27.2129269","1.5712644","1.0273708","148.5637512","94.3226395","61.4132843","2.2423182","3.9417596","13.3928471","0","6.5","7.8","46","0.203571429","0.044444444","0.141304348","2.3","2.3","1.4","1.4","0.325","0.325","0.065","0.065","60.86956522","83.33333333","100","2.036926148","12.66666667","12.66666667","14.44444444","14.44444444","2.888888889","2.888888889","4.526502551","4.526502551","17.33333333","17.33333333"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00013","","","","20","17","2.2","19","12","2.3","0.5","27.32673267","6.2774987","40.5708046","2.2308526","1.3597919","169.1826782","119.6734009","53.1206779","3.6295846","6.1706362","15.0733252","0.7550935","2.8","5","31","0.121052632","0.041666667","0.090322581","1.823529412","1.55","1.117647059","0.95","0.164705882","0.14","0.129411765","0.11","61.29032258","56","85","0.765148515","5.111111111","6.013071895","6.222222222","7.320261438","4.888888889","5.751633987","1.700330033","2.000388274","11.11111111","13.07189542"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00014","","","","20","16","0.3","8","14","0.9","0.5","29.13385827","5.557775","43.0495758","2.0306933","1.3152388","155.1092987","109.4950409","58.4037437","1.1215167","2.1567652","15.5498486","0.5497137","1.4","1.7","22","0.1125","0.035714286","0.063636364","1.375","1.1","0.5","0.4","0.0875","0.07","0.01875","0.015","36.36363636","82.35294118","80","0.407874016","2","2.5","3.111111111","3.888888889","0.666666667","0.833333333","0.906386702","1.132983377","3.777777778","4.722222222"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00015","","","","20","14","1","10","11","1.3","0.3","33.33333333","3.9118984","18.3488064","1.4583284","0.9844877","114.3370132","84.2211304","64.4199448","4.0130196","6.2075009","6.1512547","0.2561921","1.6","2.6","21","0.13","0.027272727","0.076190476","1.5","1.05","0.714285714","0.5","0.114285714","0.08","0.071428571","0.05","47.61904762","61.53846154","70","0.533333333","2.888888889","4.126984127","3.555555556","5.079365079","2.222222222","3.174603175","1.185185185","1.693121693","5.777777778","8.253968254"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00016","","","","20","13","1","13","7","1.8","0.1","37.47572816","5.6111579","15.054142","1.6848766","1.1394379","140.5014496","100.7319717","69.119339","2.3011019","3.8179564","4.4337387","0.255253","1.9","2.9","20","0.138461538","0.014285714","0.095","1.538461538","1","1","0.65","0.146153846","0.095","0.076923077","0.05","65","65.51724138","65","0.712038835","4","6.153846154","4.222222222","6.495726496","2.222222222","3.418803419","1.582308522","2.434320804","6.444444444","9.914529915"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00017","","","","20","17","1.2","13","22","2.1","0.5","28.37573386","8.2137737","42.6640854","2.4778657","1.4139986","140.1272736","129.1112518","52.9358864","2.9356112","5.010798","15.1623363","0.8412462","2.6","3.8","35","0.161538462","0.022727273","0.074285714","2.058823529","1.75","0.764705882","0.65","0.152941176","0.13","0.070588235","0.06","37.14285714","68.42105263","85","0.73776908","4.666666667","5.490196078","5.777777778","6.797385621","2.666666667","3.137254902","1.639486845","1.928808053","8.444444444","9.934640523"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00018","","","","20","14","2","3","2","0.5","0.1","30.75435203","6.4559674","45.2562599","2.116261","1.2173923","117.8038712","123.5408325","59.428894","2.1523657","3.8913548","11.5282202","0","0.6","2.6","5","0.166666667","0.05","0.12","0.357142857","0.25","0.214285714","0.15","0.042857143","0.03","0.142857143","0.1","60","23.07692308","70","0.184526112","1.111111111","1.587301587","1.333333333","1.904761905","4.444444444","6.349206349","0.410058027","0.585797182","5.777777778","8.253968254"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00019","","","","20","8","1.3","5","13","0.8","0.3","27.64705882","4.0876312","37.2237663","1.9933017","1.1329451","226.048172","139.4767609","44.6639099","7.1454654","11.1337175","14.5609465","0.67963","1.1","2.4","18","0.16","0.023076923","0.061111111","2.25","0.9","0.625","0.25","0.1375","0.055","0.1625","0.065","27.77777778","45.83333333","40","0.304117647","1.777777778","4.444444444","2.444444444","6.111111111","2.888888889","7.222222222","0.675816993","1.689542483","5.333333333","13.33333333"
"","","PEP2011OVI-AT01","","","","","","","","","PEP2011OVI-AT01-00020","","","","20","14","0.2","10","13","1","0.4","17.29622266","4.7245488","33.7937202","2.8968275","1.2805637","278.2748718","147.0444489","34.3518562","10.5527897","15.072896","10.3239756","0.8936205","1.4","1.6","23","0.1","0.030769231","0.060869565","1.642857143","1.15","0.714285714","0.5","0.1","0.07","0.014285714","0.01","43.47826087","87.5","70","0.242147117","2.222222222","3.174603175","3.111111111","4.444444444","0.444444444","0.634920635","0.538104705","0.768721007","3.555555556","5.079365079"
