"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00011","","","","3","3","3.16","0","8","0","0.37","7","","","","","","","","","","","","","","","0.37","3.53","8","","0.04625","0.04625","2.666666667","2.666666667","0","0","0.123333333","0.123333333","1.053333333","1.053333333","0","10.4815864","100","","0","0","5.481481481","5.481481481","46.81481481","46.81481481","","","52.2962963","52.2962963"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00012","","","","3","1","0.5","1","2","0.25","0.12","6","5.9076424","31.6750183","1.9630108","1.2954454","132.7241211","99.4862823","51.6729584","6.747159","10.3008823","13.0399485","0.7247982","50.7","11.9","23.47140039","0.37","0.87","3","0.25","0.06","0.123333333","3","1","1","0.333333333","0.37","0.123333333","0.5","0.166666667","33.33333333","42.52873563","33.33333333","0.086844181","3.703703704","11.11111111","5.481481481","16.44444444","7.407407407","22.22222222","1.286580466","3.859741398","12.88888889","38.66666667"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00013","","","","3","1","1.75","3","9","0.55","0.59","5","7.2985792","69.5952301","2.3248918","1.5388913","197.7096558","120.5139771","43.6090393","4.8701057","7.6465182","22.7211189","0.5187588","50.5","10.3","20.3960396","1.14","2.89","12","0.183333333","0.065555556","0.095","12","4","3","1","1.14","0.38","1.75","0.583333333","25","39.44636678","33.33333333","0.232514851","8.148148148","24.44444444","16.88888889","50.66666667","25.92592593","77.77777778","3.444664466","10.3339934","42.81481481","128.4444444"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00014","","","","3","3","3.54","11","6","4.25","0.23","5","7.30021","37.7247162","2.3350306","1.4917254","225.8768311","123.5719604","46.6711731","5.8936739","9.6006422","14.8483076","0.0806952","50.5","11.6","22.97029703","4.48","8.02","17","0.386363636","0.038333333","0.263529412","5.666666667","5.666666667","3.666666667","3.666666667","1.493333333","1.493333333","1.18","1.18","64.70588235","55.86034913","100","1.029069307","62.96296296","62.96296296","66.37037037","66.37037037","52.44444444","52.44444444","15.24547121","15.24547121","118.8148148","118.8148148"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00015","","","","3","2","0.84","3","4","0.65","0.23","6","6.2413359","63.469223","2.2846918","1.4287682","157.6505127","105.7756805","41.7455673","6.8709249","10.6025763","18.0057125","0.8598337","50.1","10.8","21.55688623","0.88","1.72","7","0.216666667","0.0575","0.125714286","3.5","2.333333333","1.5","1","0.44","0.293333333","0.42","0.28","42.85714286","51.1627907","66.66666667","0.189700599","9.62962963","14.44444444","13.03703704","19.55555556","12.44444444","18.66666667","2.810379242","4.215568862","25.48148148","38.22222222"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00016","","","","3","3","2.83","10","7","1.83","0.27","5","7.9781685","41.1870575","2.1762671","1.3778434","144.4838867","132.7294464","55.6016083","3.416502","6.6246076","14.0375633","0.1631317","50.3","12.3","24.45328032","2.1","4.93","17","0.183","0.038571429","0.123529412","5.666666667","5.666666667","3.333333333","3.333333333","0.7","0.7","0.943333333","0.943333333","58.82352941","42.59634888","100","0.513518887","27.11111111","27.11111111","31.11111111","31.11111111","41.92592593","41.92592593","7.60768721","7.60768721","73.03703704","73.03703704"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00017","","","","3","3","1.53","17","5","4.18","0.24","5","4.8895035","50.7619858","1.8493028","1.2315221","160.7901611","97.5510406","52.9696617","4.2268553","6.8570943","17.2305584","0.2262325","50","11.2","22.4","4.42","5.95","22","0.245882353","0.048","0.200909091","7.333333333","7.333333333","5.666666667","5.666666667","1.473333333","1.473333333","0.51","0.51","77.27272727","74.28571429","100","0.99008","61.92592593","61.92592593","65.48148148","65.48148148","22.66666667","22.66666667","14.66785185","14.66785185","88.14814815","88.14814815"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00018","","","","3","3","4.41","7","5","1.78","0.2","5","7.9387169","50.2986526","2.2580402","1.5976954","240.7885742","144.8887329","44.6612396","3.5846767","6.9472098","23.0596447","0","50","9.8","19.6","1.98","6.39","12","0.254285714","0.04","0.165","4","4","2.333333333","2.333333333","0.66","0.66","1.47","1.47","58.33333333","30.98591549","100","0.38808","26.37037037","26.37037037","29.33333333","29.33333333","65.33333333","65.33333333","5.749333333","5.749333333","94.66666667","94.66666667"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00019","","","","3","3","1.43","4","8","0.7","0.41","6","6.185545","69.4731903","2.1921895","1.4925594","186.9747314","112.3579865","39.9223785","5.6259947","8.6531944","24.1216698","0.4816017","50.5","11.8","23.36633663","1.11","2.54","12","0.175","0.05125","0.0925","4","4","1.333333333","1.333333333","0.37","0.37","0.476666667","0.476666667","33.33333333","43.7007874","100","0.259366337","10.37037037","10.37037037","16.44444444","16.44444444","21.18518519","21.18518519","3.842464246","3.842464246","37.62962963","37.62962963"
"","","PEP2017CAN-OT01","","","","","","","","","PEP2017CAN-OT01-00020","","","","3","3","3.69","6","14","2.48","0.44","6","5.8484764","61.1149368","2.1899841","1.4764171","164.0150146","135.0170441","46.6893387","1.8299799","3.7958865","26.5315742","0.2537823","50.2","10.7","21.31474104","2.92","6.61","20","0.413333333","0.031428571","0.146","6.666666667","6.666666667","2","2","0.973333333","0.973333333","1.23","1.23","30","44.17549168","100","0.622390438","36.74074074","36.74074074","43.25925926","43.25925926","54.66666667","54.66666667","9.220599085","9.220599085","97.92592593","97.92592593"
