"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00011","","","","3","3","2.23","11","2.2","0.69","5","5.8120689","50.5976181","2.3979511","1.4582639","115.3566895","101.9273071","38.5644341","7.5500441","11.3175611","20.4630585","0.9473648","50.4","10.1","20.03968254","2.89","5.12","0.2","3.666666667","3.666666667","0.963333333","0.963333333","0.743333333","0.743333333","56.4453125","100","0.579146825","32.59259259","32.59259259","42.81481481","42.81481481","33.03703704","33.03703704","8.579952969","8.579952969","75.85185185","75.85185185"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00012","","","","3","3","4.58","8","0.92","0.66","5","6.5943909","3.9810028","1.7412133","1.2006259","110.2817383","83.9636536","68.7414856","2.1659565","3.8935189","4.4733801","0.1041155","41.3","14.5","35.10895884","1.58","6.16","0.115","2.666666667","2.666666667","0.526666667","0.526666667","1.526666667","1.526666667","25.64935065","100","0.55472155","13.62962963","13.62962963","23.40740741","23.40740741","67.85185185","67.85185185","8.218097032","8.218097032","91.25925926","91.25925926"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00013","","","","3","3","1.26","11","3.23","0.24","5","5.4456139","20.8696442","2.0436773","1.3142209","137.8470459","91.0707397","55.332634","5.9161901","9.0003471","8.7476282","0.4110308","50.8","12.6","24.80314961","3.47","4.73","0.293636364","3.666666667","3.666666667","1.156666667","1.156666667","0.42","0.42","73.3615222","100","0.860669291","47.85185185","47.85185185","51.40740741","51.40740741","18.66666667","18.66666667","12.75065617","12.75065617","70.07407407","70.07407407"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00014","","","","3","3","2.16","12","3.9","0.23","5","5.5471039","38.9804611","1.8080673","1.1560264","94.7362061","78.0742493","55.7319489","4.2036562","6.4730611","13.8428907","0.479414","50.3","13.7","27.23658052","4.13","6.29","0.325","4","4","1.376666667","1.376666667","0.72","0.72","65.65977742","100","1.124870775","57.77777778","57.77777778","61.18518519","61.18518519","32","32","16.66475223","16.66475223","93.18518519","93.18518519"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00015","","","","3","2","2.17","9","2.4","0.1","5","7.7219028","62.0022736","2.5398583","1.4713635","97.9864502","110.818634","35.4867859","5.8281412","8.9493914","25.691288","0.7765303","50.6","10.4","20.55335968","2.5","4.67","0.266666667","4.5","3","1.25","0.833333333","1.085","0.723333333","53.53319058","66.66666667","0.513833992","35.55555556","53.33333333","37.03703704","55.55555556","32.14814815","48.22222222","7.612355438","11.41853316","69.18518519","103.7777778"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00016","","","","3","2","1.98","9","3.69","0.44","5","5.5269737","18.182373","1.8911028","1.3632813","107.3106689","91.381897","61.7105179","1.7963104","3.6877198","12.7830791","0.0111017","50.7","14.7","28.99408284","4.13","6.11","0.41","4.5","3","2.065","1.376666667","0.99","0.66","67.59410802","66.66666667","1.197455621","54.66666667","82","61.18518519","91.77777778","29.33333333","44","17.74008328","26.61012492","90.51851852","135.7777778"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00017","","","","3","2","3.3","4","2.66","0.45","5","4.2615242","30.9219818","1.7981076","1.174921","128.0612793","92.2898254","54.474823","6.0769453","9.0797863","8.8580513","0.480792","50.3","11.3","22.46520875","3.11","6.41","0.665","2","1.333333333","1.555","1.036666667","1.65","1.1","48.51794072","66.66666667","0.698667992","39.40740741","59.11111111","46.07407407","69.11111111","48.88888889","73.33333333","10.35063692","15.52595538","94.96296296","142.4444444"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00018","","","","3","2","1.27","7","2.22","0.21","5","3.878931","38.3081207","1.8929596","1.0866718","144.5627441","96.1704712","24.8053284","13.9370928","20.4878521","24.6872253","0.5239372","49.5","7.8","15.75757576","2.43","3.7","0.317142857","3.5","2.333333333","1.215","0.81","0.635","0.423333333","65.67567568","66.66666667","0.382909091","32.88888889","49.33333333","36","54","18.81481481","28.22222222","5.672727273","8.509090909","54.81481481","82.22222222"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00019","","","","3","2","1.65","8","2.46","0.21","5","4.9267559","46.4103775","1.9055872","1.316422","124.7258301","96.8865204","43.7664833","6.8836107","10.6707067","17.3316383","0.4291887","38.2","8.3","21.72774869","2.67","4.32","0.3075","4","2.666666667","1.335","0.89","0.825","0.55","61.80555556","66.66666667","0.58013089","36.44444444","54.66666667","39.55555556","59.33333333","24.44444444","36.66666667","8.594531704","12.89179756","64","96"
"","","PEP2017SAT-OT01","","","","","","","","","PEP2017SAT-OT01-00020","","","","3","2","2.88","10","2.26","0.23","5","6.2275028","41.7869263","2.1579485","1.366107","198.2471313","135.267868","36.0138245","5.7954197","9.3939342","26.9265327","0.5234499","50.5","9.6","19.00990099","2.49","5.37","0.226","5","3.333333333","1.245","0.83","1.44","0.96","46.36871508","66.66666667","0.473346535","33.48148148","50.22222222","36.88888889","55.33333333","42.66666667","64","7.012541254","10.51881188","79.55555556","119.3333333"
