"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00001","","","","20","3.3","16","32","26","6","1.5","5","27.63419483","3.868616","1.509885","1.207503","101.0062","96.07498","0","60.98215","4.553397","7.261555","9.443939","0.849268","7.5","10.8","58","0.1875","0.057692308","0.129310345","3.625","2.9","2","1.6","0.46875","0.375","0.20625","0.165","55.17241379","69.44444444","80","2.072564612","13.33333333","16.66666667","16.66666667","20.83333333","7.333333333","9.166666667","4.605699138","5.757123923","24","30"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00002","","","","20","1.9","15","28","20","4.8","0.7","5","24.65483235","3.942522","1.606127","1.240313","68.23853","93.54819","0","57.72345","6.147801","9.409205","9.177759","0.812662","5.5","7.4","48","0.171428571","0.035","0.114583333","3.2","2.4","1.866666667","1.4","0.366666667","0.275","0.126666667","0.095","58.33333333","74.32432432","75","1.356015779","10.66666667","14.22222222","12.22222222","16.2962963","4.222222222","5.62962963","3.013368398","4.017824531","16.44444444","21.92592593"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00003","","","","20","2.5","13","15","18","1.6","0.5","5","37.45098039","5.553978","1.645729","1.248886","148.2704","107.9916","2.317383","68.35883","0","1.568495","9.97638","0.142126","2.1","4.6","33","0.106666667","0.027777778","0.063636364","2.538461538","1.65","1.153846154","0.75","0.161538462","0.105","0.192307692","0.125","45.45454545","45.65217391","65","0.786470588","3.555555556","5.47008547","4.666666667","7.179487179","5.555555556","8.547008547","1.747712418","2.688788336","10.22222222","15.72649573"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00004","","","","20","1.4","4","3","4","0.2","0.2","7","43.52941176","5.219362","1.648124","1.201662","163.7161","102.5886","1.66217","64.22244","0.458789","1.933938","14.38226","0.608447","0.4","1.8","7","0.066666667","0.05","0.057142857","1.75","0.35","0.75","0.15","0.1","0.02","0.35","0.07","42.85714286","22.22222222","20","0.174117647","0.444444444","2.222222222","0.888888889","4.444444444","3.111111111","15.55555556","0.386928105","1.934640523","4","20"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00005","","","","20","3.2","12","11","28","1.9","1.1","5","28.71287129","3.188477","1.356652","0.821593","92.59839","86.00313","39.5484","51.83598","7.075622","10.8259","15.76068","0.873982","3","6.2","39","0.172727273","0.039285714","0.076923077","3.25","1.95","0.916666667","0.55","0.25","0.15","0.266666667","0.16","28.20512821","48.38709677","60","0.861386139","4.222222222","7.037037037","6.666666667","11.11111111","7.111111111","11.85185185","1.914191419","3.190319032","13.77777778","22.96296296"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00006","","","","20","6.3","16","33","30","8.4","1.4","5","29.56349206","3.685556","1.538391","1.103665","91.86218","86.30873","36.56439","62.07132","2.644048","4.542459","13.31566","0.496231","9.8","16.1","63","0.254545455","0.046666667","0.155555556","3.9375","3.15","2.0625","1.65","0.6125","0.49","0.39375","0.315","52.38095238","60.86956522","80","2.897222222","18.66666667","23.33333333","21.77777778","27.22222222","14","17.5","6.438271604","8.047839505","35.77777778","44.72222222"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00007","","","","20","4.2","14","9","23","0.9","0.5","5","27.57936508","4.396481","1.706186","1.117382","169.9697","99.28059","24.98073","53.94525","6.943311","10.70379","9.283977","0.71349","1.4","5.6","32","0.1","0.02173913","0.04375","2.285714286","1.6","0.642857143","0.45","0.1","0.07","0.3","0.21","28.125","25","70","0.386111111","2","2.857142857","3.111111111","4.444444444","9.333333333","13.33333333","0.858024691","1.225749559","12.44444444","17.77777778"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00008","","","","20","2.3","14","12","25","1.6","0.9","5","27.72277228","3.726677","1.727964","1.245616","213.0518","105.2723","24.15645","61.36277","3.446702","5.705895","9.600287","0.437506","2.5","4.8","37","0.133333333","0.036","0.067567568","2.642857143","1.85","0.857142857","0.6","0.178571429","0.125","0.164285714","0.115","32.43243243","52.08333333","70","0.693069307","3.555555556","5.079365079","5.555555556","7.936507937","5.111111111","7.301587302","1.540154016","2.200220022","10.66666667","15.23809524"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00009","","","","20","0.5","11","9","16","1.1","0.7","5","26.77165354","4.417877","1.608815","1.071878","115.6549","83.13423","18.47653","54.4091","4.737095","7.682807","15.97171","0.884923","1.8","2.3","25","0.122222222","0.04375","0.072","2.272727273","1.25","0.818181818","0.45","0.163636364","0.09","0.045454545","0.025","36","78.26086957","55","0.481889764","2.444444444","4.444444444","4","7.272727273","1.111111111","2.02020202","1.070866142","1.947029348","5.111111111","9.292929293"
"","","PEP2012POC-AT01","","","","","","","","","PEP2012POC-AT01-00010","","","","20","1.4","15","13","20","2.5","1","5","29.76190476","3.100756","1.382101","1.001562","92.05676","78.58376","38.40411","58.26418","2.630817","4.266096","15.98572","0.422707","3.5","4.9","33","0.192307692","0.05","0.106060606","2.2","1.65","0.866666667","0.65","0.233333333","0.175","0.093333333","0.07","39.39393939","71.42857143","75","1.041666667","5.555555556","7.407407407","7.777777778","10.37037037","3.111111111","4.148148148","2.314814815","3.086419753","10.88888889","14.51851852"
