"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","treatment_dap100","treatment_dap120"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00011","","","","10","8","39","40","15.36","2.84","3.01","19.57378849","18.2","21.21","79","0.393846154","0.071","0.230379747","9.875","7.9","4.875","3.9","2.275","1.82","0.37625","0.301","49.36708861","85.80858086","80","3.562429505","68.26666667","85.33333333","80.88888889","101.1111111","13.37777778","16.72222222","15.83302002","19.79127503","94.26666667","117.8333333","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00012","","","","10","8","44","47","5.62","1.29","2.37","23.30707091","6.91","9.28","91","0.127727273","0.027446809","0.075934066","11.375","9.1","5.5","4.4","0.86375","0.691","0.29625","0.237","48.35164835","74.4612069","80","1.6105186","24.97777778","31.22222222","30.71111111","38.38888889","10.53333333","13.16666667","7.157860444","8.947325555","41.24444444","51.55555556","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00013","","","","10","4","4","2","0.84","0.21","1.96","21.51249627","1.05","3.01","6","0.21","0.105","0.175","1.5","0.6","1","0.4","0.2625","0.105","0.49","0.196","66.66666667","34.88372093","40","0.225881211","3.733333333","9.333333333","4.666666667","11.66666667","8.711111111","21.77777778","1.003916493","2.509791232","13.37777778","33.44444444","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00014","","","","10","8","15","9","1.98","0.5","3.74","19.75326992","2.48","6.22","24","0.132","0.055555556","0.103333333","3","2.4","1.875","1.5","0.31","0.248","0.4675","0.374","62.5","39.87138264","80","0.489881094","8.8","11","11.02222222","13.77777778","16.62222222","20.77777778","2.177249307","2.721561633","27.64444444","34.55555556","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00015","","","","10","7","8","9","5.01","0.72","3.02","23.38452333","5.73","8.75","17","0.62625","0.08","0.337058824","2.428571429","1.7","1.142857143","0.8","0.818571429","0.573","0.431428571","0.302","47.05882353","65.48571429","70","1.339933187","22.26666667","31.80952381","25.46666667","36.38095238","13.42222222","19.17460317","5.955258608","8.507512297","38.88888889","55.55555556","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00016","","","","10","7","20","8","3.74","0.31","2.44","21.72393128","4.05","6.49","28","0.187","0.03875","0.144642857","4","2.8","2.857142857","2","0.578571429","0.405","0.348571429","0.244","71.42857143","62.403698","70","0.879819217","16.62222222","23.74603175","18","25.71428571","10.84444444","15.49206349","3.91030763","5.586153758","28.84444444","41.20634921","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00017","","","","10","6","8","10","2.71","0.2","8.18","30.7389898","2.91","11.09","18","0.33875","0.02","0.161666667","3","1.8","1.333333333","0.8","0.485","0.291","1.363333333","0.818","44.44444444","26.23985573","60","0.894504603","12.04444444","20.07407407","12.93333333","21.55555556","36.35555556","60.59259259","3.975576014","6.625960024","49.28888889","82.14814815","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00018","","","","10","9","9","8","1.17","0.28","5.94","30.18038275","1.45","7.39","17","0.13","0.035","0.085294118","1.888888889","1.7","1","0.9","0.161111111","0.145","0.66","0.594","52.94117647","19.62110961","90","0.43761555","5.2","5.777777778","6.444444444","7.160493827","26.4","29.33333333","1.944957999","2.161064444","32.84444444","36.49382716","1",""
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00019","","","","10","7","10","10","4.42","0.69","3.91","36.05067064","5.11","9.02","20","0.442","0.069","0.2555","2.857142857","2","1.428571429","1","0.73","0.511","0.558571429","0.391","50","56.6518847","70","1.84218927","19.64444444","28.06349206","22.71111111","32.44444444","17.37777778","24.82539683","8.187507865","11.69643981","40.08888889","57.26984127","","1"
"","","PEP2013CSR-AT02","","","","","","","","","PEP2013CSR-AT02-00020","","","","10","7","12","9","3.36","0.54","5.14","35.08615125","3.9","9.04","21","0.28","0.06","0.185714286","3","2.1","1.714285714","1.2","0.557142857","0.39","0.734285714","0.514","57.14285714","43.14159292","70","1.368359899","14.93333333","21.33333333","17.33333333","24.76190476","22.84444444","32.63492063","6.08159955","8.687999357","40.17777778","57.3968254","","1"
