"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","treatment_dap90"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00039","","","","120","70","28.23","33","2.86","2.22","5.08","33.31","0.086666667","0.471428571","0.275","0.072571429","0.042333333","0.403285714","0.23525","15.25067547","58.33333333","1.059259259","1.815873016","1.881481481","3.225396825","10.45555556","17.92380952","12.33703704","21.14920635","3.6707134","4.3670654","1.0222063","0.9106693","152.6131592","93.3770752","65.1033554","4.5351362","6.9672723","10.6767244","0.4534111","50.1","11.6","23.15369261","1.176207585","0.435632439","0.746798467","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00040","","","","120","63","20.74","33","3.06","3.05","6.11","26.85","0.092727273","0.523809524","0.275","0.096984127","0.050916667","0.329206349","0.172833333","22.75605214","52.5","1.133333333","2.158730159","2.262962963","4.310405644","7.681481481","14.6313933","9.944444444","18.94179894","3.5490112","1.9135437","0.9275756","0.9024062","143.1196289","82.4170685","67.0718918","4.3784637","6.8006549","9.1393242","0.3469782","50","12.4","24.8","1.51528","0.561214815","1.0689806","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00037","","","","120","65","21.51","33","3.2","2.04","5.24","26.75","0.096969697","0.507692308","0.275","0.080615385","0.043666667","0.330923077","0.17925","19.58878505","54.16666667","1.185185185","2.188034188","1.940740741","3.582905983","7.966666667","14.70769231","9.907407407","18.29059829","4.5664177","0","1.128582","0.8001752","99.4213867","83.7020416","64.8134995","4.5856934","6.7843089","8.7691097","0.5242624","50.3","10.8","21.47117296","1.125089463","0.416699801","0.769291941","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00034","","","","120","81","18.5","34","3.21","2.65","5.86","24.36","0.094411765","0.419753086","0.283333333","0.072345679","0.048833333","0.228395062","0.154166667","24.05582923","67.5","1.188888889","1.761316872","2.17037037","3.215363512","6.851851852","10.15089163","9.022222222","13.36625514","3.1942272","","0.7644448","0.8456326","193.0704956","96.34552","67.1157303","3.5437822","5.2479701","10.5001917","0.1482277","50","11.4","22.8","1.33608","0.494844444","0.733102881","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00024","","","","120","78","22.08","33","3.69","1.56","5.25","27.33","0.111818182","0.423076923","0.275","0.067307692","0.04375","0.283076923","0.184","19.20965971","65","1.366666667","2.102564103","1.944444444","2.991452991","8.177777778","12.58119658","10.12222222","15.57264957","3.7505646","37.5140991","1.2043915","0.7885871","124.4700928","77.9142151","41.8738823","14.6452284","21.205719","11.9866543","0.3516321","50.2","8","15.93625498","0.836653386","0.309871625","0.476725576","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00014","","","","120","79","16.97","32","3.72","1.71","5.43","22.4","0.11625","0.405063291","0.266666667","0.068734177","0.04525","0.214810127","0.141416667","24.24107143","65.83333333","1.377777778","2.092827004","2.011111111","3.054852321","6.285185185","9.547116737","8.296296296","12.60196906","3.452652","0","0.8467107","0.8071313","91.7713623","81.6040039","68.7616501","3.5711279","5.8647313","10.5935946","0.2714901","50.4","13.4","26.58730159","1.443690476","0.534700176","0.8122028","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00030","","","","120","81","23.97","25","3.77","2.43","6.2","30.17","0.1508","0.308641975","0.208333333","0.07654321","0.051666667","0.295925926","0.19975","20.55021545","67.5","1.396296296","2.068587106","2.296296296","3.401920439","8.877777778","13.15226337","11.17407407","16.55418381","2.8397732","14.320343","0.8931093","0.6532216","57.6159668","69.7640991","61.8599968","7.1026297","10.4254827","8.6909924","0.4094553","50.4","10.8","21.42857143","1.328571429","0.492063492","0.728982951","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00020","","","","120","69","11.13","36","4.21","3.04","7.25","18.38","0.116944444","0.52173913","0.3","0.105072464","0.060416667","0.161304348","0.09275","39.44504897","57.5","1.559259259","2.711755233","2.685185185","4.669887279","4.122222222","7.169082126","6.807407407","11.8389694","4.1040649","0","1.2241526","1.0703654","153.9830322","98.7644501","70.0649414","3.4681435","5.5126719","7.1057034","0.3399115","50.5","11.2","22.17821782","1.607920792","0.595526219","1.035697773","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00004","","","","120","76","14.69","38","4.3","4.77","9.07","23.76","0.113157895","0.5","0.316666667","0.119342105","0.075583333","0.193289474","0.122416667","38.17340067","63.33333333","1.592592593","2.514619883","3.359259259","5.304093567","5.440740741","8.590643275","8.8","13.89473684","3.4195042","0","0.9266987","0.9466939","163.0313721","88.1315765","74.1976624","4.0542116","6.0165596","0.0309457","0.4994221","50.6","12.4","24.50592885","2.222687747","0.823217684","1.299817396","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00033","","","","120","76","23.44","45","4.44","2.91","7.35","30.79","0.098666667","0.592105263","0.375","0.096710526","0.06125","0.308421053","0.195333333","23.87138681","63.33333333","1.644444444","2.596491228","2.722222222","4.298245614","8.681481481","13.70760234","11.4037037","18.00584795","3.2257996","","0.6673241","0.6345596","124.9719238","89.4463348","61.6643639","4.2707119","6.0570254","13.5391979","0.2794237","50.2","11.5","22.90836653","1.68376494","0.623616645","0.98465786","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00029","","","","120","82","31.87","32","4.64","1.07","5.71","37.58","0.145","0.390243902","0.266666667","0.069634146","0.047583333","0.388658537","0.265583333","15.19425226","68.33333333","1.718518519","2.514905149","2.114814815","3.094850949","11.8037037","17.27371274","13.91851852","20.36856369","3.9718513","11.0605469","1.1664495","0.6780691","48.7375488","77.020462","54.693882","9.512641","13.9588652","8.4776096","0.6928015","50.5","8.9","17.62376238","1.006316832","0.372709938","0.545429177","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00023","","","","120","79","33.74","37","4.77","1.66","6.43","40.17","0.128918919","0.46835443","0.308333333","0.081392405","0.053583333","0.427088608","0.281166667","16.00697038","65.83333333","1.766666667","2.683544304","2.381481481","3.617440225","12.4962963","18.98171589","14.87777778","22.59915612","4.2682781","35.8269348","1.2798767","0.6923919","82.4197998","74.9374695","41.6977577","14.6633024","20.8894424","10.3519192","0.3517866","50.7","7.9","15.58185404","1.001913215","0.371078969","0.563664256","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00003","","","","120","68","30.42","59","6.67","4.87","11.54","41.96","0.113050847","0.867647059","0.491666667","0.169705882","0.096166667","0.447352941","0.2535","27.50238322","56.66666667","2.47037037","4.359477124","4.274074074","7.54248366","11.26666667","19.88235294","15.54074074","27.4248366","3.1692028","0","0.7601085","0.8197932","135.0289307","84.8023376","73.0100937","4.1020422","6.0929337","1.9524256","0.3009233","50.2","13.4","26.69322709","3.080398406","1.140888299","2.013332292","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00002","","","","120","97","23.18","64","6.79","5.84","12.63","35.81","0.10609375","0.659793814","0.533333333","0.130206186","0.10525","0.238969072","0.193166667","35.2694778","80.83333333","2.514814815","3.111111111","4.677777778","5.786941581","8.585185185","10.62084765","13.26296296","16.40778923","3.3154869","34.3059692","1.117867","0.8697977","158.4886475","82.4612885","61.7710419","6.2719393","9.1381083","9.4877787","0.2193594","50.8","11.8","23.22834646","2.933740157","1.086570429","1.34421084","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00019","","","","120","68","16.59","51","6.89","2.27","9.16","25.75","0.135098039","0.75","0.425","0.134705882","0.076333333","0.243970588","0.13825","35.57281553","56.66666667","2.551851852","4.503267974","3.392592593","5.986928105","6.144444444","10.84313725","9.537037037","16.83006536","5.1292","0.6138916","1.3588057","1.1055336","162.2510986","99.6869202","69.1291656","3.8783855","6.1026931","7.2403221","0.4029541","50.4","11.6","23.01587302","2.108253968","0.780834803","1.37794377","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00027","","","","120","91","40.02","65","6.96","5.19","12.15","52.17","0.107076923","0.714285714","0.541666667","0.133516484","0.10125","0.43978022","0.3335","23.28924669","75.83333333","2.577777778","3.399267399","4.5","5.934065934","14.82222222","19.54578755","19.32222222","25.47985348","4.3344517","30.0420532","1.2845011","0.8935924","128.2998047","102.3530121","60.7582321","4.7824574","7.1493154","13.477622","0.6744051","50","10.3","20.6","2.5029","0.927","1.222417582","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00028","","","","120","82","22.27","63","6.99","5.86","12.85","35.12","0.110952381","0.768292683","0.525","0.156707317","0.107083333","0.271585366","0.185583333","36.58883827","68.33333333","2.588888889","3.788617886","4.759259259","6.964769648","8.248148148","12.0704607","13.00740741","19.03523035","3.5385323","23.4058533","1.093359","0.8955183","105.2318115","91.4508057","64.6086884","4.0165501","5.9969974","12.1235485","0.4525537","50","10.5","21","2.6985","0.999444444","1.462601626","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00016","","","","120","83","27.65","61","7.34","2","9.34","36.99","0.120327869","0.734939759","0.508333333","0.11253012","0.077833333","0.33313253","0.230416667","25.25006759","69.16666667","2.718518519","3.93038822","3.459259259","5.001338688","10.24074074","14.80589023","13.7","19.80722892","3.4575634","0","0.792861","0.9152288","98.2299805","83.0859985","66.8757172","4.3367739","6.1775393","8.7716722","0.4490461","50.1","12.3","24.5508982","2.293053892","0.849279219","1.22787357","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00005","","","","120","88","24.61","74","9.28","4.13","13.41","38.02","0.125405405","0.840909091","0.616666667","0.152386364","0.11175","0.279659091","0.205083333","35.27091005","73.33333333","3.437037037","4.686868687","4.966666667","6.772727273","9.114814815","12.42929293","14.08148148","19.2020202","3.7126846","0","0.9488268","0.9814363","59.7960205","86.2851257","71.6454773","3.0307512","4.9001637","5.3891439","0.5918865","50.2","12.8","25.49800797","3.419282869","1.266401062","1.72691054","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00035","","","","120","94","30.65","117","10.64","6.19","16.83","47.48","0.090940171","1.244680851","0.975","0.179042553","0.14025","0.32606383","0.255416667","35.44650379","78.33333333","3.940740741","5.030732861","6.233333333","7.957446809","11.35185185","14.49172577","17.58518519","22.44917258","4.5544682","57.0650635","1.3392134","0.9841218","146.7434082","85.6638336","59.3855247","6.3035212","9.2397985","12.1766281","0.7805309","50.2","11.1","22.11155378","3.721374502","1.378286853","1.759515131","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00015","","","","120","82","30.93","60","10.99","2.53","13.52","44.45","0.183166667","0.731707317","0.5","0.164878049","0.112666667","0.377195122","0.25775","30.41619798","68.33333333","4.07037037","5.956639566","5.007407407","7.327913279","11.45555556","16.76422764","16.46296296","24.09214092","4.324852","0","1.0024886","0.9489279","118.9259033","88.4541473","65.4901123","4.9470482","7.4155269","7.6347332","0.1958828","50.6","11.9","23.51778656","3.179604743","1.177631386","1.723363004","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00013","","","","120","85","39.9","99","12.38","3","15.38","55.28","0.125050505","1.164705882","0.825","0.180941176","0.128166667","0.469411765","0.3325","27.82199711","70.83333333","4.585185185","6.473202614","5.696296296","8.041830065","14.77777778","20.8627451","20.47407407","28.90457516","2.9973068","0","0.7881713","0.7283077","55.9608154","74.1478119","71.3738174","3.2772074","5.3250842","7.6356106","0.3128948","50.6","13.5","26.6798419","4.103359684","1.519762846","2.145547547","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00001","","","","120","99","35.9","141","12.9","7.15","20.05","55.95","0.091489362","1.424242424","1.175","0.202525253","0.167083333","0.362626263","0.299166667","35.83556747","82.5","4.777777778","5.791245791","7.425925926","9.001122334","13.2962963","16.11672278","20.72222222","25.11784512","3.3045616","32.8539734","1.1057038","0.7810597","152.8852539","91.2243805","62.7296677","5.5363436","8.0442533","10.5262518","0.2310991","50.6","11.7","23.12252964","4.636067194","1.717061924","2.08128718","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00008","","","","120","84","20.94","141","15.08","3.41","18.49","39.43","0.106950355","1.678571429","1.175","0.220119048","0.154083333","0.249285714","0.1745","46.89322851","70","5.585185185","7.978835979","6.848148148","9.783068783","7.755555556","11.07936508","14.6037037","20.86243386","4.6619072","58.4801941","1.3416409","1.0096273","149.4519043","80.0946808","53.9393272","7.1258421","10.3377104","16.262825","0.4189987","50.2","9.2","18.32669323","3.388605578","1.255039103","1.792913004","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00036","","","","120","105","24.07","181","15.24","4.27","19.51","43.58","0.084198895","1.723809524","1.508333333","0.185809524","0.162583333","0.229238095","0.200583333","44.76824231","87.5","5.644444444","6.450793651","7.225925926","8.258201058","8.914814815","10.18835979","16.14074074","18.44656085","4.3487492","55.2170715","1.2475891","0.9465599","150.7664795","88.5964661","59.4531746","6.0460405","9.0257912","13.7410097","0.7567387","50.4","11.1","22.02380952","4.296845238","1.591424162","1.818770471","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00006","","","","120","84","24.66","123","16.14","4.72","20.86","45.52","0.131219512","1.464285714","1.025","0.248333333","0.173833333","0.293571429","0.2055","45.82601054","70","5.977777778","8.53968254","7.725925926","11.03703704","9.133333333","13.04761905","16.85925926","24.08465608","3.5612411","0","1.0556617","1.1217437","73.2832031","97.9472198","72.5235062","2.21175","4.0206409","5.723156","0.3422813","50.2","12.4","24.70119522","5.152669323","1.908396045","2.726280065","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00012","","","","120","81","21.3","200","17.64","5.23","22.87","44.17","0.0882","2.469135802","1.666666667","0.282345679","0.190583333","0.262962963","0.1775","51.77722436","67.5","6.533333333","9.679012346","8.47037037","12.54869684","7.888888889","11.6872428","16.35925926","24.23593964","4.4906044","53.9115906","1.4327836","1.0124111","202.4049683","91.0963898","38.9357567","14.0753088","20.472702","12.6325989","0.6179552","50.5","7.9","15.64356436","3.577683168","1.32506784","1.963063467","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00007","","","","120","103","19.08","197","18.93","3.74","22.67","41.75","0.096091371","1.912621359","1.641666667","0.220097087","0.188916667","0.185242718","0.159","54.2994012","85.83333333","7.011111111","8.16828479","8.396296296","9.782092772","7.066666667","8.233009709","15.46296296","18.01510248","4.0164585","52.261322","1.2140622","0.8293896","125.8741455","70.8283081","52.7903824","7.8108892","10.9513149","15.0182037","0.2659817","50.5","9.4","18.61386139","4.219762376","1.562874954","1.820825189","1"
"","","PEP2019ICA-ST01","","","","","","","","","PEP2019ICA-ST01-00011","","","","120","85","30.25","246","24.63","10.51","35.14","65.39","0.100121951","2.894117647","2.05","0.413411765","0.292833333","0.355882353","0.252083333","53.73910384","70.83333333","9.122222222","12.87843137","13.01481481","18.37385621","11.2037037","15.81699346","24.21851852","34.19084967","4.9579849","56.2947083","1.5601745","0.9571791","142.3012695","89.7716675","40.0424957","12.4793062","18.1144066","14.4062614","0.5812654","50","7.9","15.8","5.55212","2.056340741","2.903069281","1"
