"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root dry matter content computing percent|CO_331:0000297","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Content of calcium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001029","Content of magnesium in dry weight basis measuring mg per 100g by NIRS|CO_331:0001030","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00011","","","","20","18","10.24","55","23","18.72","1.04","27.95275591","5.5164843","22.4387665","1.9299757","1.2005568","109.5080566","85.9740982","63.933403","2.2937098","3.7498126","8.8681374","0","19.76","30","78","0.340363636","0.045217391","0.253333333","4.333333333","3.9","3.055555556","2.75","1.097777778","0.988","0.568888889","0.512","70.51282051","65.86666667","90","5.523464568","41.6","46.22222222","43.91111111","48.79012346","22.75555556","25.28395062","12.27436571","13.63818412","66.66666667","74.07407407"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00012","","","","20","18","8.78","58","23","15.83","1.38","30.37475345","3.9170992","35.3745308","1.639555","1.0051434","117.2915573","79.6508636","63.8390503","1.8979943","2.9003894","10.8425827","0","17.21","25.99","81","0.272931034","0.06","0.212469136","4.5","4.05","3.222222222","2.9","0.956111111","0.8605","0.487777778","0.439","71.60493827","66.21777607","90","5.227495069","35.17777778","39.08641975","38.24444444","42.49382716","19.51111111","21.67901235","11.61665571","12.90739523","57.75555556","64.17283951"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00013","","","","20","14","3.4","29","60","7.93","1.86","23.828125","8.4196119","52.7664223","2.7696099","1.6879158","173.669693","116.2361526","52.167347","1.4606696","2.4123135","18.4676571","0.4505902","9.79","13.19","89","0.273448276","0.031","0.11","6.357142857","4.45","2.071428571","1.45","0.699285714","0.4895","0.242857143","0.17","32.58426966","74.22289613","70","2.332773438","17.62222222","25.17460317","21.75555556","31.07936508","7.555555556","10.79365079","5.183940972","7.40562996","29.31111111","41.87301587"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00014","","","","20","18","7.41","51","22","14.21","1.15","30.42635659","5.3990622","34.7392464","2.0897219","1.2757497","155.2204437","113.6972046","61.8030205","2.0745769","3.4226511","9.9815292","0.1851915","15.36","22.77","73","0.278627451","0.052272727","0.210410959","4.055555556","3.65","2.833333333","2.55","0.853333333","0.768","0.411666667","0.3705","69.8630137","67.4571805","90","4.673488372","31.57777778","35.08641975","34.13333333","37.92592593","16.46666667","18.2962963","10.38552972","11.53947746","50.6","56.22222222"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00015","","","","20","17","7.09","41","24","10.17","1","32.27722772","5.5571971","12.609354","1.8570831","1.0668736","99.5808411","98.7080994","64.8786926","2.8033195","4.147553","6.0580578","0","11.17","18.26","65","0.24804878","0.041666667","0.171846154","3.823529412","3.25","2.411764706","2.05","0.657058824","0.5585","0.417058824","0.3545","63.07692308","61.17196057","85","3.605366336","22.6","26.58823529","24.82222222","29.20261438","15.75555556","18.53594771","8.011925192","9.425794343","40.57777778","47.73856209"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00016","","","","20","17","5.57","37","26","8.39","1.57","33.52941176","3.8697486","19.9701061","1.5513711","1.0100604","141.9335327","83.0103607","67.3740845","3.0981433","4.5918136","5.8658824","0.2024735","9.96","15.53","63","0.226756757","0.060384615","0.158095238","3.705882353","3.15","2.176470588","1.85","0.585882353","0.498","0.327647059","0.2785","58.73015873","64.13393432","85","3.339529411","18.64444444","21.93464052","22.13333333","26.03921569","12.37777778","14.5620915","7.42117647","8.730795847","34.51111111","40.60130719"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00017","","","","20","19","4.92","39","48","4.56","2.02","27.03777336","5.3113704","38.1063232","2.2791269","1.4063803","123.9026794","109.1647644","58.4052315","0.8871218","2.0256543","15.1139355","0.2759533","6.58","11.5","87","0.116923077","0.042083333","0.075632184","4.578947368","4.35","2.052631579","1.95","0.346315789","0.329","0.258947368","0.246","44.82758621","57.2173913","95","1.779085487","10.13333333","10.66666667","14.62222222","15.39181287","10.93333333","11.50877193","3.953523305","4.161603479","25.55555556","26.9005848"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00018","","","","20","16","15.23","52","35","8.08","1.99","32.41106719","5.5922499","36.8712044","2.1016364","1.287406","144.3058472","111.0256119","61.9348068","0.8467892","1.8378118","11.866374","0","10.07","25.3","87","0.155384615","0.056857143","0.115747126","5.4375","4.35","3.25","2.6","0.629375","0.5035","0.951875","0.7615","59.77011494","39.80237154","80","3.263794466","17.95555556","22.44444444","22.37777778","27.97222222","33.84444444","42.30555556","7.252876591","9.066095739","56.22222222","70.27777778"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00019","","","","20","8","5.1","13","20","2.92","1.05","25.64102564","4.7066808","30.5793629","2.2864406","1.2377969","163.7389221","126.3664932","54.6524696","4.9948916","7.4425359","8.1799488","0.3713295","3.97","9.07","33","0.224615385","0.0525","0.12030303","4.125","1.65","1.625","0.65","0.49625","0.1985","0.6375","0.255","39.39393939","43.77067255","40","1.017948718","6.488888889","16.22222222","8.822222222","22.05555556","11.33333333","28.33333333","2.262108262","5.655270655","20.15555556","50.38888889"
"","","PEP2011SPE-AT01","","","","","","","","","PEP2011SPE-AT01-00020","","","","20","19","6.41","17","12","5.05","0.64","29.4","5.1340246","29.6129246","2.1203647","1.1977962","166.3721924","123.9549408","57.7543373","3.7797072","6.0174236","9.739048","0.0551413","5.69","12.1","29","0.297058824","0.053333333","0.196206897","1.526315789","1.45","0.894736842","0.85","0.299473684","0.2845","0.337368421","0.3205","58.62068966","47.02479339","95","1.67286","11.22222222","11.8128655","12.64444444","13.30994152","14.24444444","14.99415205","3.717466667","3.913122807","26.88888889","28.30409357"
