"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Number of plants harvested per NET plot|CO_331:0000679","Weight of vines per NET plot in kg|CO_331:0000227","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00001","","","","30","28","1","1","23","18.32","88","20.44","1.22","2","155.96","31.69","21.66","39.98","0.232272727","3.826086957","2.933333333","0.94173913","0.722","0.796521739","0.610666667","54.17708854","76.66666667","20.31931264","4.401163119","30.28148148","39.49758454","32.08888889","41.85507246","27.14074074","35.40096618","6.520241657","8.504663031","59.22962963","77.25603865","11.03"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00002","","","","30","29","1","1","27","21.49","71","21.45","3.06","2","159.07","33.21","24.51","46","0.302112676","2.62962963","2.366666667","0.907777778","0.817","0.795925926","0.716333333","53.2826087","90","20.87760106","5.117100019","31.77777778","35.30864198","36.31111111","40.34567901","31.83703704","35.3744856","7.580888917","8.423209908","68.14814815","75.72016461","10.5"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00003","","","","30","30","1","1","28","17.48","92","22.14","3.23","2","158.42","34.18","25.37","42.85","0.240652174","3.285714286","3.066666667","0.906071429","0.845666667","0.624285714","0.582666667","59.20653442","93.33333333","21.57555864","5.473719227","32.8","35.14285714","37.58518519","40.26984127","25.8962963","27.74603175","8.10921367","8.688443218","63.48148148","68.01587302","11.03"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00004","","","","30","29","1","6","26","34.35","77","14.07","2.9","4","156.75","43.51","16.97","51.32","0.182727273","2.961538462","2.566666667","0.652692308","0.565666667","1.321153846","1.145","33.0670304","86.66666667","27.75757576","4.710460606","20.84444444","24.05128205","25.14074074","29.00854701","50.88888889","58.71794872","6.978460157","8.052069412","76.02962963","87.72649573","0"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00005","","","","30","23","1","2","19","26.99","27","5.21","2.1","6","158.69","45.41","7.31","34.3","0.192962963","1.421052632","0.9","0.384736842","0.243666667","1.420526316","0.899666667","21.31195335","63.33333333","28.61553973","2.091795954","7.718518519","12.1871345","10.82962963","17.0994152","39.98518519","63.13450292","3.098956969","4.893089952","50.81481481","80.23391813","0.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00006","","","","30","21","4","6","20","28.43","84","14.82","2.42","6","156.28","45.25","17.24","45.67","0.176428571","4.2","2.8","0.862","0.574666667","1.4215","0.947666667","37.74906941","66.66666667","28.95444075","4.991745585","21.95555556","32.93333333","25.54074074","38.31111111","42.11851852","63.17777778","7.395178644","11.09276797","67.65925926","101.4888889","0"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00007","","","","30","28","7","9","20","2.08","0","0","0.17","8","","","0.17","2.25","","0","0","0.0085","0.005666667","0.104","0.069333333","7.555555556","66.66666667","","","0","0","0.251851852","0.377777778","3.081481481","4.622222222","","","3.333333333","5",""
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00008","","","","30","27","7","9","9","1.62","0","0","0","9","","","0","1.62","","0","0","0","0","0.18","0.054","0","30","","","0","0","0","0","2.4","8","","","2.4","8",""
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00009","","","","30","18","9","9","6","1.06","0","0","0","9","","","0","1.06","","0","0","0","0","0.176666667","0.035333333","0","20","","","0","0","0","0","1.57037037","7.851851852","","","1.57037037","7.851851852",""
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00010","","","","30","30","2","9","22","14.06","20","7.49","0","6","158.18","52.77","7.49","21.55","0.3745","0.909090909","0.666666667","0.340454545","0.249666667","0.639090909","0.468666667","34.75638051","73.33333333","33.36072828","2.498718548","11.0962963","15.13131313","11.0962963","15.13131313","20.82962963","28.4040404","3.701805257","5.04791626","31.92592593","43.53535354","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00011","","","","30","25","1","2","22","25.7","16","9.95","0.37","6","157.77","49.25","10.32","36.02","0.621875","0.727272727","0.533333333","0.469090909","0.344","1.168181818","0.856666667","28.65074958","73.33333333","31.21632757","3.221525005","14.74074074","20.1010101","15.28888889","20.84848485","38.07407407","51.91919192","4.772629637","6.508131323","53.36296296","72.76767677","0.02"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00012","","","","30","25","4","6","22","14.4","24","8.57","0.22","6","157.84","50.47","8.79","23.19","0.357083333","1.090909091","0.8","0.399545455","0.293","0.654545455","0.48","37.90426908","73.33333333","31.97541814","2.810639255","12.6962963","17.31313131","13.02222222","17.75757576","21.33333333","29.09090909","4.163910007","5.678059101","34.35555556","46.84848485","0.02"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00013","","","","30","24","1","1","18","9.38","9","1.45","0.17","6","158","45.79","1.62","11","0.161111111","0.5","0.3","0.09","0.054","0.521111111","0.312666667","14.72727273","60","28.98101266","0.469492405","2.148148148","3.580246914","2.4","4","13.8962963","23.16049383","0.695544304","1.159240506","16.2962963","27.16049383","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00014","","","","30","23","1","1","17","9.37","16","3.12","1.07","6","156.58","48.36","4.19","13.56","0.195","0.941176471","0.533333333","0.246470588","0.139666667","0.551176471","0.312333333","30.89970501","56.66666667","30.88517052","1.294088645","4.622222222","8.156862745","6.207407407","10.95424837","13.88148148","24.49673203","1.917168363","3.383238287","20.08888889","35.45098039","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00015","","","","30","22","1","4","18","8.78","12","1.81","0.2","6","157.12","47.21","2.01","10.79","0.150833333","0.666666667","0.4","0.111666667","0.067","0.487777778","0.292666667","18.62835959","60","30.04709776","0.603946665","2.681481481","4.469135802","2.977777778","4.962962963","13.00740741","21.67901235","0.8947358","1.491226333","15.98518519","26.64197531","3.96"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00016","","","","30","27","6","7","25","6.38","27","4.46","1.6","5","158.69","42.14","6.06","12.44","0.165185185","1.08","0.9","0.2424","0.202","0.2552","0.212666667","48.71382637","83.33333333","26.55491839","1.609228055","6.607407407","7.928888889","8.977777778","10.77333333","9.451851852","11.34222222","2.384041563","2.860849875","18.42962963","22.11555556","0.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00017","","","","30","25","2","2","21","18.99","87","18.91","3.63","4","159.44","43.22","22.54","41.53","0.217356322","4.142857143","2.9","1.073333333","0.751333333","0.904285714","0.633","54.27401878","70","27.10737582","6.110002509","28.01481481","40.02116402","33.39259259","47.7037037","28.13333333","40.19047619","9.051855569","12.93122224","61.52592593","87.89417989","0"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00018","","","","30","28","4","6","24","13.7","77","17.5","1.46","4","159.56","41.69","18.96","32.66","0.227272727","3.208333333","2.566666667","0.79","0.632","0.570833333","0.456666667","58.05266381","80","26.12810228","4.953888193","25.92592593","32.40740741","28.08888889","35.11111111","20.2962963","25.37037037","7.339093619","9.173867023","48.38518519","60.48148148","0.12"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00019","","","","30","27","1","4","24","26.42","19","3.4","0.74","6","156.66","29.98","4.14","30.56","0.178947368","0.791666667","0.633333333","0.1725","0.138","1.100833333","0.880666667","13.54712042","80","19.13698455","0.79227116","5.037037037","6.296296296","6.133333333","7.666666667","39.14074074","48.92592593","1.173735053","1.467168816","45.27407407","56.59259259","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00020","","","","30","27","1","5","25","52.67","43","13.18","0.48","5","158.72","34.39","13.66","66.33","0.306511628","1.72","1.433333333","0.5464","0.455333333","2.1068","1.755666667","20.5939997","83.33333333","21.66708669","2.959724042","19.52592593","23.43111111","20.23703704","24.28444444","78.02962963","93.63555556","4.384776359","5.261731631","98.26666667","117.92","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00021","","","","30","30","1","7","30","36.25","43","12.86","1.29","4","159.56","30.9","14.15","50.4","0.299069767","1.433333333","1.433333333","0.471666667","0.471666667","1.208333333","1.208333333","28.07539683","100","19.36575583","2.74025445","19.05185185","19.05185185","20.96296296","20.96296296","53.7037037","53.7037037","4.059636222","4.059636222","74.66666667","74.66666667","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00022","","","","30","23","1","1","17","23.07","14","2.2","0.64","6","158.06","43.79","2.84","25.91","0.157142857","0.823529412","0.466666667","0.167058824","0.094666667","1.357058824","0.769","10.96101891","56.66666667","27.70466911","0.786812603","3.259259259","5.751633987","4.207407407","7.424836601","34.17777778","60.31372549","1.1656483","2.057026413","38.38518519","67.73856209","1.04"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00023","","","","30","27","1","1","25","20.53","49","9.31","1.36","6","157.28","43.43","10.67","31.2","0.19","1.96","1.633333333","0.4268","0.355666667","0.8212","0.684333333","34.19871795","83.33333333","27.61317396","2.946325661","13.79259259","16.55111111","15.80740741","18.96888889","30.41481481","36.49777778","4.364926906","5.237912287","46.22222222","55.46666667","1.32"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00024","","","","30","26","1","1","25","28.48","18","4.99","2.29","6","159.59","41.01","7.28","35.76","0.277222222","0.72","0.6","0.2912","0.242666667","1.1392","0.949333333","20.35794183","83.33333333","25.69709882","1.870748794","7.392592593","8.871111111","10.78518519","12.94222222","42.19259259","50.63111111","2.771479694","3.325775633","52.97777778","63.57333333","4.92"
"","","PEP2019HUA-ST05","","","","","","","","","PEP2019HUA-ST05-00025","","","","30","30","1","8","27","52.63","28","2.88","2.63","6","158.93","30.18","5.51","58.14","0.102857143","1.037037037","0.933333333","0.204074074","0.183666667","1.949259259","1.754333333","9.477124183","90","18.98949223","1.046321022","4.266666667","4.740740741","8.162962963","9.069958848","77.97037037","86.63374486","1.550105218","1.722339131","86.13333333","95.7037037","11.03"
