"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00011","","","","30","22","3","3","6","1","2","22","8","3","1","0.04","1.8","8","3","1","3","3","3.96","1.04","2.84","0.125","0.013333333","11","0.5","0.366666667","0.363636364","0.266666667","0.047272727","0.034666667","0.081818182","0.06","72.72727273","36.61971831","73.33333333","0.094545455","1.111111111","1.155555556","2","3.155555556","1.515151515","1.575757576","2.727272727","4.303030303"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00012","","","","30","24","1","4","8","1","2","24","46","15","8.5","0.39","5","3","5","3","8","1","0","8.89","13.89","0.184782609","0.026","61","2.541666667","2.033333333","1.916666667","1.533333333","0.370416667","0.296333333","0.208333333","0.166666667","75.40983607","64.00287977","80","0.145737705","9.444444444","9.877777778","5.555555556","15.43333333","11.80555556","12.34722222","6.944444444","19.29166667"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00013","","","","30","26","4","4","7","1","2","26","30","8","4.3","0.28","3.5","9","2","3","4","3","7.23","4.58","8.08","0.143333333","0.035","38","1.461538462","1.266666667","1.153846154","1","0.176153846","0.152666667","0.134615385","0.116666667","78.94736842","56.68316832","86.66666667","0.120526316","4.777777778","5.088888889","3.888888889","8.977777778","5.512820513","5.871794872","4.487179487","10.35897436"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00014","","","","30","23","3","3","7","1","2","23","24","6","4","0.18","2","3","4","3","1","3","0.02","4.18","6.18","0.166666667","0.03","30","1.304347826","1","1.043478261","0.8","0.18173913","0.139333333","0.086956522","0.066666667","80","67.63754045","76.66666667","0.139333333","4.444444444","4.644444444","2.222222222","6.866666667","5.797101449","6.057971014","2.898550725","8.956521739"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00015","","","","30","30","2","2","9","1","2","30","32","19","6","0.74","16","2","3","2","3","3","0","6.74","22.74","0.1875","0.038947368","51","1.7","1.7","1.066666667","1.066666667","0.224666667","0.224666667","0.533333333","0.533333333","62.74509804","29.63940193","100","0.132156863","6.666666667","7.488888889","17.77777778","25.26666667","6.666666667","7.488888889","17.77777778","25.26666667"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00016","","","","30","30","3","3","7","1","2","30","73","28","8","0.66","3","4","4","2","3","3","10.5","8.66","11.66","0.109589041","0.023571429","101","3.366666667","3.366666667","2.433333333","2.433333333","0.288666667","0.288666667","0.1","0.1","72.27722772","74.27101201","100","0.085742574","8.888888889","9.622222222","3.333333333","12.95555556","8.888888889","9.622222222","3.333333333","12.95555556"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00017","","","","30","22","3","3","8","1","2","22","35","9","5.5","0.28","4","9","2","2","3","3","7.76","5.78","9.78","0.157142857","0.031111111","44","2","1.466666667","1.590909091","1.166666667","0.262727273","0.192666667","0.181818182","0.133333333","79.54545455","59.1002045","73.33333333","0.131363636","6.111111111","6.422222222","4.444444444","10.86666667","8.333333333","8.757575758","6.060606061","14.81818182"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00018","","","","30","22","3","2","7","1","2","22","13","7","2.1","0.2","0.2","8","3","2","4","3","7.23","2.3","2.5","0.161538462","0.028571429","20","0.909090909","0.666666667","0.590909091","0.433333333","0.104545455","0.076666667","0.009090909","0.006666667","65","92","73.33333333","0.115","2.333333333","2.555555556","0.222222222","2.777777778","3.181818182","3.484848485","0.303030303","3.787878788"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00019","","","","30","22","2","2","7","1","2","22","48","32","13","0.8","2","8","3","2","4","2","7.23","13.8","15.8","0.270833333","0.025","80","3.636363636","2.666666667","2.181818182","1.6","0.627272727","0.46","0.090909091","0.066666667","60","87.34177215","73.33333333","0.1725","14.44444444","15.33333333","2.222222222","17.55555556","19.6969697","20.90909091","3.03030303","23.93939394"
"","","UGP2017NAM-AT02","","","","","","","","","UGP2017NAM-AT02-00020","","","","30","23","3","4","8","1","2","23","30","16","4","0.3","7","5","3","2","2","3","11.03","4.3","11.3","0.133333333","0.01875","46","2","1.533333333","1.304347826","1","0.186956522","0.143333333","0.304347826","0.233333333","65.2173913","38.05309735","76.66666667","0.093478261","4.444444444","4.777777778","7.777777778","12.55555556","5.797101449","6.231884058","10.14492754","16.37681159"
