"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00011","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00012","","","","30","2","4","2","14.7","1.3","9","2","1","1","3","7.76","16","91.875","16.33333333","1.444444444","17.77777778","0.49","0.043333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00013","","","","30","3","5","2","14","7.4","2","4","6","1","5","1.65","21.4","65.42056075","15.55555556","8.222222222","23.77777778","0.466666667","0.246666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00014","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00015","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00016","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00017","","","","30","4","7","2","8","45.6","9","4","3","5","5","1.5","53.6","14.92537313","8.888888889","50.66666667","59.55555556","0.266666667","1.52"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00018","","","","30","2","","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00019","","","","30","2","5","3","12","0.8","5","5","3","3","5","1.04","12.8","93.75","13.33333333","0.888888889","14.22222222","0.4","0.026666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00020","","","","30","2","3","2","0","3.3","","","","","","","3.3","0","0","3.666666667","3.666666667","0","0.11"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00021","","","","30","2","6","2","24.8","10","2","2","3","1","3","7.23","34.8","71.26436782","27.55555556","11.11111111","38.66666667","0.826666667","0.333333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00022","","","","30","2","7","2","32.3","86.7","5","1","1","8","5","0.15","119","27.14285714","35.88888889","96.33333333","132.2222222","1.076666667","2.89"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00023","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00024","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00025","","","","30","2","6","2","44.3","12.7","5","3","2","2","3","7.76","57","77.71929825","49.22222222","14.11111111","63.33333333","1.476666667","0.423333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00026","","","","30","3","8","2","10.4","25","2","1","1","2","3","1.38","35.4","29.37853107","11.55555556","27.77777778","39.33333333","0.346666667","0.833333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00027","","","","30","3","3","2","0","0","","","","5","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00028","","","","30","2","7","2","26","10","5","4","2","1","3","1.65","36","72.22222222","28.88888889","11.11111111","40","0.866666667","0.333333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00029","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00030","","","","30","1","","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00031","","","","30","2","7","2","28.7","17.8","6","2","2","1","1","3.03","46.5","61.72043011","31.88888889","19.77777778","51.66666667","0.956666667","0.593333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00032","","","","30","3","6","2","29.3","28.7","5","1","1","1","1","6.12","58","50.51724138","32.55555556","31.88888889","64.44444444","0.976666667","0.956666667"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00033","","","","30","2","4","1","5.3","2.2","2","2","1","3","7","0.15","7.5","70.66666667","5.888888889","2.444444444","8.333333333","0.176666667","0.073333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00034","","","","30","2","5","2","17.3","10","5","1","1","2","5","3.96","27.3","63.36996337","19.22222222","11.11111111","30.33333333","0.576666667","0.333333333"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00035","","","","30","2","8","2","14.2","33.3","8","4","2","3","5","11.03","47.5","29.89473684","15.77777778","37","52.77777778","0.473333333","1.11"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00036","","","","30","3","","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00037","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00038","","","","30","2","","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014SER-PT04","","","","","","","","","UGP2014SER-PT04-00039","","","","30","2","6","2","43.3","13.3","2","5","2","1","3","0","56.6","76.50176678","48.11111111","14.77777778","62.88888889","1.443333333","0.443333333"
