"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00011","","","","5","4","1","2","7","1","2","2","21","17","6","0.5","20","9","1","1","8","1","0","6.5","26.5","0.285714286","0.029411765","38","19","7.6","10.5","4.2","3.25","1.3","10","4","55.26315789","24.52830189","40","40","43.33333333","133.3333333","176.6666667","0.171052632","100","108.3333333","333.3333333","441.6666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00012","","","","5","3","2","2","6","1","2","1","17","4","3.5","0.6","3","5","2","1","2","3","1.76","4.1","7.1","0.205882353","0.15","21","21","4.2","17","3.4","4.1","0.82","3","0.6","80.95238095","57.74647887","20","23.33333333","27.33333333","20","47.33333333","0.195238095","116.6666667","136.6666667","100","236.6666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00013","","","","5","4","2","3","6","1","2","1","3","0","0.8","0","2","5","2","1","9","4","0.12","0.8","2.8","0.266666667","","3","3","0.6","3","0.6","0.8","0.16","2","0.4","100","28.57142857","20","5.333333333","5.333333333","13.33333333","18.66666667","0.266666667","26.66666667","26.66666667","66.66666667","93.33333333"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00014","","","","5","2","4","4","4","1","2","","0","0","0","0","1","","","","","","","0","1","","","0","","0","","0","","0","","0.2","","0","","0","0","6.666666667","6.666666667","","","","",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00015","","","","5","4","2","2","4","1","2","1","1","1","","0.04","3","5","1","1","2","9","11.03","","","","0.04","2","2","0.4","1","0.2","","","3","0.6","50","","20","","","20","","","","","100",""
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00016","","","","5","5","2","2","7","2","2","1","7","3","1.8","0.6","9","8","3","2","5","3","5.46","2.4","11.4","0.257142857","0.2","10","10","2","7","1.4","2.4","0.48","9","1.8","70","21.05263158","20","12","16","60","76","0.24","60","80","300","380"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00017","","","","5","4","1","2","9","1","2","4","5","0","0.82","0","11","2","1","1","3","5","0.12","0.82","11.82","0.164","","5","1.25","1","1.25","1","0.205","0.164","2.75","2.2","100","6.937394247","80","5.466666667","5.466666667","73.33333333","78.8","0.164","6.833333333","6.833333333","91.66666667","98.5"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00018","","","","5","2","2","3","6","2","2","2","5","6","0.46","0.2","4","8","2","1","2","6","0.02","0.66","4.66","0.092","0.033333333","11","5.5","2.2","2.5","1","0.33","0.132","2","0.8","45.45454545","14.16309013","40","3.066666667","4.4","26.66666667","31.06666667","0.06","7.666666667","11","66.66666667","77.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00019","","","","5","4","1","2","7","1","2","2","5","0","1.8","0","4","8","3","1","6","3","0","1.8","5.8","0.36","","5","2.5","1","2.5","1","0.9","0.36","2","0.8","100","31.03448276","40","12","12","26.66666667","38.66666667","0.36","30","30","66.66666667","96.66666667"
"","","UGP2016SER-AT02","","","","","","","","","UGP2016SER-AT02-00020","","","","5","5","2","2","8","1","2","3","3","4","0.24","0.6","22","9","2","1","3","7","0","0.84","22.84","0.08","0.15","7","2.333333333","1.4","1","0.6","0.28","0.168","7.333333333","4.4","42.85714286","3.677758319","60","1.6","5.6","146.6666667","152.2666667","0.12","2.666666667","9.333333333","244.4444444","253.7777778"
