"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00022","","","","30","23","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00023","","","","30","20","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00024","","","","30","27","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00025","","","","30","14","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00026","","","","30","24","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00027","","","","30","23","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00028","","","","30","24","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00029","","","","30","10","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00030","","","","30","18","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00031","","","","30","28","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00032","","","","30","30","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00033","","","","30","28","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00034","","","","30","26","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00035","","","","30","30","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00036","","","","30","10","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00037","","","","30","30","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00038","","","","30","29","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00039","","","","30","5","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00040","","","","30","23","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00041","","","","30","24","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00042","","","","30","30","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00043","","","","30","20","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00044","","","","30","10","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00045","","","","30","18","3","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00046","","","","30","27","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00047","","","","30","25","2","4","7","1","6","19","6","10","0.6","0.2","1.4","6","2","3","3","7","0.02","0.8","2.2","0.1","0.02","16","0.842105263","0.533333333","0.315789474","0.2","0.042105263","0.026666667","0.073684211","0.046666667","37.5","36.36363636","63.33333333","0.05","0.666666667","0.888888889","1.555555556","2.444444444","1.052631579","1.403508772","2.456140351","3.859649123"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00048","","","","30","28","1","3","5","1","2","14","7","3","0.4","0.08","0.68","2","2","3","2","5","0","0.48","1.16","0.057142857","0.026666667","10","0.714285714","0.333333333","0.5","0.233333333","0.034285714","0.016","0.048571429","0.022666667","70","41.37931034","46.66666667","0.048","0.444444444","0.533333333","0.755555556","1.288888889","0.952380952","1.142857143","1.619047619","2.761904762"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00049","","","","30","30","1","3","7","1","2","29","14","11","2","0.28","6.6","9","1","4","6","3","0.02","2.28","8.88","0.142857143","0.025454545","25","0.862068966","0.833333333","0.482758621","0.466666667","0.07862069","0.076","0.227586207","0.22","56","25.67567568","96.66666667","0.0912","2.222222222","2.533333333","7.333333333","9.866666667","2.298850575","2.620689655","7.586206897","10.20689655"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00050","","","","30","28","1","2","4","1","2","9","0","5","0","0.04","0.08","2","1","4","2","9","0.12","0.04","0.12","","0.008","5","0.555555556","0.166666667","0","0","0.004444444","0.001333333","0.008888889","0.002666667","0","33.33333333","30","0.008","0","0.044444444","0.088888889","0.133333333","0","0.148148148","0.296296296","0.444444444"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00051","","","","30","27","2","2","5","1","4","14","3","2","0.28","0.02","1.6","5","2","1","2","7","3.03","0.3","1.9","0.093333333","0.01","5","0.357142857","0.166666667","0.214285714","0.1","0.021428571","0.01","0.114285714","0.053333333","60","15.78947368","46.66666667","0.06","0.311111111","0.333333333","1.777777778","2.111111111","0.666666667","0.714285714","3.80952381","4.523809524"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00052","","","","30","26","1","2","7","2","3","17","13","7","1.3","0.24","2.6","2","3","5","6","5","0.02","1.54","4.14","0.1","0.034285714","20","1.176470588","0.666666667","0.764705882","0.433333333","0.090588235","0.051333333","0.152941176","0.086666667","65","37.19806763","56.66666667","0.077","1.444444444","1.711111111","2.888888889","4.6","2.549019608","3.019607843","5.098039216","8.117647059"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00053","","","","30","28","2","4","7","2","2","23","31","12","6.8","0.2","7.2","2","3","2","6","1","0.12","7","14.2","0.219354839","0.016666667","43","1.869565217","1.433333333","1.347826087","1.033333333","0.304347826","0.233333333","0.313043478","0.24","72.09302326","49.29577465","76.66666667","0.162790698","7.555555556","7.777777778","8","15.77777778","9.855072464","10.14492754","10.43478261","20.57971014"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00054","","","","30","30","1","2","8","1","3","24","6","69","0.72","1.5","5.8","5","1","1","9","5","0.12","2.22","8.02","0.12","0.02173913","75","3.125","2.5","0.25","0.2","0.0925","0.074","0.241666667","0.193333333","8","27.680798","80","0.0296","0.8","2.466666667","6.444444444","8.911111111","1","3.083333333","8.055555556","11.13888889"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00055","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00056","","","","30","30","2","3","7","1","4","25","53","48","4.4","1.2","8.4","9","1","1","7","3","0.02","5.6","14","0.083018868","0.025","101","4.04","3.366666667","2.12","1.766666667","0.224","0.186666667","0.336","0.28","52.47524752","40","83.33333333","0.055445545","4.888888889","6.222222222","9.333333333","15.55555556","5.866666667","7.466666667","11.2","18.66666667"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00057","","","","30","15","1","2","7","1","4","14","25","4","2.7","0.08","2.3","9","3","4","7","3","1.38","2.78","5.08","0.108","0.02","29","2.071428571","0.966666667","1.785714286","0.833333333","0.198571429","0.092666667","0.164285714","0.076666667","86.20689655","54.72440945","46.66666667","0.095862069","3","3.088888889","2.555555556","5.644444444","6.428571429","6.619047619","5.476190476","12.0952381"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00058","","","","30","28","3","4","8","2","3","28","39","6","6.9","0.2","7.2","2","3","4","6","3","0","7.1","14.3","0.176923077","0.033333333","45","1.607142857","1.5","1.392857143","1.3","0.253571429","0.236666667","0.257142857","0.24","86.66666667","49.65034965","93.33333333","0.157777778","7.666666667","7.888888889","8","15.88888889","8.214285714","8.452380952","8.571428571","17.02380952"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00059","","","","30","29","3","5","7","2","3","29","2","3","0.1","0.04","8.2","2","1","1","2","9","0.12","0.14","8.34","0.05","0.013333333","5","0.172413793","0.166666667","0.068965517","0.066666667","0.004827586","0.004666667","0.282758621","0.273333333","40","1.678657074","96.66666667","0.028","0.111111111","0.155555556","9.111111111","9.266666667","0.114942529","0.16091954","9.425287356","9.586206897"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00060","","","","30","8","1","4","7","1","3","2","3","0","0.6","0","0.6","9","1","1","4","5","0.12","0.6","1.2","0.2","","3","1.5","0.1","1.5","0.1","0.3","0.02","0.3","0.02","100","50","6.666666667","0.2","0.666666667","0.666666667","0.666666667","1.333333333","10","10","10","20"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00061","","","","30","26","3","6","7","2","3","20","11","14","2","0.4","4.6","9","1","3","4","3","0.12","2.4","7","0.181818182","0.028571429","25","1.25","0.833333333","0.55","0.366666667","0.12","0.08","0.23","0.153333333","44","34.28571429","66.66666667","0.096","2.222222222","2.666666667","5.111111111","7.777777778","3.333333333","4","7.666666667","11.66666667"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00062","","","","30","30","1","5","6","1","4","26","21","32","1.8","0.68","1.3","2","1","6","2","5","0.02","2.48","3.78","0.085714286","0.02125","53","2.038461538","1.766666667","0.807692308","0.7","0.095384615","0.082666667","0.05","0.043333333","39.62264151","65.60846561","86.66666667","0.046792453","2","2.755555556","1.444444444","4.2","2.307692308","3.179487179","1.666666667","4.846153846"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00063","","","","30","30","3","3","6","2","2","28","","","","","1.3","","","","","","","","","","","","","","","","","","0.046428571","0.043333333","","","93.33333333","","","","1.444444444","","","","1.547619048",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00064","","","","30","24","2","3","7","1","2","18","36","23","3","0.56","6.4","5","3","3","7","3","5.46","3.56","9.96","0.083333333","0.024347826","59","3.277777778","1.966666667","2","1.2","0.197777778","0.118666667","0.355555556","0.213333333","61.01694915","35.74297189","60","0.060338983","3.333333333","3.955555556","7.111111111","11.06666667","5.555555556","6.592592593","11.85185185","18.44444444"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00065","","","","30","14","3","2","7","1","2","5","3","0","0.8","0","2.2","6","3","3","6","5","0.02","0.8","3","0.266666667","","3","0.6","0.1","0.6","0.1","0.16","0.026666667","0.44","0.073333333","100","26.66666667","16.66666667","0.266666667","0.888888889","0.888888889","2.444444444","3.333333333","5.333333333","5.333333333","14.66666667","20"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00066","","","","30","28","2","2","7","1","2","20","","","","","12","","","","","","","","","","","","","","","","","","0.6","0.4","","","66.66666667","","","","13.33333333","","","","20",""
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00067","","","","30","22","1","3","7","1","2","22","29","16","4.6","0.5","3.4","2","1","6","9","1","1.38","5.1","8.5","0.15862069","0.03125","45","2.045454545","1.5","1.318181818","0.966666667","0.231818182","0.17","0.154545455","0.113333333","64.44444444","60","73.33333333","0.113333333","5.111111111","5.666666667","3.777777778","9.444444444","6.96969697","7.727272727","5.151515152","12.87878788"
"","","UGP2014KAC-PT02","","","","","","","","","UGP2014KAC-PT02-00068","","","","30","20","2","4","8","1","3","15","35","13","7.4","0.28","6.6","2","3","1","5","3","0.12","7.68","14.28","0.211428571","0.021538462","48","3.2","1.6","2.333333333","1.166666667","0.512","0.256","0.44","0.22","72.91666667","53.78151261","50","0.16","8.222222222","8.533333333","7.333333333","15.86666667","16.44444444","17.06666667","14.66666667","31.73333333"
