"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00011","","","","30","29","2","2","7","1","2","11","26","9","4.2","0.15","19","9","2","1","1","5","5","4.35","23.35","35","0.161538462","0.016666667","0.124285714","3.181818182","1.166666667","2.363636364","0.866666667","0.395454545","0.145","1.727272727","0.633333333","74.28571429","18.62955032","36.66666667","4.666666667","4.833333333","21.11111111","25.94444444","12.72727273","13.18181818","57.57575758","70.75757576"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00012","","","","30","26","2","2","8","1","2","14","72","14","7.2","0.1","12","9","2","1","1","2","3","7.3","19.3","86","0.1","0.007142857","0.084883721","6.142857143","2.866666667","5.142857143","2.4","0.521428571","0.243333333","0.857142857","0.4","83.72093023","37.8238342","46.66666667","8","8.111111111","13.33333333","21.44444444","17.14285714","17.38095238","28.57142857","45.95238095"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00013","","","","30","30","2","3","7","1","2","24","44","2","15.9","0.05","12","6","3","1","1","4","3","15.95","27.95","46","0.361363636","0.025","0.34673913","1.916666667","1.533333333","1.833333333","1.466666667","0.664583333","0.531666667","0.5","0.4","95.65217391","57.06618962","80","17.66666667","17.72222222","13.33333333","31.05555556","22.08333333","22.15277778","16.66666667","38.81944444"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00014","","","","30","28","2","3","7","1","2","5","1","0","0.42","0","9.2","9","3","1","1","2","3","0.42","9.62","1","0.42","","0.42","0.2","0.033333333","0.2","0.033333333","0.084","0.014","1.84","0.306666667","100","4.365904366","16.66666667","0.466666667","0.466666667","10.22222222","10.68888889","2.8","2.8","61.33333333","64.13333333"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00015","","","","30","24","3","2","8","1","3","10","0","4","0","0.08","13","2","3","1","1","3","7","0.08","13.08","4","","0.02","0.02","0.4","0.133333333","0","0","0.008","0.002666667","1.3","0.433333333","0","0.611620795","33.33333333","0","0.088888889","14.44444444","14.53333333","0","0.266666667","43.33333333","43.6"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00016","","","","30","27","2","2","7","1","2","26","38","9","11.3","0.2","30.3","2","3","1","1","8","3","11.5","41.8","47","0.297368421","0.022222222","0.244680851","1.807692308","1.566666667","1.461538462","1.266666667","0.442307692","0.383333333","1.165384615","1.01","80.85106383","27.51196172","86.66666667","12.55555556","12.77777778","33.66666667","46.44444444","14.48717949","14.74358974","38.84615385","53.58974359"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00017","","","","30","26","3","4","8","1","2","15","12","2","1.5","0.04","4","5","3","1","1","2","5","1.54","5.54","14","0.125","0.02","0.11","0.933333333","0.466666667","0.8","0.4","0.102666667","0.051333333","0.266666667","0.133333333","85.71428571","27.79783394","50","1.666666667","1.711111111","4.444444444","6.155555556","3.333333333","3.422222222","8.888888889","12.31111111"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00018","","","","30","30","2","2","9","1","2","26","30","5","7","0.1","19.2","8","3","1","1","2","5","7.1","26.3","35","0.233333333","0.02","0.202857143","1.346153846","1.166666667","1.153846154","1","0.273076923","0.236666667","0.738461538","0.64","85.71428571","26.99619772","86.66666667","7.777777778","7.888888889","21.33333333","29.22222222","8.974358974","9.102564103","24.61538462","33.71794872"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00019","","","","30","27","2","3","7","1","2","19","5","0","1","0","34","8","3","1","1","8","3","1","35","5","0.2","","0.2","0.263157895","0.166666667","0.263157895","0.166666667","0.052631579","0.033333333","1.789473684","1.133333333","100","2.857142857","63.33333333","1.111111111","1.111111111","37.77777778","38.88888889","1.754385965","1.754385965","59.64912281","61.40350877"
"","","UGP2015SER-PT05","","","","","","","","","UGP2015SER-PT05-00020","","","","30","22","3","4","7","1","3","7","0","0","0","0","7","","","","","","","0","7","0","","","","0","0","0","0","0","0","1","0.233333333","","0","23.33333333","0","0","7.777777778","7.777777778","0","0","33.33333333","33.33333333"
