"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00011","","","","20","20","3","1","4","8","1","17","0","0","0","0","7.2","","","","","","","0","7.2","0","","","","0","0","0","0","0","0","0.423529412","0.36","","0","85","0","0","12","12","0","0","14.11764706","14.11764706"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00012","","","","20","16","1","1","1","9","1","16","10","0","1.75","0","4.45","8","2","3","3","3","1","1.75","6.2","10","0.175","","0.175","0.625","0.5","0.625","0.5","0.109375","0.0875","0.278125","0.2225","100","28.22580645","80","2.916666667","2.916666667","7.416666667","10.33333333","3.645833333","3.645833333","9.270833333","12.91666667"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00013","","","","20","20","2","1","2","8","1","17","20","3","2.75","0.02","8.75","2","5","3","3","3","1","2.77","11.52","23","0.1375","0.006666667","0.120434783","1.352941176","1.15","1.176470588","1","0.162941176","0.1385","0.514705882","0.4375","86.95652174","24.04513889","85","4.583333333","4.616666667","14.58333333","19.2","5.392156863","5.431372549","17.15686275","22.58823529"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00014","","","","20","15","1","1","1","7","1","15","2","","","","3.6","4","6","3","3","6","1","","","","","","","","","0.133333333","0.1","","","0.24","0.18","","","75","","","6","","","","8",""
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00015","","","","20","20","2","1","2","8","1","18","0","0","0","0","4","","","","","","","0","4","0","","","","0","0","0","0","0","0","0.222222222","0.2","","0","90","0","0","6.666666667","6.666666667","0","0","7.407407407","7.407407407"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00016","","","","20","15","3","1","3","8","2","15","14","4","3.45","0.03","4.5","2","2","1","3","3","1","3.48","7.98","18","0.246428571","0.0075","0.193333333","1.2","0.9","0.933333333","0.7","0.232","0.174","0.3","0.225","77.77777778","43.60902256","75","5.75","5.8","7.5","13.3","7.666666667","7.733333333","10","17.73333333"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00017","","","","20","20","1","1","1","9","1","18","11","0","1.85","0","10.6","2","3","3","4","3","4","1.85","12.45","11","0.168181818","","0.168181818","0.611111111","0.55","0.611111111","0.55","0.102777778","0.0925","0.588888889","0.53","100","14.85943775","90","3.083333333","3.083333333","17.66666667","20.75","3.425925926","3.425925926","19.62962963","23.05555556"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00018","","","","20","14","2","1","2","8","1","14","0","1","0","0.02","14.2","6","5","1","3","8","1","0.02","14.22","1","","0.02","0.02","0.071428571","0.05","0","0","0.001428571","0.001","1.014285714","0.71","0","0.140646976","70","0","0.033333333","23.66666667","23.7","0","0.047619048","33.80952381","33.85714286"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00019","","","","20","15","2","1","2","7","1","15","0","0","0","0","1.75","","","","","","","0","1.75","0","","","","0","0","0","0","0","0","0.116666667","0.0875","","0","75","0","0","2.916666667","2.916666667","0","0","3.888888889","3.888888889"
"","","UGP2018SER-PT01","","","","","","","","","UGP2018SER-PT01-00020","","","","20","3","2","1","2","6","1","3","0","0","0","0","1.2","","","","","","","0","1.2","0","","","","0","0","0","0","0","0","0.4","0.06","","0","15","0","0","2","2","0","0","13.33333333","13.33333333"
