"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00027","","","","30","23","1","3","9","1","2","23","103","70","13","2","35","8","5","3","1","2","0","15","50","173","0.126213592","0.028571429","0.086705202","7.52173913","5.766666667","4.47826087","3.433333333","0.652173913","0.5","1.52173913","1.166666667","59.53757225","30","76.66666667","14.44444444","16.66666667","38.88888889","55.55555556","18.84057971","21.73913043","50.72463768","72.46376812"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00028","","","","30","13","2","4","7","1","3","13","22","6","4","0.1","8.5","2","3","4","5","2","1.38","4.1","12.6","28","0.181818182","0.016666667","0.146428571","2.153846154","0.933333333","1.692307692","0.733333333","0.315384615","0.136666667","0.653846154","0.283333333","78.57142857","32.53968254","43.33333333","4.444444444","4.555555556","9.444444444","14","10.25641026","10.51282051","21.79487179","32.30769231"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00029","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00030","","","","30","19","2","6","7","1","2","14","18","5","4.5","0.12","8.2","8","3","2","2","2","0.12","4.62","12.82","23","0.25","0.024","0.200869565","1.642857143","0.766666667","1.285714286","0.6","0.33","0.154","0.585714286","0.273333333","78.26086957","36.0374415","46.66666667","5","5.133333333","9.111111111","14.24444444","10.71428571","11","19.52380952","30.52380952"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00031","","","","30","26","2","6","9","1","2","19","30","1","7.5","0.01","32","6","3","9","3","4","0.12","7.51","39.51","31","0.25","0.01","0.242258065","1.631578947","1.033333333","1.578947368","1","0.395263158","0.250333333","1.684210526","1.066666667","96.77419355","19.00784611","63.33333333","8.333333333","8.344444444","35.55555556","43.9","13.15789474","13.1754386","56.14035088","69.31578947"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00032","","","","30","27","1","3","9","1","2","13","36","10","6.2","0.1","36.2","8","3","5","2","2","0","6.3","42.5","46","0.172222222","0.01","0.136956522","3.538461538","1.533333333","2.769230769","1.2","0.484615385","0.21","2.784615385","1.206666667","78.26086957","14.82352941","43.33333333","6.888888889","7","40.22222222","47.22222222","15.8974359","16.15384615","92.82051282","108.974359"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00033","","","","30","19","2","4","9","1","2","14","5","0","0.68","0","21","2","5","4","2","4","0.12","0.68","21.68","5","0.136","","0.136","0.357142857","0.166666667","0.357142857","0.166666667","0.048571429","0.022666667","1.5","0.7","100","3.136531365","46.66666667","0.755555556","0.755555556","23.33333333","24.08888889","1.619047619","1.619047619","50","51.61904762"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00034","","","","30","17","1","3","9","1","2","17","72","9","20","0.4","31","9","3","9","3","3","0.12","20.4","51.4","81","0.277777778","0.044444444","0.251851852","4.764705882","2.7","4.235294118","2.4","1.2","0.68","1.823529412","1.033333333","88.88888889","39.68871595","56.66666667","22.22222222","22.66666667","34.44444444","57.11111111","39.21568627","40","60.78431373","100.7843137"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00035","","","","30","15","1","3","9","1","2","15","24","5","6.5","0.12","40","9","3","8","2","1","0","6.62","46.62","29","0.270833333","0.024","0.228275862","1.933333333","0.966666667","1.6","0.8","0.441333333","0.220666667","2.666666667","1.333333333","82.75862069","14.1999142","50","7.222222222","7.355555556","44.44444444","51.8","14.44444444","14.71111111","88.88888889","103.6"
"","","UGP2014NAM-PT08","","","","","","","","","UGP2014NAM-PT08-00036","","","","30","19","2","5","8","1","3","19","48","15","7.5","0.24","11.6","8","3","1","3","4","0.12","7.74","19.34","63","0.15625","0.016","0.122857143","3.315789474","2.1","2.526315789","1.6","0.407368421","0.258","0.610526316","0.386666667","76.19047619","40.02068252","63.33333333","8.333333333","8.6","12.88888889","21.48888889","13.15789474","13.57894737","20.35087719","33.92982456"
