"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Total storage root weight per NET plot in kg|CO_331:0000237","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Biomass yield in kg per plot|CO_331:0000683","Harvest index computing percent|CO_331:0000302","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00001","","","","30","2","8","2","10","51.7","6","1","1","5","3","0","61.7","16.20745543","11.11111111","57.44444444","68.55555556","0.333333333","1.723333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00002","","","","30","2","4","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00003","","","","30","8","3","2","1","0.2","6","3","7","3","9","4.92","1.2","83.33333333","1.111111111","0.222222222","1.333333333","0.033333333","0.006666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00004","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00005","","","","30","6","5","2","2.7","0.8","2","4","3","5","5","0","3.5","77.14285714","3","0.888888889","3.888888889","0.09","0.026666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00006","","","","30","3","6","3","13.2","33.3","5","1","3","5","5","7.23","46.5","28.38709677","14.66666667","37","51.66666667","0.44","1.11"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00007","","","","30","3","4","4","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00008","","","","30","3","5","3","2.2","1.1","2","3","3","3","7","0","3.3","66.66666667","2.444444444","1.222222222","3.666666667","0.073333333","0.036666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00009","","","","30","3","6","2","7","5.6","2","2","5","2","5","0","12.6","55.55555556","7.777777778","6.222222222","14","0.233333333","0.186666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00010","","","","30","2","7","3","6.7","6","6","4","3","2","5","0","12.7","52.75590551","7.444444444","6.666666667","14.11111111","0.223333333","0.2"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00011","","","","30","4","7","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00012","","","","30","6","4","2","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00013","","","","30","4","8","2","6.7","33.3","2","3","2","2","3","1.5","40","16.75","7.444444444","37","44.44444444","0.223333333","1.11"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00014","","","","30","3","6","2","3.3","11.7","2","3","2","2","5","1.5","15","22","3.666666667","13","16.66666667","0.11","0.39"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00015","","","","30","2","7","2","1.8","6.7","2","1","1","2","7","0.12","8.5","21.17647059","2","7.444444444","9.444444444","0.06","0.223333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00016","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00017","","","","30","3","4","2","0","4.2","","","","","","","4.2","0","0","4.666666667","4.666666667","0","0.14"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00018","","","","30","2","9","2","4.9","426.7","8","1","1","6","","0.12","431.6","1.135310473","5.444444444","474.1111111","479.5555556","0.163333333","14.22333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00019","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00020","","","","30","2","6","2","0.3","8.3","2","1","1","9","9","3.96","8.6","3.488372093","0.333333333","9.222222222","9.555555556","0.01","0.276666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00021","","","","30","4","6","3","3","8","2","1","1","1","5","0","11","27.27272727","3.333333333","8.888888889","12.22222222","0.1","0.266666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00022","","","","30","3","8","2","14.9","20","2","1","3","1","1","0","34.9","42.69340974","16.55555556","22.22222222","38.77777778","0.496666667","0.666666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00023","","","","30","6","4","2","0","1.3","","","","","","","1.3","0","0","1.444444444","1.444444444","0","0.043333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00024","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00025","","","","30","3","8","2","21.1","16.7","6","1","1","5","7","14.37","37.8","55.82010582","23.44444444","18.55555556","42","0.703333333","0.556666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00026","","","","30","5","6","3","1.8","0.4","2","1","1","3","7","0","2.2","81.81818182","2","0.444444444","2.444444444","0.06","0.013333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00027","","","","30","3","4","4","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00028","","","","30","6","5","3","3.8","0.9","2","1","6","2","7","1.5","4.7","80.85106383","4.222222222","1","5.222222222","0.126666667","0.03"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00029","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00030","","","","30","3","6","3","3.6","2.7","6","1","1","2","7","14.37","6.3","57.14285714","4","3","7","0.12","0.09"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00031","","","","30","3","6","2","8","16.7","2","1","1","2","5","3.96","24.7","32.38866397","8.888888889","18.55555556","27.44444444","0.266666667","0.556666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00032","","","","30","2","7","3","16.9","10","2","4","3","1","3","5.46","26.9","62.82527881","18.77777778","11.11111111","29.88888889","0.563333333","0.333333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00033","","","","30","3","5","4","3.1","0.9","2","3","5","2","7","0.12","4","77.5","3.444444444","1","4.444444444","0.103333333","0.03"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00034","","","","30","2","5","3","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00035","","","","30","3","4","4","2.3","1.7","6","1","1","3","5","7.76","4","57.5","2.555555556","1.888888889","4.444444444","0.076666667","0.056666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00036","","","","30","6","5","2","0","1","","","","","","","1","0","0","1.111111111","1.111111111","0","0.033333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00037","","","","30","2","6","2","0","1.2","","","","","","","1.2","0","0","1.333333333","1.333333333","0","0.04"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00038","","","","30","3","5","2","4","2.7","2","2","4","4","5","0.15","6.7","59.70149254","4.444444444","3","7.444444444","0.133333333","0.09"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00039","","","","30","5","9","2","14","24","9","5","3","5","3","1.5","38","36.84210526","15.55555556","26.66666667","42.22222222","0.466666667","0.8"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00040","","","","30","5","7","3","1.2","6.7","2","1","1","2","5","0","7.9","15.18987342","1.333333333","7.444444444","8.777777778","0.04","0.223333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00041","","","","30","3","6","2","2.2","4.2","2","3","1","5","3","3.03","6.4","34.375","2.444444444","4.666666667","7.111111111","0.073333333","0.14"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00042","","","","30","4","7","3","1.2","13.3","2","1","1","5","3","0","14.5","8.275862069","1.333333333","14.77777778","16.11111111","0.04","0.443333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00043","","","","30","3","7","2","10","10","2","1","1","5","3","0.15","20","50","11.11111111","11.11111111","22.22222222","0.333333333","0.333333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00044","","","","30","4","5","3","5.6","0.3","2","2","1","2","5","0","5.9","94.91525424","6.222222222","0.333333333","6.555555556","0.186666667","0.01"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00045","","","","30","4","7","2","0.3","6.7","2","1","1","2","9","0","7","4.285714286","0.333333333","7.444444444","7.777777778","0.01","0.223333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00046","","","","30","5","7","3","1","10","6","1","1","3","7","0","11","9.090909091","1.111111111","11.11111111","12.22222222","0.033333333","0.333333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00047","","","","30","2","6","3","2.7","0.9","5","3","2","2","5","0","3.6","75","3","1","4","0.09","0.03"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00048","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00049","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00050","","","","30","4","6","2","0","2","","","","","","","2","0","0","2.222222222","2.222222222","0","0.066666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00051","","","","30","4","6","2","2.2","3.2","6","2","1","2","5","5.46","5.4","40.74074074","2.444444444","3.555555556","6","0.073333333","0.106666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00052","","","","30","2","3","2","1.7","3.3","6","1","1","3","9","3.03","5","34","1.888888889","3.666666667","5.555555556","0.056666667","0.11"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00053","","","","30","6","5","4","4.2","1","6","3","2","5","3","4.61","5.2","80.76923077","4.666666667","1.111111111","5.777777778","0.14","0.033333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00054","","","","30","6","8","3","4.8","29.3","5","1","1","3","3","0","34.1","14.07624633","5.333333333","32.55555556","37.88888889","0.16","0.976666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00055","","","","30","4","6","2","1.7","3.3","2","2","1","3","7","5.46","5","34","1.888888889","3.666666667","5.555555556","0.056666667","0.11"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00056","","","","30","3","7","2","5.3","4","6","2","4","6","5","0","9.3","56.98924731","5.888888889","4.444444444","10.33333333","0.176666667","0.133333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00057","","","","30","2","6","2","2.7","2","6","1","1","2","7","5.46","4.7","57.44680851","3","2.222222222","5.222222222","0.09","0.066666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00058","","","","30","4","8","3","9.2","20","6","1","1","5","5","3.96","29.2","31.50684932","10.22222222","22.22222222","32.44444444","0.306666667","0.666666667"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00059","","","","30","3","4","4","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00060","","","","30","4","5","2","0","1.3","","","","","","","1.3","0","0","1.444444444","1.444444444","0","0.043333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00061","","","","30","3","4","3","2.4","0.4","8","4","6","8","5","7.23","2.8","85.71428571","2.666666667","0.444444444","3.111111111","0.08","0.013333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00062","","","","30","6","6","3","0.4","2.2","2","2","3","3","9","0","2.6","15.38461538","0.444444444","2.444444444","2.888888889","0.013333333","0.073333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00063","","","","30","","","","0","0","","","","","","","0","","0","0","0","0","0"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00064","","","","30","3","7","2","3.2","13.3","2","1","1","1","7","4.61","16.5","19.39393939","3.555555556","14.77777778","18.33333333","0.106666667","0.443333333"
"","","UGP2014NAM-PT03","","","","","","","","","UGP2014NAM-PT03-00065","","","","30","3","5","2","2.7","2.7","6","1","1","2","7","3.96","5.4","50","3","3","6","0.09","0.09"
