"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00011","","","","30","28","1","1","6","1","3","20","10","25","0.6","0.44","7.8","8","3","1","1","5","5","0.12","1.04","8.84","35","0.06","0.0176","0.029714286","1.75","1.166666667","0.5","0.333333333","0.052","0.034666667","0.39","0.26","28.57142857","11.76470588","66.66666667","0.666666667","1.155555556","8.666666667","9.822222222","1","1.733333333","13","14.73333333"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00012","","","","30","25","1","2","6","1","1","17","3","19","0.18","0.4","9.2","8","3","1","1","5","7","0.12","0.58","9.78","22","0.06","0.021052632","0.026363636","1.294117647","0.733333333","0.176470588","0.1","0.034117647","0.019333333","0.541176471","0.306666667","13.63636364","5.930470348","56.66666667","0.2","0.644444444","10.22222222","10.86666667","0.352941176","1.137254902","18.03921569","19.17647059"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00013","","","","30","8","1","1","7","1","2","8","5","4","2","0.1","4","6","2","1","1","9","3","0","2.1","6.1","9","0.4","0.025","0.233333333","1.125","0.3","0.625","0.166666667","0.2625","0.07","0.5","0.133333333","55.55555556","34.42622951","26.66666667","2.222222222","2.333333333","4.444444444","6.777777778","8.333333333","8.75","16.66666667","25.41666667"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00014","","","","30","15","1","2","7","1","2","12","3","5","0.5","0.08","7.7","8","2","1","1","8","5","0","0.58","8.28","8","0.166666667","0.016","0.0725","0.666666667","0.266666667","0.25","0.1","0.048333333","0.019333333","0.641666667","0.256666667","37.5","7.004830918","40","0.555555556","0.644444444","8.555555556","9.2","1.388888889","1.611111111","21.38888889","23"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00015","","","","30","19","1","2","7","1","4","14","4","10","1.2","0.3","13.6","2","3","1","1","6","3","0.12","1.5","15.1","14","0.3","0.03","0.107142857","1","0.466666667","0.285714286","0.133333333","0.107142857","0.05","0.971428571","0.453333333","28.57142857","9.933774834","46.66666667","1.333333333","1.666666667","15.11111111","16.77777778","2.857142857","3.571428571","32.38095238","35.95238095"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00016","","","","30","24","1","2","7","1","3","15","1","4","0.08","0.08","20","2","3","1","1","9","9","0.12","0.16","20.16","5","0.08","0.02","0.032","0.333333333","0.166666667","0.066666667","0.033333333","0.010666667","0.005333333","1.333333333","0.666666667","20","0.793650794","50","0.088888889","0.177777778","22.22222222","22.4","0.177777778","0.355555556","44.44444444","44.8"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00017","","","","30","24","1","3","6","1","2","12","4","3","0.48","1","4.5","8","3","1","1","4","3","0.12","1.48","5.98","7","0.12","0.333333333","0.211428571","0.583333333","0.233333333","0.333333333","0.133333333","0.123333333","0.049333333","0.375","0.15","57.14285714","24.74916388","40","0.533333333","1.644444444","5","6.644444444","1.333333333","4.111111111","12.5","16.61111111"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00018","","","","30","27","1","2","7","1","2","22","10","4","1.5","0.1","9.3","2","5","1","3","5","5","0","1.6","10.9","14","0.15","0.025","0.114285714","0.636363636","0.466666667","0.454545455","0.333333333","0.072727273","0.053333333","0.422727273","0.31","71.42857143","14.67889908","73.33333333","1.666666667","1.777777778","10.33333333","12.11111111","2.272727273","2.424242424","14.09090909","16.51515152"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00019","","","","30","27","1","2","6","1","2","13","0","2","0","0.04","5","8","3","2","3","5","9","0.12","0.04","5.04","2","","0.02","0.02","0.153846154","0.066666667","0","0","0.003076923","0.001333333","0.384615385","0.166666667","0","0.793650794","43.33333333","0","0.044444444","5.555555556","5.6","0","0.102564103","12.82051282","12.92307692"
"","","UGP2015KAC-PT04","","","","","","","","","UGP2015KAC-PT04-00020","","","","30","24","1","1","7","1","3","19","6","13","0.4","0.16","13.6","2","2","1","1","8","7","0","0.56","14.16","19","0.066666667","0.012307692","0.029473684","1","0.633333333","0.315789474","0.2","0.029473684","0.018666667","0.715789474","0.453333333","31.57894737","3.95480226","63.33333333","0.444444444","0.622222222","15.11111111","15.73333333","0.701754386","0.98245614","23.85964912","24.84210526"
