"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00001","","","","30","28","1","2","8","1","2","10","58","7","11.4","0.24","7.2","8","1","1","8","3","0.12","11.64","18.84","65","0.196551724","0.034285714","0.179076923","6.5","2.166666667","5.8","1.933333333","1.164","0.388","0.72","0.24","89.23076923","61.78343949","33.33333333","12.66666667","12.93333333","8","20.93333333","38","38.8","24","62.8"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00002","","","","30","30","1","3","9","2","3","20","57","15","11.2","0.42","25.4","2","2","1","4","3","0.12","11.62","37.02","72","0.196491228","0.028","0.161388889","3.6","2.4","2.85","1.9","0.581","0.387333333","1.27","0.846666667","79.16666667","31.38843868","66.66666667","12.44444444","12.91111111","28.22222222","41.13333333","18.66666667","19.36666667","42.33333333","61.7"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00003","","","","30","30","1","2","8","1","1","29","78","11","20.4","0.4","24","2","1","1","8","1","0.12","20.8","44.8","89","0.261538462","0.036363636","0.233707865","3.068965517","2.966666667","2.689655172","2.6","0.717241379","0.693333333","0.827586207","0.8","87.64044944","46.42857143","96.66666667","22.66666667","23.11111111","26.66666667","49.77777778","23.44827586","23.90804598","27.5862069","51.49425287"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00004","","","","30","30","1","2","8","1","1","18","23","0","6.4","0","14","2","1","1","6","3","0","6.4","20.4","23","0.27826087","","0.27826087","1.277777778","0.766666667","1.277777778","0.766666667","0.355555556","0.213333333","0.777777778","0.466666667","100","31.37254902","60","7.111111111","7.111111111","15.55555556","22.66666667","11.85185185","11.85185185","25.92592593","37.77777778"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00005","","","","30","28","1","2","7","1","1","23","36","0","8","0","7.8","8","1","1","6","3","0","8","15.8","36","0.222222222","","0.222222222","1.565217391","1.2","1.565217391","1.2","0.347826087","0.266666667","0.339130435","0.26","100","50.63291139","76.66666667","8.888888889","8.888888889","8.666666667","17.55555556","11.5942029","11.5942029","11.30434783","22.89855072"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00006","","","","30","30","1","2","8","1","1","30","31","2","6.4","0.08","2.3","9","1","1","8","3","0","6.48","8.78","33","0.206451613","0.04","0.196363636","1.1","1.1","1.033333333","1.033333333","0.216","0.216","0.076666667","0.076666667","93.93939394","73.80410023","100","7.111111111","7.2","2.555555556","9.755555556","7.111111111","7.2","2.555555556","9.755555556"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00007","","","","30","22","1","6","7","1","2","14","6","2","0.69","0.08","2.4","2","1","1","3","5","0.12","0.77","3.17","8","0.115","0.04","0.09625","0.571428571","0.266666667","0.428571429","0.2","0.055","0.025666667","0.171428571","0.08","75","24.29022082","46.66666667","0.766666667","0.855555556","2.666666667","3.522222222","1.642857143","1.833333333","5.714285714","7.547619048"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00008","","","","30","26","","4","7","1","2","25","7","6","0.6","0.28","15","2","1","1","3","7","0.15","0.88","15.88","13","0.085714286","0.046666667","0.067692308","0.52","0.433333333","0.28","0.233333333","0.0352","0.029333333","0.6","0.5","53.84615385","5.541561713","83.33333333","0.666666667","0.977777778","16.66666667","17.64444444","0.8","1.173333333","20","21.17333333"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00009","","","","30","30","1","3","7","1","2","26","61","12","11.3","0.3","7.4","2","1","1","8","3","0.12","11.6","19","73","0.185245902","0.025","0.15890411","2.807692308","2.433333333","2.346153846","2.033333333","0.446153846","0.386666667","0.284615385","0.246666667","83.56164384","61.05263158","86.66666667","12.55555556","12.88888889","8.222222222","21.11111111","14.48717949","14.87179487","9.487179487","24.35897436"
"","","UGP2015NAM-PT08","","","","","","","","","UGP2015NAM-PT08-00010","","","","30","24","1","2","7","1","2","19","30","1","6.4","0.04","4.8","8","3","1","4","3","0","6.44","11.24","31","0.213333333","0.04","0.207741935","1.631578947","1.033333333","1.578947368","1","0.338947368","0.214666667","0.252631579","0.16","96.77419355","57.29537367","63.33333333","7.111111111","7.155555556","5.333333333","12.48888889","11.22807018","11.29824561","8.421052632","19.71929825"
