"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01009","","","","30","38","25","30","5","2","1","2","5","3","4","8","2","2","7.5","0.85","2","14.37","8.35","10.35","0.197368421","0.034","63","2.1","2.1","1.266666667","1.266666667","0.278333333","0.278333333","0.066666667","0.066666667","60.31746032","80.6763285","100","0.132539683","8.333333333","9.277777778","2.222222222","11.5","8.333333333","9.277777778","2.222222222","11.5"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01013","","","","30","15","33","28","9","2","1","2","4","4","4","7","2","2","3","1.1","7","10.5","4.1","11.1","0.2","0.033333333","48","1.714285714","1.6","0.535714286","0.5","0.146428571","0.136666667","0.25","0.233333333","31.25","36.93693694","93.33333333","0.085416667","3.333333333","4.555555556","7.777777778","12.33333333","3.571428571","4.880952381","8.333333333","13.21428571"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-01003","","","","30","40","75","30","3","2","1","2","3","7","3","8","1","2","5","2","3","11.03","7","10","0.125","0.026666667","115","3.833333333","3.833333333","1.333333333","1.333333333","0.233333333","0.233333333","0.1","0.1","34.7826087","70","100","0.060869565","5.555555556","7.777777778","3.333333333","11.11111111","5.555555556","7.777777778","3.333333333","11.11111111"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02013","","","","30","38","33","27","5","3","2","2","4","3","2","7","1","2","6.1","0.85","5","7.76","6.95","11.95","0.160526316","0.025757576","71","2.62962963","2.366666667","1.407407407","1.266666667","0.257407407","0.231666667","0.185185185","0.166666667","53.52112676","58.15899582","90","0.097887324","6.777777778","7.722222222","5.555555556","13.27777778","7.530864198","8.580246914","6.172839506","14.75308642"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02009","","","","30","11","18","27","4","1","3","2","3","4","6","7","2","2","0.8","0.3","0.25","3.96","1.1","1.35","0.072727273","0.016666667","29","1.074074074","0.966666667","0.407407407","0.366666667","0.040740741","0.036666667","0.009259259","0.008333333","37.93103448","81.48148148","90","0.037931034","0.888888889","1.222222222","0.277777778","1.5","0.987654321","1.358024691","0.308641975","1.666666667"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02001","","","","30","32","54","30","9","2","2","2","4","3","4","7","1","1","3","1.05","9","14.37","4.05","13.05","0.09375","0.019444444","86","2.866666667","2.866666667","1.066666667","1.066666667","0.135","0.135","0.3","0.3","37.20930233","31.03448276","100","0.047093023","3.333333333","4.5","10","14.5","3.333333333","4.5","10","14.5"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02008","","","","30","26","38","26","5","2","3","1","1","3","5","6","2","1","1.6","0.85","4","5.46","2.45","6.45","0.061538462","0.022368421","64","2.461538462","2.133333333","1","0.866666667","0.094230769","0.081666667","0.153846154","0.133333333","40.625","37.98449612","86.66666667","0.03828125","1.777777778","2.722222222","4.444444444","7.166666667","2.051282051","3.141025641","5.128205128","8.269230769"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02012","","","","30","103","50","30","9","1","1","1","1","4","3","8","1","1","16","1.5","10","14.37","17.5","27.5","0.155339806","0.03","153","5.1","5.1","3.433333333","3.433333333","0.583333333","0.583333333","0.333333333","0.333333333","67.32026144","63.63636364","100","0.114379085","17.77777778","19.44444444","11.11111111","30.55555556","17.77777778","19.44444444","11.11111111","30.55555556"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02010","","","","30","21","46","30","3","2","2","2","1","3","4","7","1","1","2.2","1.15","5","14.37","3.35","8.35","0.104761905","0.025","67","2.233333333","2.233333333","0.7","0.7","0.111666667","0.111666667","0.166666667","0.166666667","31.34328358","40.11976048","100","0.05","2.444444444","3.722222222","5.555555556","9.277777778","2.444444444","3.722222222","5.555555556","9.277777778"
"","","UGP2018KAC-AT01","","","","","","","","","UGP2018KAC-AT01-02005","","","","30","45","40","30","9","2","2","1","3","7","3","8","1","2","5.7","1.2","16","11.03","6.9","22.9","0.126666667","0.03","85","2.833333333","2.833333333","1.5","1.5","0.23","0.23","0.533333333","0.533333333","52.94117647","30.13100437","100","0.081176471","6.333333333","7.666666667","17.77777778","25.44444444","6.333333333","7.666666667","17.77777778","25.44444444"
