"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01011","","","","10","9","2","2","7","1","2","6","7","3","0.91","0.15","0.15","3","3","1","3","4","1","1.06","1.21","0.13","0.05","10","1.666666667","1.166666667","0.176666667","0.025","70","87.60330579","0.106","3.033333333","3.533333333","0.5","4.033333333","1","0.7","0.106","0.015","60","5.055555556","5.888888889","0.833333333","6.722222222"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01012","","","","10","10","2","2","6","2","2","8","1","1","0.26","0.04","0.55","8","6","1","3","5","1","0.3","0.85","0.26","0.04","2","0.25","0.125","0.0375","0.06875","50","35.29411765","0.15","0.866666667","1","1.833333333","2.833333333","0.2","0.1","0.03","0.055","80","1.083333333","1.25","2.291666667","3.541666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01013","","","","10","10","2","2","6","1","2","6","6","0","0.3","0","0.9","5","8","1","3","5","1","0.3","1.2","0.05","","6","1","1","0.05","0.15","100","25","0.05","1","1","3","4","0.6","0.6","0.03","0.09","60","1.666666667","1.666666667","5","6.666666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01014","","","","10","10","2","1","8","2","1","9","16","7","2.02","0.24","2.3","8","2","1","4","3","1","2.26","4.56","0.12625","0.034285714","23","2.555555556","1.777777778","0.251111111","0.255555556","69.56521739","49.56140351","0.09826087","6.733333333","7.533333333","7.666666667","15.2","2.3","1.6","0.226","0.23","90","7.481481481","8.37037037","8.518518519","16.88888889"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01015","","","","10","10","2","1","4","1","3","10","4","0","0.12","0","0.75","8","7","1","7","7","1","0.12","0.87","0.03","","4","0.4","0.4","0.012","0.075","100","13.79310345","0.03","0.4","0.4","2.5","2.9","0.4","0.4","0.012","0.075","100","0.4","0.4","2.5","2.9"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01016","","","","10","10","2","1","4","2","1","6","0","3","0","0.04","0.55","5","6","1","3","8","1","0.04","0.59","","0.013333333","3","0.5","0","0.006666667","0.091666667","0","6.779661017","0.013333333","0","0.133333333","1.833333333","1.966666667","0.3","0","0.004","0.055","60","0","0.222222222","3.055555556","3.277777778"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01017","","","","10","10","1","1","4","1","2","10","9","5","0.45","0.05","0.8","5","2","2","7","7","1","0.5","1.3","0.05","0.01","14","1.4","0.9","0.05","0.08","64.28571429","38.46153846","0.035714286","1.5","1.666666667","2.666666667","4.333333333","1.4","0.9","0.05","0.08","100","1.5","1.666666667","2.666666667","4.333333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01018","","","","10","10","2","1","7","2","1","10","13","4","0.94","0.02","1.75","3","7","2","4","4","1","0.96","2.71","0.072307692","0.005","17","1.7","1.3","0.096","0.175","76.47058824","35.42435424","0.056470588","3.133333333","3.2","5.833333333","9.033333333","1.7","1.3","0.096","0.175","100","3.133333333","3.2","5.833333333","9.033333333"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01019","","","","10","10","2","2","7","1","2","10","12","0","1.44","0","2.3","6","6","1","4","3","1","1.44","3.74","0.12","","12","1.2","1.2","0.144","0.23","100","38.5026738","0.12","4.8","4.8","7.666666667","12.46666667","1.2","1.2","0.144","0.23","100","4.8","4.8","7.666666667","12.46666667"
"","","UGP2018KAC-ST01","","","","","","","","","UGP2018KAC-ST01-01020","","","","10","10","2","1","5","2","1","10","6","2","0.51","0.04","0.75","8","6","2","3","4","1","0.55","1.3","0.085","0.02","8","0.8","0.6","0.055","0.075","75","42.30769231","0.06875","1.7","1.833333333","2.5","4.333333333","0.8","0.6","0.055","0.075","100","1.7","1.833333333","2.5","4.333333333"
