"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00058","","","","30","16","2","4","7","2","2","15","18","7","5.5","0.25","6.1","8","3","4","3","1","0","5.75","11.85","0.305555556","0.035714286","25","1.666666667","0.833333333","1.2","0.6","0.383333333","0.191666667","0.406666667","0.203333333","72","48.52320675","50","0.23","6.111111111","6.388888889","6.777777778","13.16666667","12.22222222","12.77777778","13.55555556","26.33333333"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00059","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00060","","","","30","13","1","3","9","1","2","13","41","75","6.3","1.5","22.9","8","5","3","3","1","1.5","7.8","30.7","0.153658537","0.02","116","8.923076923","3.866666667","3.153846154","1.366666667","0.6","0.26","1.761538462","0.763333333","35.34482759","25.40716612","43.33333333","0.067241379","7","8.666666667","25.44444444","34.11111111","16.15384615","20","58.71794872","78.71794872"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00061","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00062","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00063","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00064","","","","30","18","2","3","9","2","2","18","18","60","1.7","0.84","55.8","2","","7","2","1","0.12","2.54","58.34","0.094444444","0.014","78","4.333333333","2.6","1","0.6","0.141111111","0.084666667","3.1","1.86","23.07692308","4.353788138","60","0.032564103","1.888888889","2.822222222","62","64.82222222","3.148148148","4.703703704","103.3333333","108.037037"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00065","","","","30","7","2","4","5","1","2","7","10","16","4.8","0.14","4.3","5","3","4","4","3","1.65","4.94","9.24","0.48","0.00875","26","3.714285714","0.866666667","1.428571429","0.333333333","0.705714286","0.164666667","0.614285714","0.143333333","38.46153846","53.46320346","23.33333333","0.19","5.333333333","5.488888889","4.777777778","10.26666667","22.85714286","23.52380952","20.47619048","44"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00066","","","","30","22","2","4","7","2","2","22","30","5","10.3","0.2","7","6","3","1","1","1","0.12","10.5","17.5","0.343333333","0.04","35","1.590909091","1.166666667","1.363636364","1","0.477272727","0.35","0.318181818","0.233333333","85.71428571","60","73.33333333","0.3","11.44444444","11.66666667","7.777777778","19.44444444","15.60606061","15.90909091","10.60606061","26.51515152"
"","","UGP2013NAM-PT01","","","","","","","","","UGP2013NAM-PT01-00067","","","","30","6","1","2","4","1","2","6","0","3","0","0.08","4.6","2","9","6","1","1","0.02","0.08","4.68","","0.026666667","3","0.5","0.1","0","0","0.013333333","0.002666667","0.766666667","0.153333333","0","1.709401709","20","0.026666667","0","0.088888889","5.111111111","5.2","0","0.444444444","25.55555556","26"
