"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00012","","","","5","4","2","4","6","2","3","2","0","2","0","0.05","0.08","8","1","1","9","9","1.38","0.05","0.13","","0.025","2","1","0.4","0","0","0.025","0.01","0.04","0.016","0","38.46153846","40","0.025","0","0.333333333","0.533333333","0.866666667","0","0.833333333","1.333333333","2.166666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00013","","","","5","4","3","3","5","2","4","4","0","4","0","0.08","0.44","2","2","1","2","9","0.15","0.08","0.52","","0.02","4","1","0.8","0","0","0.02","0.016","0.11","0.088","0","15.38461538","80","0.02","0","0.533333333","2.933333333","3.466666667","0","0.666666667","3.666666667","4.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00014","","","","5","5","1","2","6","1","2","3","0","5","0","0.08","0.22","2","1","1","6","9","0","0.08","0.3","","0.016","5","1.666666667","1","0","0","0.026666667","0.016","0.073333333","0.044","0","26.66666667","60","0.016","0","0.533333333","1.466666667","2","0","0.888888889","2.444444444","3.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00015","","","","5","5","2","2","6","1","2","2","0","1","0","0.02","0.4","2","1","1","9","9","0.12","0.02","0.42","","0.02","1","0.5","0.2","0","0","0.01","0.004","0.2","0.08","0","4.761904762","40","0.02","0","0.133333333","2.666666667","2.8","0","0.333333333","6.666666667","7"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00016","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00017","","","","5","5","2","2","7","2","3","5","0","11","0","0.04","1.32","8","1","1","9","9","0.15","0.04","1.36","","0.003636364","11","2.2","2.2","0","0","0.008","0.008","0.264","0.264","0","2.941176471","100","0.003636364","0","0.266666667","8.8","9.066666667","0","0.266666667","8.8","9.066666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00018","","","","5","5","3","3","7","2","2","3","0","0","0","0","3.3","","","","","","","0","3.3","","","0","0","0","0","0","0","0","1.1","0.66","","0","60","","0","0","22","22","0","0","36.66666667","36.66666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00019","","","","5","3","3","3","8","1","2","3","0","0","0","0","0.03","","","","","","","0","0.03","","","0","0","0","0","0","0","0","0.01","0.006","","0","60","","0","0","0.2","0.2","0","0","0.333333333","0.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00020","","","","5","5","2","3","4","1","3","2","0","0","0","0","0.12","","","","","","","0","0.12","","","0","0","0","0","0","0","0","0.06","0.024","","0","40","","0","0","0.8","0.8","0","0","2","2"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00021","","","","5","5","2","2","4","1","2","4","0","0","0","0","0.93","","","","","","","0","0.93","","","0","0","0","0","0","0","0","0.2325","0.186","","0","80","","0","0","6.2","6.2","0","0","7.75","7.75"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00022","","","","5","5","2","2","6","1","3","4","1","12","0.08","0.2","0.68","2","1","1","3","9","0","0.28","0.96","0.08","0.016666667","13","3.25","2.6","0.25","0.2","0.07","0.056","0.17","0.136","7.692307692","29.16666667","80","0.021538462","0.533333333","1.866666667","4.533333333","6.4","0.666666667","2.333333333","5.666666667","8"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00023","","","","5","4","3","6","6","2","3","2","0","0","0","0","0.28","","","","","","","0","0.28","","","0","0","0","0","0","0","0","0.14","0.056","","0","40","","0","0","1.866666667","1.866666667","0","0","4.666666667","4.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00024","","","","5","3","1","4","4","1","3","1","0","0","0","0","0.09","","","","","","","0","0.09","","","0","0","0","0","0","0","0","0.09","0.018","","0","20","","0","0","0.6","0.6","0","0","3","3"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00025","","","","5","5","2","4","3","2","3","5","1","9","0.08","0.16","0.08","2","2","1","3","9","0.15","0.24","0.32","0.08","0.017777778","10","2","2","0.2","0.2","0.048","0.048","0.016","0.016","10","75","100","0.024","0.533333333","1.6","0.533333333","2.133333333","0.533333333","1.6","0.533333333","2.133333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00026","","","","5","4","3","6","6","2","2","4","1","7","0.1","0.08","0.29","2","2","3","2","9","0","0.18","0.47","0.1","0.011428571","8","2","1.6","0.25","0.2","0.045","0.036","0.0725","0.058","12.5","38.29787234","80","0.0225","0.666666667","1.2","1.933333333","3.133333333","0.833333333","1.5","2.416666667","3.916666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00027","","","","5","3","2","6","5","2","2","3","0","1","0","0.04","0.16","2","1","1","1","9","0","0.04","0.2","","0.04","1","0.333333333","0.2","0","0","0.013333333","0.008","0.053333333","0.032","0","20","60","0.04","0","0.266666667","1.066666667","1.333333333","0","0.444444444","1.777777778","2.222222222"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00028","","","","5","4","2","6","5","1","4","4","2","9","0.16","0.16","0.08","5","1","3","2","7","0.15","0.32","0.4","0.08","0.017777778","11","2.75","2.2","0.5","0.4","0.08","0.064","0.02","0.016","18.18181818","80","80","0.029090909","1.066666667","2.133333333","0.533333333","2.666666667","1.333333333","2.666666667","0.666666667","3.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00029","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00030","","","","5","5","3","3","4","4","8","3","2","8","0.1","0.08","0.04","5","2","3","3","9","14.37","0.18","0.22","0.05","0.01","10","3.333333333","2","0.666666667","0.4","0.06","0.036","0.013333333","0.008","20","81.81818182","60","0.018","0.666666667","1.2","0.266666667","1.466666667","1.111111111","2","0.444444444","2.444444444"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00031","","","","5","5","3","6","6","2","4","5","1","0","0.16","0","0.16","2","1","3","2","7","1.76","0.16","0.32","0.16","","1","0.2","0.2","0.2","0.2","0.032","0.032","0.032","0.032","100","50","100","0.16","1.066666667","1.066666667","1.066666667","2.133333333","1.066666667","1.066666667","1.066666667","2.133333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00032","","","","5","4","2","2","7","2","4","4","9","18","0.68","0.22","0.4","5","3","5","2","5","3.03","0.9","1.3","0.075555556","0.012222222","27","6.75","5.4","2.25","1.8","0.225","0.18","0.1","0.08","33.33333333","69.23076923","80","0.033333333","4.533333333","6","2.666666667","8.666666667","5.666666667","7.5","3.333333333","10.83333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00033","","","","5","5","2","3","4","1","2","4","0","7","0","0.12","0.04","2","1","1","2","9","0.12","0.12","0.16","","0.017142857","7","1.75","1.4","0","0","0.03","0.024","0.01","0.008","0","75","80","0.017142857","0","0.8","0.266666667","1.066666667","0","1","0.333333333","1.333333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00034","","","","5","3","2","2","6","1","4","3","0","7","0","0.06","0.44","5","1","3","3","9","1.74","0.06","0.5","","0.008571429","7","2.333333333","1.4","0","0","0.02","0.012","0.146666667","0.088","0","12","60","0.008571429","0","0.4","2.933333333","3.333333333","0","0.666666667","4.888888889","5.555555556"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00035","","","","5","5","2","3","4","1","3","3","2","9","0.06","0.12","0.18","8","1","1","3","9","7.23","0.18","0.36","0.03","0.013333333","11","3.666666667","2.2","0.666666667","0.4","0.06","0.036","0.06","0.036","18.18181818","50","60","0.016363636","0.4","1.2","1.2","2.4","0.666666667","2","2","4"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00036","","","","5","5","3","6","6","2","2","2","2","10","0.2","0.09","0.62","2","1","1","3","9","7.23","0.29","0.91","0.1","0.009","12","6","2.4","1","0.4","0.145","0.058","0.31","0.124","16.66666667","31.86813187","40","0.024166667","1.333333333","1.933333333","4.133333333","6.066666667","3.333333333","4.833333333","10.33333333","15.16666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00037","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00038","","","","5","5","2","5","5","1","4","5","3","22","0.18","0.3","0.12","2","1","1","3","7","0","0.48","0.6","0.06","0.013636364","25","5","5","0.6","0.6","0.096","0.096","0.024","0.024","12","80","100","0.0192","1.2","3.2","0.8","4","1.2","3.2","0.8","4"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00039","","","","5","5","2","4","5","2","2","5","4","3","0.4","0.02","0.26","2","3","3","1","5","0.12","0.42","0.68","0.1","0.006666667","7","1.4","1.4","0.8","0.8","0.084","0.084","0.052","0.052","57.14285714","61.76470588","100","0.06","2.666666667","2.8","1.733333333","4.533333333","2.666666667","2.8","1.733333333","4.533333333"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00040","","","","5","4","3","4","5","2","3","2","0","0","0","0","0.3","","","","","","","0","0.3","","","0","0","0","0","0","0","0","0.15","0.06","","0","40","","0","0","2","2","0","0","5","5"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00041","","","","5","5","2","3","6","1","4","2","0","8","0","0.12","0.24","5","1","1","2","9","7.23","0.12","0.36","","0.015","8","4","1.6","0","0","0.06","0.024","0.12","0.048","0","33.33333333","40","0.015","0","0.8","1.6","2.4","0","2","4","6"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00042","","","","5","5","3","5","5","2","3","3","0","0","0","0","0.14","","","","","","","0","0.14","","","0","0","0","0","0","0","0","0.046666667","0.028","","0","60","","0","0","0.933333333","0.933333333","0","0","1.555555556","1.555555556"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00043","","","","5","5","2","5","6","1","2","2","2","1","0.12","0.02","0.14","2","1","3","2","9","0","0.14","0.28","0.06","0.02","3","1.5","0.6","1","0.4","0.07","0.028","0.07","0.028","66.66666667","50","40","0.046666667","0.8","0.933333333","0.933333333","1.866666667","2","2.333333333","2.333333333","4.666666667"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00044","","","","5","5","2","3","5","1","3","3","6","12","1","0.08","0.36","2","1","1","1","5","0","1.08","1.44","0.166666667","0.006666667","18","6","3.6","2","1.2","0.36","0.216","0.12","0.072","33.33333333","75","60","0.06","6.666666667","7.2","2.4","9.6","11.11111111","12","4","16"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00045","","","","5","5","2","3","6","1","3","2","0","0","0","0","0.24","","","","","","","0","0.24","","","0","0","0","0","0","0","0","0.12","0.048","","0","40","","0","0","1.6","1.6","0","0","4","4"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00046","","","","5","5","3","6","5","1","3","4","0","0","0","0","0.12","","","","","","","0","0.12","","","0","0","0","0","0","0","0","0.03","0.024","","0","80","","0","0","0.8","0.8","0","0","1","1"
"","","UGP2014NAM-PT07","","","","","","","","","UGP2014NAM-PT07-00047","","","","5","5","2","3","5","1","2","4","0","5","0","0.08","0.14","5","3","3","3","9","0","0.08","0.22","","0.016","5","1.25","1","0","0","0.02","0.016","0.035","0.028","0","36.36363636","80","0.016","0","0.533333333","0.933333333","1.466666667","0","0.666666667","1.166666667","1.833333333"
