"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00001","","","","3","3","4","2","6","6","3","2","3","0","1","0","0.7","7","6","1","2","3","1","1","1.7","0.333333333","","3","1.5","1","1.5","1","0.5","0.333333333","0.35","0.233333333","100","58.82352941","66.66666667","11.11111111","11.11111111","7.777777778","18.88888889","0.333333333","16.66666667","16.66666667","11.66666667","28.33333333"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00002","","","","3","3","2","1","4","3","3","3","","","","","0.01","6","5","1","7","7","1","","","","","","","","","","","","0.003333333","0.003333333","","","100","","","0.111111111","","","","","0.111111111",""
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00003","","","","3","3","4","1","4","5","2","3","2","0","1.2","0","1.7","7","8","1","2","4","1","1.2","2.9","0.6","","2","0.666666667","0.666666667","0.666666667","0.666666667","0.4","0.4","0.566666667","0.566666667","100","41.37931034","100","13.33333333","13.33333333","18.88888889","32.22222222","0.6","13.33333333","13.33333333","18.88888889","32.22222222"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00004","","","","3","3","3","2","6","6","3","3","1","0","0.6","0","2.4","6","3","1","8","7","2","0.6","3","0.6","","1","0.333333333","0.333333333","0.333333333","0.333333333","0.2","0.2","0.8","0.8","100","20","100","6.666666667","6.666666667","26.66666667","33.33333333","0.6","6.666666667","6.666666667","26.66666667","33.33333333"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00005","","","","3","2","4","2","5","6","3","2","4","1","2","0.01","3.05","5","7","1","3","3","1","2.01","5.06","0.5","0.01","5","2.5","1.666666667","2","1.333333333","1.005","0.67","1.525","1.016666667","80","39.72332016","66.66666667","22.22222222","22.33333333","33.88888889","56.22222222","0.402","33.33333333","33.5","50.83333333","84.33333333"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00006","","","","3","3","4","2","4","5","3","3","5","2","3","0.03","3.7","6","6","1","2","4","1","3.03","6.73","0.6","0.015","7","2.333333333","2.333333333","1.666666667","1.666666667","1.01","1.01","1.233333333","1.233333333","71.42857143","45.02228826","100","33.33333333","33.66666667","41.11111111","74.77777778","0.432857143","33.33333333","33.66666667","41.11111111","74.77777778"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00007","","","","3","3","4","1","5","5","2","3","0","0","0","0","0.02","","","","","","","0","0.02","","","0","0","0","0","0","0","0","0.006666667","0.006666667","","0","100","0","0","0.222222222","0.222222222","","0","0","0.222222222","0.222222222"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00008","","","","3","3","3","1","4","4","2","3","2","1","0.5","0.01","2.1","7","4","1","7","7","1","0.51","2.61","0.25","0.01","3","1","1","0.666666667","0.666666667","0.17","0.17","0.7","0.7","66.66666667","19.54022989","100","5.555555556","5.666666667","23.33333333","29","0.17","5.555555556","5.666666667","23.33333333","29"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00009","","","","3","3","3","1","4","6","2","3","1","0","0.1","0","1.4","4","6","1","2","4","1","0.1","1.5","0.1","","1","0.333333333","0.333333333","0.333333333","0.333333333","0.033333333","0.033333333","0.466666667","0.466666667","100","6.666666667","100","1.111111111","1.111111111","15.55555556","16.66666667","0.1","1.111111111","1.111111111","15.55555556","16.66666667"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00010","","","","3","3","3","1","4","3","2","2","2","0","1.8","0","3.5","6","9","1","2","6","1","1.8","5.3","0.9","","2","1","0.666666667","1","0.666666667","0.9","0.6","1.75","1.166666667","100","33.96226415","66.66666667","20","20","38.88888889","58.88888889","0.9","30","30","58.33333333","88.33333333"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00011","","","","3","2","4","1","6","6","2","2","2","0","5.1","0","10","7","6","1","2","2","1","5.1","15.1","2.55","","2","1","0.666666667","1","0.666666667","2.55","1.7","5","3.333333333","100","33.77483444","66.66666667","56.66666667","56.66666667","111.1111111","167.7777778","2.55","85","85","166.6666667","251.6666667"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00012","","","","3","3","3","1","4","4","2","3","1","0","0.1","0","2.4","3","3","1","4","1","1","0.1","2.5","0.1","","1","0.333333333","0.333333333","0.333333333","0.333333333","0.033333333","0.033333333","0.8","0.8","100","4","100","1.111111111","1.111111111","26.66666667","27.77777778","0.1","1.111111111","1.111111111","26.66666667","27.77777778"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00013","","","","3","3","3","1","6","3","2","3","1","0","0.1","0","3","3","4","1","2","7","1","0.1","3.1","0.1","","1","0.333333333","0.333333333","0.333333333","0.333333333","0.033333333","0.033333333","1","1","100","3.225806452","100","1.111111111","1.111111111","33.33333333","34.44444444","0.1","1.111111111","1.111111111","33.33333333","34.44444444"
"","","UGP2018NAM-OT06","","","","","","","","","UGP2018NAM-OT06-00014","","","","3","3","2","7","7","3","9","3","2","1","0.8","0.02","2.6","6","3","1","7","6","1","0.82","3.42","0.4","0.02","3","1","1","0.666666667","0.666666667","0.273333333","0.273333333","0.866666667","0.866666667","66.66666667","23.97660819","100","8.888888889","9.111111111","28.88888889","38","0.273333333","8.888888889","9.111111111","28.88888889","38"
