"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00011","","","","30","26","1","3","8","1","2","21","22","22","3.3","0.47","9.5","9","3","1","1","2","4","0.12","3.77","13.27","0.15","0.021363636","44","2.095238095","1.466666667","1.047619048","0.733333333","0.17952381","0.125666667","0.452380952","0.316666667","50","28.40994725","70","3.666666667","4.188888889","10.55555556","14.74444444","0.085681818","5.238095238","5.984126984","15.07936508","21.06349206"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00012","","","","30","25","2","2","8","1","2","16","52","11","7","0.39","13.6","9","3","1","1","2","5","0.12","7.39","20.99","0.134615385","0.035454545","63","3.9375","2.1","3.25","1.733333333","0.461875","0.246333333","0.85","0.453333333","82.53968254","35.20724154","53.33333333","7.777777778","8.211111111","15.11111111","23.32222222","0.117301587","14.58333333","15.39583333","28.33333333","43.72916667"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00013","","","","30","28","1","2","8","2","2","25","62","16","14","0.26","11","5","3","1","1","3","2","0.12","14.26","25.26","0.225806452","0.01625","78","3.12","2.6","2.48","2.066666667","0.5704","0.475333333","0.44","0.366666667","79.48717949","56.45288994","83.33333333","15.55555556","15.84444444","12.22222222","28.06666667","0.182820513","18.66666667","19.01333333","14.66666667","33.68"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00014","","","","30","27","2","3","7","1","2","25","38","11","9","0.39","9","8","2","2","1","3","3","0","9.39","18.39","0.236842105","0.035454545","49","1.96","1.633333333","1.52","1.266666667","0.3756","0.313","0.36","0.3","77.55102041","51.06035889","83.33333333","10","10.43333333","10","20.43333333","0.191632653","12","12.52","12","24.52"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00015","","","","30","29","2","3","8","1","2","23","53","6","11.3","0.2","8.2","8","3","1","1","3","3","0.12","11.5","19.7","0.213207547","0.033333333","59","2.565217391","1.966666667","2.304347826","1.766666667","0.5","0.383333333","0.356521739","0.273333333","89.83050847","58.37563452","76.66666667","12.55555556","12.77777778","9.111111111","21.88888889","0.194915254","16.37681159","16.66666667","11.88405797","28.55072464"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00016","","","","30","24","1","2","7","1","2","14","43","16","7.7","0.24","7.1","4","3","1","1","2","4","0.12","7.94","15.04","0.179069767","0.015","59","4.214285714","1.966666667","3.071428571","1.433333333","0.567142857","0.264666667","0.507142857","0.236666667","72.88135593","52.79255319","46.66666667","8.555555556","8.822222222","7.888888889","16.71111111","0.134576271","18.33333333","18.9047619","16.9047619","35.80952381"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00017","","","","30","29","5","7","7","1","2","15","16","4","2","0.03","6.3","8","5","1","1","2","6","0","2.03","8.33","0.125","0.0075","20","1.333333333","0.666666667","1.066666667","0.533333333","0.135333333","0.067666667","0.42","0.21","80","24.3697479","50","2.222222222","2.255555556","7","9.255555556","0.1015","4.444444444","4.511111111","14","18.51111111"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00018","","","","30","30","1","2","8","1","2","23","31","5","6","0.18","14","4","5","1","1","3","3","0","6.18","20.18","0.193548387","0.036","36","1.565217391","1.2","1.347826087","1.033333333","0.268695652","0.206","0.608695652","0.466666667","86.11111111","30.62438057","76.66666667","6.666666667","6.866666667","15.55555556","22.42222222","0.171666667","8.695652174","8.956521739","20.28985507","29.24637681"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00019","","","","30","30","3","4","7","1","2","14","18","0","2","0","20","8","4","1","1","3","5","0.02","2","22","0.111111111","","18","1.285714286","0.6","1.285714286","0.6","0.142857143","0.066666667","1.428571429","0.666666667","100","9.090909091","46.66666667","2.222222222","2.222222222","22.22222222","24.44444444","0.111111111","4.761904762","4.761904762","47.61904762","52.38095238"
"","","UGP2016NAM-PT07","","","","","","","","","UGP2016NAM-PT07-00020","","","","30","28","5","6","6","1","3","13","6","1","0.43","0.04","2.3","3","5","1","1","3","4","0","0.47","2.77","0.071666667","0.04","7","0.538461538","0.233333333","0.461538462","0.2","0.036153846","0.015666667","0.176923077","0.076666667","85.71428571","16.96750903","43.33333333","0.477777778","0.522222222","2.555555556","3.077777778","0.067142857","1.102564103","1.205128205","5.897435897","7.102564103"
