"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00023","","","","5","1","","1","4","","1","1","","0","0.12","0","2.8","2","1","1","1","5","0","0.12","2.92","","","","","","","","0.12","0.024","2.8","0.56","","4.109589041","20","","0.8","0.8","18.66666667","19.46666667","4","4","93.33333333","97.33333333"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00025","","","","5","5","2","2","6","2","7","","2","2","","0.02","0.3","2","1","1","2","9","0.12","","","","0.01","4","","0.8","","0.4","","","","0.06","50","","","","","","2","","","","",""
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00026","","","","5","4","1","2","6","2","8","","3","3","","0.08","0.3","2","1","1","4","5","0.12","","","","0.026666667","6","","1.2","","0.6","","","","0.06","50","","","","","","2","","","","",""
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00027","","","","5","4","1","2","7","2","9","1","1","1","0.12","0.04","0.5","2","1","1","4","7","0.12","0.16","0.66","0.12","0.04","2","2","0.4","1","0.2","0.16","0.032","0.5","0.1","50","24.24242424","20","0.08","0.8","1.066666667","3.333333333","4.4","4","5.333333333","16.66666667","22"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00028","","","","5","2","1","1","4","2","1","1","1","1","0.34","0.04","1.5","2","1","1","4","3","0.02","0.38","1.88","0.34","0.04","2","2","0.4","1","0.2","0.38","0.076","1.5","0.3","50","20.21276596","20","0.19","2.266666667","2.533333333","10","12.53333333","11.33333333","12.66666667","50","62.66666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00030","","","","5","2","1","2","9","1","2","1","3","1","0.96","0.05","3.3","2","1","1","8","3","0.12","1.01","4.31","0.32","0.05","4","4","0.8","3","0.6","1.01","0.202","3.3","0.66","75","23.43387471","20","0.2525","6.4","6.733333333","22","28.73333333","32","33.66666667","110","143.6666667"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00032","","","","5","3","","3","7","","2","3","6","5","1.78","0.2","3.4","8","1","4","4","3","0.12","1.98","5.38","0.296666667","0.04","11","3.666666667","2.2","2","1.2","0.66","0.396","1.133333333","0.68","54.54545455","36.80297398","60","0.18","11.86666667","13.2","22.66666667","35.86666667","19.77777778","22","37.77777778","59.77777778"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00033","","","","5","","","2","8","","7","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00034","","","","5","4","1","2","9","1","2","3","5","3","2.7","0.12","10.3","5","1","3","6","3","0.12","2.82","13.12","0.54","0.04","8","2.666666667","1.6","1.666666667","1","0.94","0.564","3.433333333","2.06","62.5","21.49390244","60","0.3525","18","18.8","68.66666667","87.46666667","30","31.33333333","114.4444444","145.7777778"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00036","","","","5","4","1","3","8","1","2","3","6","5","1.8","0.06","3.1","2","1","3","4","3","0","1.86","4.96","0.3","0.012","11","3.666666667","2.2","2","1.2","0.62","0.372","1.033333333","0.62","54.54545455","37.5","60","0.169090909","12","12.4","20.66666667","33.06666667","20","20.66666667","34.44444444","55.11111111"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00038","","","","5","4","2","2","5","1","2","1","0","0","0","0","2.7","","","","","","","0","2.7","","","0","0","0","0","0","0","0","2.7","0.54","","0","20","","0","0","18","18","0","0","90","90"
"","","UGP2013SER-OT01","","","","","","","","","UGP2013SER-OT01-00041","","","","5","3","1","2","6","1","2","2","2","0","1.64","0","2.2","2","1","2","6","1","0.12","1.64","3.84","0.82","","2","1","0.4","1","0.4","0.82","0.328","1.1","0.44","100","42.70833333","40","0.82","10.93333333","10.93333333","14.66666667","25.6","27.33333333","27.33333333","36.66666667","64"
