"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00001","","","","30","29","2","2","7","1","3","14","1","0","0.2","0","2","8","2","2","1","3","5","0","0.2","2.2","0.2","","1","0.071428571","0.033333333","0.071428571","0.033333333","0.014285714","0.006666667","0.142857143","0.066666667","100","9.090909091","46.66666667","0.222222222","0.222222222","2.222222222","2.444444444","0.2","0.476190476","0.476190476","4.761904762","5.238095238"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00002","","","","30","22","1","2","6","1","1","4","2","0","0.4","0","0.5","8","2","4","1","4","5","0","0.4","0.9","0.2","","2","0.5","0.066666667","0.5","0.066666667","0.1","0.013333333","0.125","0.016666667","100","44.44444444","13.33333333","0.444444444","0.444444444","0.555555556","1","0.2","3.333333333","3.333333333","4.166666667","7.5"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00003","","","","30","26","1","2","8","1","1","13","20","8","3","0.2","6","3","5","3","1","2","3","0","3.2","9.2","0.15","0.025","28","2.153846154","0.933333333","1.538461538","0.666666667","0.246153846","0.106666667","0.461538462","0.2","71.42857143","34.7826087","43.33333333","3.333333333","3.555555556","6.666666667","10.22222222","0.114285714","7.692307692","8.205128205","15.38461538","23.58974359"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00004","","","","30","27","2","2","7","1","2","19","6","2","0.44","0.03","5.2","5","6","2","1","3","5","0.15","0.47","5.67","0.073333333","0.015","8","0.421052632","0.266666667","0.315789474","0.2","0.024736842","0.015666667","0.273684211","0.173333333","75","8.289241623","63.33333333","0.488888889","0.522222222","5.777777778","6.3","0.05875","0.771929825","0.824561404","9.122807018","9.947368421"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00005","","","","30","26","1","2","7","1","2","14","12","7","2.1","0.2","2","8","5","3","1","2","5","0","2.3","4.3","0.175","0.028571429","19","1.357142857","0.633333333","0.857142857","0.4","0.164285714","0.076666667","0.142857143","0.066666667","63.15789474","53.48837209","46.66666667","2.333333333","2.555555556","2.222222222","4.777777778","0.121052632","5","5.476190476","4.761904762","10.23809524"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00006","","","","30","26","2","2","8","1","2","15","5","4","0.64","0.14","10.5","8","3","2","1","3","6","0.12","0.78","11.28","0.128","0.035","9","0.6","0.3","0.333333333","0.166666667","0.052","0.026","0.7","0.35","55.55555556","6.914893617","50","0.711111111","0.866666667","11.66666667","12.53333333","0.086666667","1.422222222","1.733333333","23.33333333","25.06666667"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00007","","","","30","18","3","4","6","2","2","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","0","0","0","0","","","","",""
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00008","","","","30","26","2","2","8","2","2","11","0","0","0","0","5.2","","","","","","","","0","5.2","","","0","0","0","0","0","0","0","0.472727273","0.173333333","","0","36.66666667","0","0","5.777777778","5.777777778","","0","0","15.75757576","15.75757576"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00009","","","","30","30","1","1","9","1","1","24","52","14","12.3","0.4","9.4","5","2","5","4","4","2","0","12.7","22.1","0.236538462","0.028571429","66","2.75","2.2","2.166666667","1.733333333","0.529166667","0.423333333","0.391666667","0.313333333","78.78787879","57.46606335","80","13.66666667","14.11111111","10.44444444","24.55555556","0.192424242","17.08333333","17.63888889","13.05555556","30.69444444"
"","","UGP2016SER-PT03","","","","","","","","","UGP2016SER-PT03-00010","","","","30","24","2","2","7","1","2","15","29","3","6.5","0.06","6.3","8","2","3","1","2","2","0","6.56","12.86","0.224137931","0.02","32","2.133333333","1.066666667","1.933333333","0.966666667","0.437333333","0.218666667","0.42","0.21","90.625","51.01088647","50","7.222222222","7.288888889","7","14.28888889","0.205","14.44444444","14.57777778","14","28.57777778"
