"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00029","","","","10","5","1","2","2","4","1","5","8","0","1.1","0","0.6","3","5","2","6","5","1","1.1","1.7","0.1375","","8","1.6","1.6","0.22","0.12","100","64.70588235","0.1375","3.666666667","3.666666667","2","5.666666667","0.8","0.8","0.11","0.06","50","7.333333333","7.333333333","4","11.33333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00030","","","","10","4","1","1","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","","","",""
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00031","","","","10","7","2","1","3","9","1","7","","3","0.45","0.4","6.55","8","2","1","1","3","7","0.85","7.4","","0.133333333","","","","0.121428571","0.935714286","","11.48648649","","1.5","2.833333333","21.83333333","24.66666667","","","0.085","0.655","70","2.142857143","4.047619048","31.19047619","35.23809524"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00032","","","","10","4","3","2","2","7","2","4","0","0","0","0","0.5","","","","","","","0","0.5","","","0","0","0","0","0.125","","0","","0","0","1.666666667","1.666666667","0","0","0","0.05","40","0","0","4.166666667","4.166666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00033","","","","10","4","2","1","2","6","1","4","2","2","0.4","0.2","0.7","8","7","3","3","4","1","0.6","1.3","0.2","0.1","4","1","0.5","0.15","0.175","50","46.15384615","0.15","1.333333333","2","2.333333333","4.333333333","0.4","0.2","0.06","0.07","40","3.333333333","5","5.833333333","10.83333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00034","","","","10","7","1","1","1","8","1","7","8","2","0.55","0.2","2.8","2","5","3","3","2","1","0.75","3.55","0.06875","0.1","10","1.428571429","1.142857143","0.107142857","0.4","80","21.12676056","0.075","1.833333333","2.5","9.333333333","11.83333333","1","0.8","0.075","0.28","70","2.619047619","3.571428571","13.33333333","16.9047619"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00035","","","","10","4","2","1","2","6","2","4","2","3","0.85","0.1","0.3","5","6","3","6","6","1","0.95","1.25","0.425","0.033333333","5","1.25","0.5","0.2375","0.075","40","76","0.19","2.833333333","3.166666667","1","4.166666667","0.5","0.2","0.095","0.03","40","7.083333333","7.916666667","2.5","10.41666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00036","","","","10","6","2","1","2","6","2","6","5","0","1.4","0","4.1","8","6","1","3","4","1","1.4","5.5","0.28","","5","0.833333333","0.833333333","0.233333333","0.683333333","100","25.45454545","0.28","4.666666667","4.666666667","13.66666667","18.33333333","0.5","0.5","0.14","0.41","60","7.777777778","7.777777778","22.77777778","30.55555556"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00037","","","","10","10","1","1","2","6","2","8","7","0","2.15","0","6.1","3","5","2","2","1","1","2.15","8.25","0.307142857","","7","0.875","0.875","0.26875","0.7625","100","26.06060606","0.307142857","7.166666667","7.166666667","20.33333333","27.5","0.7","0.7","0.215","0.61","80","8.958333333","8.958333333","25.41666667","34.375"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00038","","","","10","5","2","1","1","6","1","5","0","0","0","0","1.1","","","","","","","0","1.1","","","0","0","0","0","0.22","","0","","0","0","3.666666667","3.666666667","0","0","0","0.11","50","0","0","7.333333333","7.333333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00039","","","","10","10","2","1","2","8","2","8","3","0","1.5","0","0.55","2","3","2","2","1","1","1.5","2.05","0.5","","3","0.375","0.375","0.1875","0.06875","100","73.17073171","0.5","5","5","1.833333333","6.833333333","0.3","0.3","0.15","0.055","80","6.25","6.25","2.291666667","8.541666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00040","","","","10","5","2","1","3","6","2","5","2","0","0.3","0","0.4","5","8","1","3","6","1","0.3","0.7","0.15","","2","0.4","0.4","0.06","0.08","100","42.85714286","0.15","1","1","1.333333333","2.333333333","0.2","0.2","0.03","0.04","50","2","2","2.666666667","4.666666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00041","","","","10","7","1","1","2","6","2","7","2","0","0.4","0","0.5","3","2","3","4","4","1","0.4","0.9","0.2","","2","0.285714286","0.285714286","0.057142857","0.071428571","100","44.44444444","0.2","1.333333333","1.333333333","1.666666667","3","0.2","0.2","0.04","0.05","70","1.904761905","1.904761905","2.380952381","4.285714286"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00042","","","","10","6","1","2","3","5","1","3","1","3","0.8","0.4","0.2","5","8","3","3","7","1","1.2","1.4","0.8","0.133333333","4","1.333333333","0.333333333","0.4","0.066666667","25","85.71428571","0.3","2.666666667","4","0.666666667","4.666666667","0.4","0.1","0.12","0.02","30","8.888888889","13.33333333","2.222222222","15.55555556"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00043","","","","10","7","2","1","2","7","2","7","1","0","1.2","0","3.1","6","6","1","4","3","1","1.2","4.3","1.2","","1","0.142857143","0.142857143","0.171428571","0.442857143","100","27.90697674","1.2","4","4","10.33333333","14.33333333","0.1","0.1","0.12","0.31","70","5.714285714","5.714285714","14.76190476","20.47619048"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00044","","","","10","10","2","1","2","8","2","8","7","0","0.95","0","6.1","6","2","1","3","6","1","0.95","7.05","0.135714286","","7","0.875","0.875","0.11875","0.7625","100","13.4751773","0.135714286","3.166666667","3.166666667","20.33333333","23.5","0.7","0.7","0.095","0.61","80","3.958333333","3.958333333","25.41666667","29.375"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00045","","","","10","10","3","1","2","8","2","8","3","0","0.5","0","5.85","6","2","1","3","7","1","0.5","6.35","0.166666667","","3","0.375","0.375","0.0625","0.73125","100","7.874015748","0.166666667","1.666666667","1.666666667","19.5","21.16666667","0.3","0.3","0.05","0.585","80","2.083333333","2.083333333","24.375","26.45833333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00046","","","","10","10","1","1","1","9","1","9","1","0","1.8","0","3.35","3","5","4","3","3","5","1.8","5.15","1.8","","1","0.111111111","0.111111111","0.2","0.372222222","100","34.95145631","1.8","6","6","11.16666667","17.16666667","0.1","0.1","0.18","0.335","90","6.666666667","6.666666667","12.40740741","19.07407407"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00047","","","","10","4","2","1","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","","","",""
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00048","","","","10","7","2","1","1","8","1","7","","1","0.2","0.1","9.6","2","2","1","3","8","1","0.3","9.9","","0.1","","","","0.042857143","1.371428571","","3.03030303","","0.666666667","1","32","33","","","0.03","0.96","70","0.952380952","1.428571429","45.71428571","47.14285714"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00049","","","","10","10","1","1","1","9","1","9","0","7","0","0.1","9.75","2","5","1","3","8","1","0.1","9.85","","0.014285714","7","0.777777778","0","0.011111111","1.083333333","0","1.015228426","0.014285714","0","0.333333333","32.5","32.83333333","0.7","0","0.01","0.975","90","0","0.37037037","36.11111111","36.48148148"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00050","","","","10","7","1","1","1","8","1","7","5","2","0.35","0.2","8.25","3","7","2","4","2","1","0.55","8.8","0.07","0.1","7","1","0.714285714","0.078571429","1.178571429","71.42857143","6.25","0.078571429","1.166666667","1.833333333","27.5","29.33333333","0.7","0.5","0.055","0.825","70","1.666666667","2.619047619","39.28571429","41.9047619"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00051","","","","10","6","1","1","2","7","1","6","4","0","0.8","0","0.8","2","5","2","3","4","1","0.8","1.6","0.2","","4","0.666666667","0.666666667","0.133333333","0.133333333","100","50","0.2","2.666666667","2.666666667","2.666666667","5.333333333","0.4","0.4","0.08","0.08","60","4.444444444","4.444444444","4.444444444","8.888888889"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00052","","","","10","10","1","1","1","9","1","9","25","5","7.6","0.8","9.57","3","7","4","3","2","1","8.4","17.97","0.304","0.16","30","3.333333333","2.777777778","0.933333333","1.063333333","83.33333333","46.74457429","0.28","25.33333333","28","31.9","59.9","3","2.5","0.84","0.957","90","28.14814815","31.11111111","35.44444444","66.55555556"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00053","","","","10","3","1","1","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","","","",""
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00054","","","","10","7","1","1","2","7","1","7","14","0","9.3","0","9.75","9","6","2","2","1","1","9.3","19.05","0.664285714","","14","2","2","1.328571429","1.392857143","100","48.81889764","0.664285714","31","31","32.5","63.5","1.4","1.4","0.93","0.975","70","44.28571429","44.28571429","46.42857143","90.71428571"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00055","","","","10","6","2","1","2","9","1","6","27","3","3.2","0.2","3.65","5","6","1","4","4","1","3.4","7.05","0.118518519","0.066666667","30","5","4.5","0.566666667","0.608333333","90","48.22695035","0.113333333","10.66666667","11.33333333","12.16666667","23.5","3","2.7","0.34","0.365","60","17.77777778","18.88888889","20.27777778","39.16666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00056","","","","10","6","2","1","2","7","1","6","7","0","1.5","0","5.4","6","6","3","3","3","1","1.5","6.9","0.214285714","","7","1.166666667","1.166666667","0.25","0.9","100","21.73913043","0.214285714","5","5","18","23","0.7","0.7","0.15","0.54","60","8.333333333","8.333333333","30","38.33333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00057","","","","10","5","2","1","1","6","1","5","8","0","2.5","0","0.9","3","3","2","2","3","1","2.5","3.4","0.3125","","8","1.6","1.6","0.5","0.18","100","73.52941176","0.3125","8.333333333","8.333333333","3","11.33333333","0.8","0.8","0.25","0.09","50","16.66666667","16.66666667","6","22.66666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00058","","","","10","10","2","1","2","9","1","8","0","1","0","0.1","0.15","9","2","1","3","8","1","0.1","0.25","","0.1","1","0.125","0","0.0125","0.01875","0","40","0.1","0","0.333333333","0.5","0.833333333","0.1","0","0.01","0.015","80","0","0.416666667","0.625","1.041666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00059","","","","10","2","1","1","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","","","","","","","0","0","0","0","0","0","0","0","0","","","",""
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00060","","","","10","7","1","1","2","7","1","7","11","0","4.65","0","7.55","8","6","3","2","2","1","4.65","12.2","0.422727273","","11","1.571428571","1.571428571","0.664285714","1.078571429","100","38.1147541","0.422727273","15.5","15.5","25.16666667","40.66666667","1.1","1.1","0.465","0.755","70","22.14285714","22.14285714","35.95238095","58.0952381"
