"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00001","","","","10","10","2","1","2","7","1","8","7","0","0.85","0","0.2","6","6","2","2","3","1","0.85","1.05","0.121428571","","7","0.875","0.875","0.10625","0.025","100","80.95238095","0.121428571","2.833333333","2.833333333","0.666666667","3.5","0.7","0.7","0.085","0.02","80","3.541666667","3.541666667","0.833333333","4.375"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00002","","","","10","7","1","1","1","7","1","7","7","2","0.8","0.2","4.7","2","5","2","3","4","4","1","5.7","0.114285714","0.1","9","1.285714286","1","0.142857143","0.671428571","77.77777778","17.54385965","0.111111111","2.666666667","3.333333333","15.66666667","19","0.9","0.7","0.1","0.47","70","3.80952381","4.761904762","22.38095238","27.14285714"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00003","","","","10","4","2","1","2","6","1","4","0","0","0","0","1.35","","","","","","","0","1.35","","","0","0","0","0","0.3375","","0","","0","0","4.5","4.5","0","0","0","0.135","40","0","0","11.25","11.25"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00004","","","","10","7","1","1","1","7","1","7","6","6","0.55","0.2","2","3","7","5","3","4","5","0.75","2.75","0.091666667","0.033333333","12","1.714285714","0.857142857","0.107142857","0.285714286","50","27.27272727","0.0625","1.833333333","2.5","6.666666667","9.166666667","1.2","0.6","0.075","0.2","70","2.619047619","3.571428571","9.523809524","13.0952381"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00005","","","","10","6","2","1","1","9","1","1","1","1","0.1","0.1","6.2","2","2","3","3","5","1","0.2","6.4","0.1","0.1","2","2","1","0.2","6.2","50","3.125","0.1","0.333333333","0.666666667","20.66666667","21.33333333","0.2","0.1","0.02","0.62","10","3.333333333","6.666666667","206.6666667","213.3333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00006","","","","10","10","2","1","2","8","2","9","6","0","0.95","0","8.1","8","6","1","4","3","1","0.95","9.05","0.158333333","","6","0.666666667","0.666666667","0.105555556","0.9","100","10.49723757","0.158333333","3.166666667","3.166666667","27","30.16666667","0.6","0.6","0.095","0.81","90","3.518518519","3.518518519","30","33.51851852"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00007","","","","10","6","1","1","2","7","2","6","3","0","0.95","0","4.2","3","5","1","4","4","1","0.95","5.15","0.316666667","","3","0.5","0.5","0.158333333","0.7","100","18.44660194","0.316666667","3.166666667","3.166666667","14","17.16666667","0.3","0.3","0.095","0.42","60","5.277777778","5.277777778","23.33333333","28.61111111"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00008","","","","10","6","2","1","2","4","1","2","0","0","0","0","0.5","","","","","","","0","0.5","","","0","0","0","0","0.25","","0","","0","0","1.666666667","1.666666667","0","0","0","0.05","20","0","0","8.333333333","8.333333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00009","","","","10","10","2","1","1","9","1","8","4","2","0.55","0.2","11.8","2","5","2","4","4","1","0.75","12.55","0.1375","0.1","6","0.75","0.5","0.09375","1.475","66.66666667","5.976095618","0.125","1.833333333","2.5","39.33333333","41.83333333","0.6","0.4","0.075","1.18","80","2.291666667","3.125","49.16666667","52.29166667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00010","","","","10","6","1","1","1","7","1","6","3","0","0.3","0","9","3","5","1","3","4","1","0.3","9.3","0.1","","3","0.5","0.5","0.05","1.5","100","3.225806452","0.1","1","1","30","31","0.3","0.3","0.03","0.9","60","1.666666667","1.666666667","50","51.66666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00011","","","","10","5","2","1","2","5","1","5","5","5","0.6","0.1","1","5","6","1","2","6","1","0.7","1.7","0.12","0.02","10","2","1","0.14","0.2","50","41.17647059","0.07","2","2.333333333","3.333333333","5.666666667","1","0.5","0.07","0.1","50","4","4.666666667","6.666666667","11.33333333"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00012","","","","10","6","2","1","1","6","1","6","7","0","1.35","0","2","2","5","1","4","3","1","1.35","3.35","0.192857143","","7","1.166666667","1.166666667","0.225","0.333333333","100","40.29850746","0.192857143","4.5","4.5","6.666666667","11.16666667","0.7","0.7","0.135","0.2","60","7.5","7.5","11.11111111","18.61111111"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00013","","","","10","6","1","1","2","9","1","1","6","3","2.2","0.5","14.4","3","7","3","6","2","1","2.7","17.1","0.366666667","0.166666667","9","9","6","2.7","14.4","66.66666667","15.78947368","0.3","7.333333333","9","48","57","0.9","0.6","0.27","1.44","10","73.33333333","90","480","570"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00014","","","","10","6","2","1","2","7","1","6","5","0","0.4","0","1.3","6","6","3","3","3","3","0.4","1.7","0.08","","5","0.833333333","0.833333333","0.066666667","0.216666667","100","23.52941176","0.08","1.333333333","1.333333333","4.333333333","5.666666667","0.5","0.5","0.04","0.13","60","2.222222222","2.222222222","7.222222222","9.444444444"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00015","","","","10","5","2","1","2","5","1","5","9","1","1.3","0.1","0.2","2","3","5","3","4","3","1.4","1.6","0.144444444","0.1","10","2","1.8","0.28","0.04","90","87.5","0.14","4.333333333","4.666666667","0.666666667","5.333333333","1","0.9","0.14","0.02","50","8.666666667","9.333333333","1.333333333","10.66666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00016","","","","10","10","2","1","2","8","1","8","2","0","2.2","0","6.35","8","6","1","2","2","1","2.2","8.55","1.1","","2","0.25","0.25","0.275","0.79375","100","25.73099415","1.1","7.333333333","7.333333333","21.16666667","28.5","0.2","0.2","0.22","0.635","80","9.166666667","9.166666667","26.45833333","35.625"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00017","","","","10","7","2","1","2","8","1","7","0","0","0","0","2.1","","","","","","","0","2.1","","","0","0","0","0","0.3","","0","","0","0","7","7","0","0","0","0.21","70","0","0","10","10"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00018","","","","10","10","3","1","2","8","1","8","9","1","1.5","0.2","3.1","6","2","1","3","3","1","1.7","4.8","0.166666667","0.2","10","1.25","1.125","0.2125","0.3875","90","35.41666667","0.17","5","5.666666667","10.33333333","16","1","0.9","0.17","0.31","80","6.25","7.083333333","12.91666667","20"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00019","","","","10","6","2","1","2","6","1","6","1","2","0.4","0.3","3","5","8","1","6","4","1","0.7","3.7","0.4","0.15","3","0.5","0.166666667","0.116666667","0.5","33.33333333","18.91891892","0.233333333","1.333333333","2.333333333","10","12.33333333","0.3","0.1","0.07","0.3","60","2.222222222","3.888888889","16.66666667","20.55555556"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00020","","","","10","7","3","1","2","7","1","7","7","1","1.55","0.2","7.4","8","","1","6","3","1","1.75","9.15","0.221428571","0.2","8","1.142857143","1","0.25","1.057142857","87.5","19.12568306","0.21875","5.166666667","5.833333333","24.66666667","30.5","0.8","0.7","0.175","0.74","70","7.380952381","8.333333333","35.23809524","43.57142857"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00021","","","","10","6","2","1","2","8","1","1","6","0","0.55","0","6.4","2","5","3","3","4","1","0.55","6.95","0.091666667","","6","6","6","0.55","6.4","100","7.913669065","0.091666667","1.833333333","1.833333333","21.33333333","23.16666667","0.6","0.6","0.055","0.64","10","18.33333333","18.33333333","213.3333333","231.6666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00022","","","","10","10","1","1","2","8","1","9","7","2","0.5","0.3","6.3","8","6","1","2","3","1","0.8","7.1","0.071428571","0.15","9","1","0.777777778","0.088888889","0.7","77.77777778","11.26760563","0.088888889","1.666666667","2.666666667","21","23.66666667","0.9","0.7","0.08","0.63","90","1.851851852","2.962962963","23.33333333","26.2962963"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00023","","","","10","7","2","1","2","9","2","7","8","3","0.3","0.2","8.3","8","2","3","6","3","3","0.5","8.8","0.0375","0.066666667","11","1.571428571","1.142857143","0.071428571","1.185714286","72.72727273","5.681818182","0.045454545","1","1.666666667","27.66666667","29.33333333","1.1","0.8","0.05","0.83","70","1.428571429","2.380952381","39.52380952","41.9047619"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00024","","","","10","10","1","1","1","9","1","9","11","0","1.7","0","14.8","2","5","3","3","4","3","1.7","16.5","0.154545455","","11","1.222222222","1.222222222","0.188888889","1.644444444","100","10.3030303","0.154545455","5.666666667","5.666666667","49.33333333","55","1.1","1.1","0.17","1.48","90","6.296296296","6.296296296","54.81481481","61.11111111"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00025","","","","10","6","1","1","2","4","1","2","0","0","0","0","1","","","","","","","0","1","","","0","0","0","0","0.5","","0","","0","0","3.333333333","3.333333333","0","0","0","0.1","20","0","0","16.66666667","16.66666667"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00026","","","","10","5","2","1","1","6","1","5","6","0","2.5","0","9.65","3","7","1","6","1","1","2.5","12.15","0.416666667","","6","1.2","1.2","0.5","1.93","100","20.57613169","0.416666667","8.333333333","8.333333333","32.16666667","40.5","0.6","0.6","0.25","0.965","50","16.66666667","16.66666667","64.33333333","81"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00027","","","","10","7","2","1","2","8","2","7","6","2","1.45","0.1","4.85","6","6","3","4","3","1","1.55","6.4","0.241666667","0.05","8","1.142857143","0.857142857","0.221428571","0.692857143","75","24.21875","0.19375","4.833333333","5.166666667","16.16666667","21.33333333","0.8","0.6","0.155","0.485","70","6.904761905","7.380952381","23.0952381","30.47619048"
"","","UGP2018SER-ST01","","","","","","","","","UGP2018SER-ST01-00028","","","","10","4","1","1","2","6","2","4","3","0","1.5","0","1.45","6","6","5","3","4","1","1.5","2.95","0.5","","3","0.75","0.75","0.375","0.3625","100","50.84745763","0.5","5","5","4.833333333","9.833333333","0.3","0.3","0.15","0.145","40","12.5","12.5","12.08333333","24.58333333"
