"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00018","","","","30","18","2","3","7","2","2","18","35","4","16","0.2","24","5","1","1","6","1","0","16.2","40.2","39","0.457142857","0.05","0.415384615","2.166666667","1.3","1.944444444","1.166666667","0.9","0.54","1.333333333","0.8","89.74358974","40.29850746","60","17.77777778","18","26.66666667","44.66666667","29.62962963","30","44.44444444","74.44444444"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00019","","","","30","12","3","5","7","2","2","12","25","6","7","0.2","35","6","2","1","6","2","0","7.2","42.2","31","0.28","0.033333333","0.232258065","2.583333333","1.033333333","2.083333333","0.833333333","0.6","0.24","2.916666667","1.166666667","80.64516129","17.06161137","40","7.777777778","8","38.88888889","46.88888889","19.44444444","20","97.22222222","117.2222222"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00020","","","","30","18","2","4","7","2","2","17","39","1","25","0.02","27","8","2","1","6","1","0.12","25.02","52.02","40","0.641025641","0.02","0.6255","2.352941176","1.333333333","2.294117647","1.3","1.471764706","0.834","1.588235294","0.9","97.5","48.09688581","56.66666667","27.77777778","27.8","30","57.8","49.01960784","49.05882353","52.94117647","102"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00022","","","","30","19","3","6","6","2","3","18","22","13","2","0.4","6","5","2","3","2","4","11.03","2.4","8.4","35","0.090909091","0.030769231","0.068571429","1.944444444","1.166666667","1.222222222","0.733333333","0.133333333","0.08","0.333333333","0.2","62.85714286","28.57142857","60","2.222222222","2.666666667","6.666666667","9.333333333","3.703703704","4.444444444","11.11111111","15.55555556"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00023","","","","30","10","1","3","8","1","2","10","31","5","16","0.2","35","3","2","1","6","1","0.12","16.2","51.2","36","0.516129032","0.04","0.45","3.6","1.2","3.1","1.033333333","1.62","0.54","3.5","1.166666667","86.11111111","31.640625","33.33333333","17.77777778","18","38.88888889","56.88888889","53.33333333","54","116.6666667","170.6666667"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00024","","","","30","18","1","7","7","1","2","18","50","12","11","0.4","20","3","2","3","4","2","0","11.4","31.4","62","0.22","0.033333333","0.183870968","3.444444444","2.066666667","2.777777778","1.666666667","0.633333333","0.38","1.111111111","0.666666667","80.64516129","36.30573248","60","12.22222222","12.66666667","22.22222222","34.88888889","20.37037037","21.11111111","37.03703704","58.14814815"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00025","","","","30","24","2","5","6","2","2","18","39","5","15","0.2","10","3","4","5","6","1","0","15.2","25.2","44","0.384615385","0.04","0.345454545","2.444444444","1.466666667","2.166666667","1.3","0.844444444","0.506666667","0.555555556","0.333333333","88.63636364","60.31746032","60","16.66666667","16.88888889","11.11111111","28","27.77777778","28.14814815","18.51851852","46.66666667"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00026","","","","30","17","2","2","8","2","3","17","22","5","7","0.15","48","8","2","1","4","2","0.12","7.15","55.15","27","0.318181818","0.03","0.264814815","1.588235294","0.9","1.294117647","0.733333333","0.420588235","0.238333333","2.823529412","1.6","81.48148148","12.96464189","56.66666667","7.777777778","7.944444444","53.33333333","61.27777778","13.7254902","14.01960784","94.11764706","108.1372549"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00027","","","","30","24","3","3","8","2","2","24","25","11","10","0.25","42","8","3","1","4","2","0","10.25","52.25","36","0.4","0.022727273","0.284722222","1.5","1.2","1.041666667","0.833333333","0.427083333","0.341666667","1.75","1.4","69.44444444","19.61722488","80","11.11111111","11.38888889","46.66666667","58.05555556","13.88888889","14.23611111","58.33333333","72.56944444"
"","","UGP2017NAM-PT03","","","","","","","","","UGP2017NAM-PT03-00028","","","","30","20","2","3","8","2","2","20","18","16","3.5","0.45","30","8","2","1","3","3","0","3.95","33.95","34","0.194444444","0.028125","0.116176471","1.7","1.133333333","0.9","0.6","0.1975","0.131666667","1.5","1","52.94117647","11.634757","66.66666667","3.888888889","4.388888889","33.33333333","37.72222222","5.833333333","6.583333333","50","56.58333333"
