"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00283","","","","3","3","3","2","7","6","2","3","2","0","0.65","0","0.5","2","5","1","2","3","1","0.65","1.15","0.325","","2","0.666666667","0.666666667","0.666666667","0.666666667","0.216666667","0.216666667","0.166666667","0.166666667","100","56.52173913","100","7.222222222","7.222222222","5.555555556","12.77777778","0.325","7.222222222","7.222222222","5.555555556","12.77777778"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00284","","","","3","3","2","2","7","3","2","3","3","0","0.64","0","0.6","6","2","1","6","3","1","0.64","1.24","0.213333333","","3","1","1","1","1","0.213333333","0.213333333","0.2","0.2","100","51.61290323","100","7.111111111","7.111111111","6.666666667","13.77777778","0.213333333","7.111111111","7.111111111","6.666666667","13.77777778"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00285","","","","3","3","2","2","8","3","2","3","1","1","0.95","0.03","2.75","6","6","1","1","2","1","0.98","3.73","0.95","0.03","2","0.666666667","0.666666667","0.333333333","0.333333333","0.326666667","0.326666667","0.916666667","0.916666667","50","26.27345845","100","10.55555556","10.88888889","30.55555556","41.44444444","0.49","10.55555556","10.88888889","30.55555556","41.44444444"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00286","","","","3","3","4","2","7","5","2","3","7","1","1.24","0.03","1.45","2","3","2","2","3","1","1.27","2.72","0.177142857","0.03","8","2.666666667","2.666666667","2.333333333","2.333333333","0.423333333","0.423333333","0.483333333","0.483333333","87.5","46.69117647","100","13.77777778","14.11111111","16.11111111","30.22222222","0.15875","13.77777778","14.11111111","16.11111111","30.22222222"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00287","","","","3","2","3","2","6","3","2","2","0","0","0","0","0.43","","","","","","","0","0.43","","","0","0","0","0","0","0","0","0.215","0.143333333","","0","66.66666667","0","0","4.777777778","4.777777778","","0","0","7.166666667","7.166666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00288","","","","3","3","3","2","6","4","2","3","0","0","0","0","0.65","","","","","","","0","0.65","","","0","0","0","0","0","0","0","0.216666667","0.216666667","","0","100","0","0","7.222222222","7.222222222","","0","0","7.222222222","7.222222222"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00289","","","","3","2","2","2","8","3","2","2","3","13","0.35","0.35","2.8","4","7","1","7","7","1","0.7","3.5","0.116666667","0.026923077","16","8","5.333333333","1.5","1","0.35","0.233333333","1.4","0.933333333","18.75","20","66.66666667","3.888888889","7.777777778","31.11111111","38.88888889","0.04375","5.833333333","11.66666667","46.66666667","58.33333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00290","","","","3","2","3","2","7","6","2","2","3","1","0.8","0.03","1","3","7","1","3","4","1","0.83","1.83","0.266666667","0.03","4","2","1.333333333","1.5","1","0.415","0.276666667","0.5","0.333333333","75","45.35519126","66.66666667","8.888888889","9.222222222","11.11111111","20.33333333","0.2075","13.33333333","13.83333333","16.66666667","30.5"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00291","","","","3","3","4","2","7","6","2","2","0","0","0","0","0.6","","","","","","","0","0.6","","","0","0","0","0","0","0","0","0.3","0.2","","0","66.66666667","0","0","6.666666667","6.666666667","","0","0","10","10"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00292","","","","3","2","2","2","6","3","2","2","0","1","0","0.02","0.81","6","7","1","7","7","1","0.02","0.83","","0.02","1","0.5","0.333333333","0","0","0.01","0.006666667","0.405","0.27","0","2.409638554","66.66666667","0","0.222222222","9","9.222222222","0.02","0","0.333333333","13.5","13.83333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00293","","","","3","2","2","2","7","3","2","2","3","0","1.1","0","4.8","6","4","1","1","2","1","1.1","5.9","0.366666667","","3","1.5","1","1.5","1","0.55","0.366666667","2.4","1.6","100","18.6440678","66.66666667","12.22222222","12.22222222","53.33333333","65.55555556","0.366666667","18.33333333","18.33333333","80","98.33333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00294","","","","3","2","2","2","5","3","2","2","3","1","0.5","0.03","0.65","2","2","1","2","4","1","0.53","1.18","0.166666667","0.03","4","2","1.333333333","1.5","1","0.265","0.176666667","0.325","0.216666667","75","44.91525424","66.66666667","5.555555556","5.888888889","7.222222222","13.11111111","0.1325","8.333333333","8.833333333","10.83333333","19.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00295","","","","3","3","4","2","8","6","2","3","2","0","1.5","0","6.9","6","6","1","4","1","1","1.5","8.4","0.75","","2","0.666666667","0.666666667","0.666666667","0.666666667","0.5","0.5","2.3","2.3","100","17.85714286","100","16.66666667","16.66666667","76.66666667","93.33333333","0.75","16.66666667","16.66666667","76.66666667","93.33333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00296","","","","3","3","4","2","9","6","2","3","0","0","0","0","4.9","","","","","","","0","4.9","","","0","0","0","0","0","0","0","1.633333333","1.633333333","","0","100","0","0","54.44444444","54.44444444","","0","0","54.44444444","54.44444444"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00297","","","","3","3","2","2","6","3","2","3","0","0","0","0","1","","","","","","","0","1","","","0","0","0","0","0","0","0","0.333333333","0.333333333","","0","100","0","0","11.11111111","11.11111111","","0","0","11.11111111","11.11111111"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00298","","","","3","2","3","2","7","4","2","2","0","1","0","0.03","1.8","6","3","1","7","8","1","0.03","1.83","","0.03","1","0.5","0.333333333","0","0","0.015","0.01","0.9","0.6","0","1.639344262","66.66666667","0","0.333333333","20","20.33333333","0.03","0","0.5","30","30.5"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00299","","","","3","3","4","2","6","5","2","3","3","0","0.7","0","0.55","6","3","1","6","4","2","0.7","1.25","0.233333333","","3","1","1","1","1","0.233333333","0.233333333","0.183333333","0.183333333","100","56","100","7.777777778","7.777777778","6.111111111","13.88888889","0.233333333","7.777777778","7.777777778","6.111111111","13.88888889"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00300","","","","3","3","6","2","8","7","2","3","7","1","3.1","0.03","4.1","3","7","1","2","2","1","3.13","7.23","0.442857143","0.03","8","2.666666667","2.666666667","2.333333333","2.333333333","1.043333333","1.043333333","1.366666667","1.366666667","87.5","43.29183956","100","34.44444444","34.77777778","45.55555556","80.33333333","0.39125","34.44444444","34.77777778","45.55555556","80.33333333"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00301","","","","3","2","3","2","8","4","2","2","3","0","0.96","0","3.6","6","3","1","2","5","1","0.96","4.56","0.32","","3","1.5","1","1.5","1","0.48","0.32","1.8","1.2","100","21.05263158","66.66666667","10.66666667","10.66666667","40","50.66666667","0.32","16","16","60","76"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00302","","","","3","3","3","2","9","4","2","3","5","0","2.2","0","3.4","6","6","1","4","1","1","2.2","5.6","0.44","","5","1.666666667","1.666666667","1.666666667","1.666666667","0.733333333","0.733333333","1.133333333","1.133333333","100","39.28571429","100","24.44444444","24.44444444","37.77777778","62.22222222","0.44","24.44444444","24.44444444","37.77777778","62.22222222"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00303","","","","3","1","3","2","6","6","2","1","0","0","0","0","0.65","","","","","","","0","0.65","","","0","0","0","0","0","0","0","0.65","0.216666667","","0","33.33333333","0","0","7.222222222","7.222222222","","0","0","21.66666667","21.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00304","","","","3","2","4","2","7","5","2","2","4","0","1.4","0","1.1","3","3","2","4","3","1","1.4","2.5","0.35","","4","2","1.333333333","2","1.333333333","0.7","0.466666667","0.55","0.366666667","100","56","66.66666667","15.55555556","15.55555556","12.22222222","27.77777778","0.35","23.33333333","23.33333333","18.33333333","41.66666667"
"","","UGP2018NAM-OT05","","","","","","","","","UGP2018NAM-OT05-00305","","","","3","2","3","2","6","4","2","2","1","0","1.4","0","4.3","6","6","1","4","1","1","1.4","5.7","1.4","","1","0.5","0.333333333","0.5","0.333333333","0.7","0.466666667","2.15","1.433333333","100","24.56140351","66.66666667","15.55555556","15.55555556","47.77777778","63.33333333","1.4","23.33333333","23.33333333","71.66666667","95"
