"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01001","","","","30","30","2","1","8","2","2","25","43","50","4.65","1.7","5.9","9","6","1","7","3","4","6.35","12.25","0.108139535","0.034","93","3.72","1.72","0.254","0.236","46.23655914","51.83673469","0.06827957","5.166666667","7.055555556","6.555555556","13.61111111","3.1","1.433333333","0.211666667","0.196666667","83.33333333","6.2","8.466666667","7.866666667","16.33333333"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01002","","","","30","26","2","1","7","2","2","26","15","28","1.35","0.8","6.75","9","6","1","7","5","3","2.15","8.9","0.09","0.028571429","43","1.653846154","0.576923077","0.082692308","0.259615385","34.88372093","24.15730337","0.05","1.5","2.388888889","7.5","9.888888889","1.433333333","0.5","0.071666667","0.225","86.66666667","1.730769231","2.756410256","8.653846154","11.41025641"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01003","","","","30","30","1","1","6","1","1","28","6","22","0.45","0.5","2.45","2","3","1","7","7","1","0.95","3.4","0.075","0.022727273","28","1","0.214285714","0.033928571","0.0875","21.42857143","27.94117647","0.033928571","0.5","1.055555556","2.722222222","3.777777778","0.933333333","0.2","0.031666667","0.081666667","93.33333333","0.535714286","1.130952381","2.916666667","4.047619048"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01004","","","","30","26","2","1","5","3","1","26","12","12","0.8","0.35","1.05","5","6","1","2","6","3","1.15","2.2","0.066666667","0.029166667","24","0.923076923","0.461538462","0.044230769","0.040384615","50","52.27272727","0.047916667","0.888888889","1.277777778","1.166666667","2.444444444","0.8","0.4","0.038333333","0.035","86.66666667","1.025641026","1.474358974","1.346153846","2.820512821"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01005","","","","30","12","2","1","6","2","2","12","9","18","0.9","0.45","0.9","5","6","1","4","6","1","1.35","2.25","0.1","0.025","27","2.25","0.75","0.1125","0.075","33.33333333","60","0.05","1","1.5","1","2.5","0.9","0.3","0.045","0.03","40","2.5","3.75","2.5","6.25"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01006","","","","30","28","2","1","9","3","1","28","22","45","2.4","1.05","8.9","3","7","1","4","4","4","3.45","12.35","0.109090909","0.023333333","67","2.392857143","0.785714286","0.123214286","0.317857143","32.8358209","27.93522267","0.051492537","2.666666667","3.833333333","9.888888889","13.72222222","2.233333333","0.733333333","0.115","0.296666667","93.33333333","2.857142857","4.107142857","10.5952381","14.70238095"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01007","","","","30","27","2","2","8","2","3","27","45","15","5.85","0.5","3.15","8","6","1","4","3","3","6.35","9.5","0.13","0.033333333","60","2.222222222","1.666666667","0.235185185","0.116666667","75","66.84210526","0.105833333","6.5","7.055555556","3.5","10.55555556","2","1.5","0.211666667","0.105","90","7.222222222","7.839506173","3.888888889","11.72839506"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01008","","","","30","26","3","2","7","2","2","26","10","23","1","0.85","2.15","5","7","1","3","5","3","1.85","4","0.1","0.036956522","33","1.269230769","0.384615385","0.071153846","0.082692308","30.3030303","46.25","0.056060606","1.111111111","2.055555556","2.388888889","4.444444444","1.1","0.333333333","0.061666667","0.071666667","86.66666667","1.282051282","2.371794872","2.756410256","5.128205128"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01009","","","","30","30","3","2","6","3","3","28","16","21","0.7","0.25","0.76","3","6","1","3","7","1","0.95","1.71","0.04375","0.011904762","37","1.321428571","0.571428571","0.033928571","0.027142857","43.24324324","55.55555556","0.025675676","0.777777778","1.055555556","0.844444444","1.9","1.233333333","0.533333333","0.031666667","0.025333333","93.33333333","0.833333333","1.130952381","0.904761905","2.035714286"
"","","UGP2018KAC-AT02","","","","","","","","","UGP2018KAC-AT02-01010","","","","30","30","2","1","8","3","1","27","23","24","2.7","1.1","7.65","8","2","1","3","4","1","3.8","11.45","0.117391304","0.045833333","47","1.740740741","0.851851852","0.140740741","0.283333333","48.93617021","33.18777293","0.080851064","3","4.222222222","8.5","12.72222222","1.566666667","0.766666667","0.126666667","0.255","90","3.333333333","4.691358025","9.444444444","14.13580247"
