"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Alternaria symptoms estimating 1-9|CO_331:0000198","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00011","","","","45","1","2","1","7","36","30","9","27","2","12","9","1","2","0","11","23","57","0.3","0.074074074","0.192982456","1.583333333","1.266666667","0.833333333","0.666666667","0.305555556","0.244444444","0.333333333","0.266666667","52.63157895","47.82608696","80","6.666666667","8.148148148","8.888888889","17.03703704","8.333333333","10.18518519","11.11111111","21.2962963"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00012","","","","45","1","1","1","6","24","36","16","25","1","13.5","","1","","","17","30.5","61","0.444444444","0.04","0.278688525","2.541666667","1.355555556","1.5","0.8","0.708333333","0.377777778","0.5625","0.3","59.01639344","55.73770492","53.33333333","11.85185185","12.59259259","10","22.59259259","22.22222222","23.61111111","18.75","42.36111111"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00013","","","","45","1","1","1","6","45","63","37","13","1.4","3.5","","2","","","38.4","41.9","76","0.587301587","0.107692308","0.505263158","1.688888889","1.688888889","1.4","1.4","0.853333333","0.853333333","0.077777778","0.077777778","82.89473684","91.64677804","100","27.40740741","28.44444444","2.592592593","31.03703704","27.40740741","28.44444444","2.592592593","31.03703704"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00014","","","","45","1","1","1","3","40","40","6.5","30","1.9","10.5","","1","","","8.4","18.9","70","0.1625","0.063333333","0.12","1.75","1.555555556","1","0.888888889","0.21","0.186666667","0.2625","0.233333333","57.14285714","44.44444444","88.88888889","4.814814815","6.222222222","7.777777778","14","5.416666667","7","8.75","15.75"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00015","","","","45","1","2","2","4","29","77","27","40","2.5","8","","1","","","29.5","37.5","117","0.350649351","0.0625","0.252136752","4.034482759","2.6","2.655172414","1.711111111","1.017241379","0.655555556","0.275862069","0.177777778","65.81196581","78.66666667","64.44444444","20","21.85185185","5.925925926","27.77777778","31.03448276","33.90804598","9.195402299","43.10344828"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00016","","","","45","1","3","2","3","26","58","42","0","0","11.5","","4","","","42","53.5","58","0.724137931","","0.724137931","2.230769231","1.288888889","2.230769231","1.288888889","1.615384615","0.933333333","0.442307692","0.255555556","100","78.5046729","57.77777778","31.11111111","31.11111111","8.518518519","39.62962963","53.84615385","53.84615385","14.74358974","68.58974359"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00017","","","","45","1","1","1","6","25","36","10","5","0.4","16.2","","1","","","10.4","26.6","41","0.277777778","0.08","0.253658537","1.64","0.911111111","1.44","0.8","0.416","0.231111111","0.648","0.36","87.80487805","39.09774436","55.55555556","7.407407407","7.703703704","12","19.7037037","13.33333333","13.86666667","21.6","35.46666667"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00018","","","","45","1","2","2","6","30","80","24","20","2","2.5","","1","","","26","28.5","100","0.3","0.1","0.26","3.333333333","2.222222222","2.666666667","1.777777778","0.866666667","0.577777778","0.083333333","0.055555556","80","91.22807018","66.66666667","17.77777778","19.25925926","1.851851852","21.11111111","26.66666667","28.88888889","2.777777778","31.66666667"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00019","","","","45","1","2","1","5","32","16","6.5","10","1","24.5","","1","","","7.5","32","26","0.40625","0.1","0.288461538","0.8125","0.577777778","0.5","0.355555556","0.234375","0.166666667","0.765625","0.544444444","61.53846154","23.4375","71.11111111","4.814814815","5.555555556","18.14814815","23.7037037","6.770833333","7.8125","25.52083333","33.33333333"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00020","","","","45","1","2","1","5","33","38","6","0","0","12","","1","","","6","18","38","0.157894737","","0.157894737","1.151515152","0.844444444","1.151515152","0.844444444","0.181818182","0.133333333","0.363636364","0.266666667","100","33.33333333","73.33333333","4.444444444","4.444444444","8.888888889","13.33333333","6.060606061","6.060606061","12.12121212","18.18181818"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00021","","","","45","1","3","2","7","32","18","3.5","12","1","13.5","","1","","","4.5","18","30","0.194444444","0.083333333","0.15","0.9375","0.666666667","0.5625","0.4","0.140625","0.1","0.421875","0.3","60","25","71.11111111","2.592592593","3.333333333","10","13.33333333","3.645833333","4.6875","14.0625","18.75"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00022","","","","45","1","2","1","7","31","23","8.5","21","0.8","24","","1","","","9.3","33.3","44","0.369565217","0.038095238","0.211363636","1.419354839","0.977777778","0.741935484","0.511111111","0.3","0.206666667","0.774193548","0.533333333","52.27272727","27.92792793","68.88888889","6.296296296","6.888888889","17.77777778","24.66666667","9.139784946","10","25.80645161","35.80645161"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00023","","","","45","1","2","1","6","20","12","2.5","33","1","17","","1","","","3.5","20.5","45","0.208333333","0.03030303","0.077777778","2.25","1","0.6","0.266666667","0.175","0.077777778","0.85","0.377777778","26.66666667","17.07317073","44.44444444","1.851851852","2.592592593","12.59259259","15.18518519","4.166666667","5.833333333","28.33333333","34.16666667"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00024","","","","45","1","2","1","5","33","10","6","7","0.5","28","","1","","","6.5","34.5","17","0.6","0.071428571","0.382352941","0.515151515","0.377777778","0.303030303","0.222222222","0.196969697","0.144444444","0.848484848","0.622222222","58.82352941","18.84057971","73.33333333","4.444444444","4.814814815","20.74074074","25.55555556","6.060606061","6.565656566","28.28282828","34.84848485"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00025","","","","45","1","1","1","4","21","68","14","5","0.3","2","","1","","","14.3","16.3","73","0.205882353","0.06","0.195890411","3.476190476","1.622222222","3.238095238","1.511111111","0.680952381","0.317777778","0.095238095","0.044444444","93.15068493","87.73006135","46.66666667","10.37037037","10.59259259","1.481481481","12.07407407","22.22222222","22.6984127","3.174603175","25.87301587"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00026","","","","45","1","1","1","6","27","36","12","8","0.4","9","","1","","","12.4","21.4","44","0.333333333","0.05","0.281818182","1.62962963","0.977777778","1.333333333","0.8","0.459259259","0.275555556","0.333333333","0.2","81.81818182","57.94392523","60","8.888888889","9.185185185","6.666666667","15.85185185","14.81481481","15.30864198","11.11111111","26.41975309"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00027","","","","45","1","1","1","5","20","27","13.5","5","0.5","12","","1","","","14","26","32","0.5","0.1","0.4375","1.6","0.711111111","1.35","0.6","0.7","0.311111111","0.6","0.266666667","84.375","53.84615385","44.44444444","10","10.37037037","8.888888889","19.25925926","22.5","23.33333333","20","43.33333333"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00028","","","","45","1","2","1","6","27","24","6","13","0.8","6.2","","1","","","6.8","13","37","0.25","0.061538462","0.183783784","1.37037037","0.822222222","0.888888889","0.533333333","0.251851852","0.151111111","0.22962963","0.137777778","64.86486486","52.30769231","60","4.444444444","5.037037037","4.592592593","9.62962963","7.407407407","8.395061728","7.654320988","16.04938272"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00029","","","","45","2","3","2","6","28","39","6","29","1","7.5","","1","","","7","14.5","68","0.153846154","0.034482759","0.102941176","2.428571429","1.511111111","1.392857143","0.866666667","0.25","0.155555556","0.267857143","0.166666667","57.35294118","48.27586207","62.22222222","4.444444444","5.185185185","5.555555556","10.74074074","7.142857143","8.333333333","8.928571429","17.26190476"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00030","","","","45","1","2","2","6","15","54","","0","0","12","","1","","","","","54","","","","3.6","1.2","3.6","1.2","","","0.8","0.266666667","100","","33.33333333","","","8.888888889","","","","26.66666667",""
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00031","","","","45","2","3","4","7","42","69","20","12","0.6","12.5","","1","","","20.6","33.1","81","0.289855072","0.05","0.254320988","1.928571429","1.8","1.642857143","1.533333333","0.49047619","0.457777778","0.297619048","0.277777778","85.18518519","62.23564955","93.33333333","14.81481481","15.25925926","9.259259259","24.51851852","15.87301587","16.34920635","9.920634921","26.26984127"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00032","","","","45","1","1","1","7","14","29","6.5","8","0.5","7","","1","","","7","14","37","0.224137931","0.0625","0.189189189","2.642857143","0.822222222","2.071428571","0.644444444","0.5","0.155555556","0.5","0.155555556","78.37837838","50","31.11111111","4.814814815","5.185185185","5.185185185","10.37037037","15.47619048","16.66666667","16.66666667","33.33333333"
"","","UGP2011NGE-PT01","","","","","","","","","UGP2011NGE-PT01-00033","","","","45","1","2","2","4","30","40","25","0","0","5.4","","1","","","25","30.4","40","0.625","","0.625","1.333333333","0.888888889","1.333333333","0.888888889","0.833333333","0.555555556","0.18","0.12","100","82.23684211","66.66666667","18.51851852","18.51851852","4","22.51851852","27.77777778","27.77777778","6","33.77777778"
