"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00011","","","","54","49","1","2","1","112","30","76","4.4","23","2","4","1","8","1.65","34.4","57.4","188","0.267857143","0.057894737","0.182978723","3.836734694","3.481481481","2.285714286","2.074074074","0.702040816","0.637037037","0.469387755","0.425925926","59.57446809","59.93031359","90.74074074","18.51851852","21.2345679","14.19753086","35.43209877","20.40816327","23.40136054","15.6462585","39.04761905"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00012","","","","54","41","1","1","1","66","21.6","72","4","34.8","2","9","1","2","1.65","25.6","60.4","138","0.327272727","0.055555556","0.185507246","3.365853659","2.555555556","1.609756098","1.222222222","0.624390244","0.474074074","0.848780488","0.644444444","47.82608696","42.38410596","75.92592593","13.33333333","15.80246914","21.48148148","37.28395062","17.56097561","20.81300813","28.29268293","49.10569106"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00013","","","","54","54","1","1","1","101","38.2","25","1.6","33","1","9","1","8","1.65","39.8","72.8","126","0.378217822","0.064","0.315873016","2.333333333","2.333333333","1.87037037","1.87037037","0.737037037","0.737037037","0.611111111","0.611111111","80.15873016","54.67032967","100","23.58024691","24.56790123","20.37037037","44.9382716","23.58024691","24.56790123","20.37037037","44.9382716"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00014","","","","54","43","1","1","1","49","11.8","23","1.4","57","1","9","1","2","1.65","13.2","70.2","72","0.240816327","0.060869565","0.183333333","1.674418605","1.333333333","1.139534884","0.907407407","0.306976744","0.244444444","1.325581395","1.055555556","68.05555556","18.8034188","79.62962963","7.283950617","8.148148148","35.18518519","43.33333333","9.147286822","10.23255814","44.18604651","54.41860465"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00015","","","","54","43","1","2","1","120","33.4","30","3.6","32.6","1","4","1","8","1.65","37","69.6","150","0.278333333","0.12","0.246666667","3.488372093","2.777777778","2.790697674","2.222222222","0.860465116","0.685185185","0.758139535","0.603703704","80","53.16091954","79.62962963","20.61728395","22.83950617","20.12345679","42.96296296","25.89147287","28.68217054","25.27131783","53.95348837"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00016","","","","54","40","1","1","1","105","28.8","45","3.4","29","1","9","1","2","1.65","32.2","61.2","150","0.274285714","0.075555556","0.214666667","3.75","2.777777778","2.625","1.944444444","0.805","0.596296296","0.725","0.537037037","70","52.61437908","74.07407407","17.77777778","19.87654321","17.90123457","37.77777778","24","26.83333333","24.16666667","51"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00017","","","","54","54","1","1","1","74","20","28","1.8","20.2","2","9","1","8","1.65","21.8","42","102","0.27027027","0.064285714","0.21372549","1.888888889","1.888888889","1.37037037","1.37037037","0.403703704","0.403703704","0.374074074","0.374074074","72.54901961","51.9047619","100","12.34567901","13.45679012","12.4691358","25.92592593","12.34567901","13.45679012","12.4691358","25.92592593"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00018","","","","54","51","1","1","1","22","5.5","31","2.6","30.8","2","9","1","2","1.65","8.1","38.9","53","0.25","0.083870968","0.152830189","1.039215686","0.981481481","0.431372549","0.407407407","0.158823529","0.15","0.603921569","0.57037037","41.50943396","20.82262211","94.44444444","3.395061728","5","19.01234568","24.01234568","3.594771242","5.294117647","20.13071895","25.4248366"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00019","","","","54","49","1","2","1","40","11.2","39","2.6","19.2","2","4","2","8","1.65","13.8","33","79","0.28","0.066666667","0.174683544","1.612244898","1.462962963","0.816326531","0.740740741","0.281632653","0.255555556","0.391836735","0.355555556","50.63291139","41.81818182","90.74074074","6.913580247","8.518518519","11.85185185","20.37037037","7.619047619","9.387755102","13.06122449","22.44897959"
"","","UGP2012OYA-FT01","","","","","","","","","UGP2012OYA-FT01-00020","","","","54","36","1","2","1","50","10","24","2.2","23.2","2","9","1","2","1.65","12.2","35.4","74","0.2","0.091666667","0.164864865","2.055555556","1.37037037","1.388888889","0.925925926","0.338888889","0.225925926","0.644444444","0.42962963","67.56756757","34.46327684","66.66666667","6.172839506","7.530864198","14.32098765","21.85185185","9.259259259","11.2962963","21.48148148","32.77777778"
