"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00001","","","","16","6","1","2","4","1","1","5","5","2","0.84","0.04","1","2","5","7","3","3","0.12","0.88","1.88","7","0.168","0.02","0.125714286","1.4","0.4375","1","0.3125","0.176","0.055","0.2","0.0625","71.42857143","46.80851064","31.25","1.75","1.833333333","2.083333333","3.916666667","5.6","5.866666667","6.666666667","12.53333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00002","","","","16","7","1","1","5","1","2","7","12","20","1.3","0.04","2","4","5","3","5","4","7.76","1.34","3.34","32","0.108333333","0.002","0.041875","4.571428571","2","1.714285714","0.75","0.191428571","0.08375","0.285714286","0.125","37.5","40.11976048","43.75","2.708333333","2.791666667","4.166666667","6.958333333","6.19047619","6.380952381","9.523809524","15.9047619"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00003","","","","16","14","1","2","4","3","3","10","12","13","1","0.04","0.6","4","5","2","6","4","1.38","1.04","1.64","25","0.083333333","0.003076923","0.0416","2.5","1.5625","1.2","0.75","0.104","0.065","0.06","0.0375","48","63.41463415","62.5","2.083333333","2.166666667","1.25","3.416666667","3.333333333","3.466666667","2","5.466666667"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00004","","","","16","10","2","2","5","1","1","9","13","12","2.5","0.02","6","4","3","4","6","4","1.65","2.52","8.52","25","0.192307692","0.001666667","0.1008","2.777777778","1.5625","1.444444444","0.8125","0.28","0.1575","0.666666667","0.375","52","29.57746479","56.25","5.208333333","5.25","12.5","17.75","9.259259259","9.333333333","22.22222222","31.55555556"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00005","","","","16","7","2","2","5","1","2","5","7","2","0.8","0.04","3","2","5","2","2","1","0.15","0.84","3.84","9","0.114285714","0.02","0.093333333","1.8","0.5625","1.4","0.4375","0.168","0.0525","0.6","0.1875","77.77777778","21.875","31.25","1.666666667","1.75","6.25","8","5.333333333","5.6","20","25.6"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00006","","","","16","8","2","2","5","1","2","8","10","3","2","0.04","2.5","4","3","5","6","4","14.37","2.04","4.54","13","0.2","0.013333333","0.156923077","1.625","0.8125","1.25","0.625","0.255","0.1275","0.3125","0.15625","76.92307692","44.9339207","50","4.166666667","4.25","5.208333333","9.458333333","8.333333333","8.5","10.41666667","18.91666667"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00007","","","","16","7","2","1","3","1","2","7","3","3","0.2","0.02","0.5","6","7","4","3","1","10.5","0.22","0.72","6","0.066666667","0.006666667","0.036666667","0.857142857","0.375","0.428571429","0.1875","0.031428571","0.01375","0.071428571","0.03125","50","30.55555556","43.75","0.416666667","0.458333333","1.041666667","1.5","0.952380952","1.047619048","2.380952381","3.428571429"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00008","","","","16","11","1","2","6","1","2","10","6","1","2","0.02","5","4","3","5","6","3","7.76","2.02","7.02","7","0.333333333","0.02","0.288571429","0.7","0.4375","0.6","0.375","0.202","0.12625","0.5","0.3125","85.71428571","28.77492877","62.5","4.166666667","4.208333333","10.41666667","14.625","6.666666667","6.733333333","16.66666667","23.4"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00009","","","","16","3","1","2","3","1","2","3","6","3","0.4","0.01","0.5","8","5","3","3","3","3.96","0.41","0.91","9","0.066666667","0.003333333","0.045555556","3","0.5625","2","0.375","0.136666667","0.025625","0.166666667","0.03125","66.66666667","45.05494505","18.75","0.833333333","0.854166667","1.041666667","1.895833333","4.444444444","4.555555556","5.555555556","10.11111111"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00010","","","","16","5","1","2","5","1","2","5","13","6","2.5","0.2","3.5","5","5","4","5","1","4.92","2.7","6.2","19","0.192307692","0.033333333","0.142105263","3.8","1.1875","2.6","0.8125","0.54","0.16875","0.7","0.21875","68.42105263","43.5483871","31.25","5.208333333","5.625","7.291666667","12.91666667","16.66666667","18","23.33333333","41.33333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00011","","","","16","13","2","2","5","1","2","12","17","10","3.5","0.2","4","8","3","6","6","5","0","3.7","7.7","27","0.205882353","0.02","0.137037037","2.25","1.6875","1.416666667","1.0625","0.308333333","0.23125","0.333333333","0.25","62.96296296","48.05194805","75","7.291666667","7.708333333","8.333333333","16.04166667","9.722222222","10.27777778","11.11111111","21.38888889"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00012","","","","16","13","1","2","5","1","2","13","13","12","2","0.22","2.5","6","5","3","5","3","0","2.22","4.72","25","0.153846154","0.018333333","0.0888","1.923076923","1.5625","1","0.8125","0.170769231","0.13875","0.192307692","0.15625","52","47.03389831","81.25","4.166666667","4.625","5.208333333","9.833333333","5.128205128","5.692307692","6.41025641","12.1025641"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00013","","","","16","10","2","2","7","1","2","10","28","22","5","0.62","6","5","3","8","5","4","12.39","5.62","11.62","50","0.178571429","0.028181818","0.1124","5","3.125","2.8","1.75","0.562","0.35125","0.6","0.375","56","48.36488812","62.5","10.41666667","11.70833333","12.5","24.20833333","16.66666667","18.73333333","20","38.73333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00014","","","","16","8","2","1","5","1","1","6","11","5","1.4","0.2","3","2","3","1","3","1","3.03","1.6","4.6","16","0.127272727","0.04","0.1","2.666666667","1","1.833333333","0.6875","0.266666667","0.1","0.5","0.1875","68.75","34.7826087","37.5","2.916666667","3.333333333","6.25","9.583333333","7.777777778","8.888888889","16.66666667","25.55555556"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00015","","","","16","4","1","2","6","1","3","4","2","3","0.4","0.2","7","2","3","2","3","1","12.39","0.6","7.6","5","0.2","0.066666667","0.12","1.25","0.3125","0.5","0.125","0.15","0.0375","1.75","0.4375","40","7.894736842","25","0.833333333","1.25","14.58333333","15.83333333","3.333333333","5","58.33333333","63.33333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00016","","","","16","8","2","1","4","1","1","2","0","4","0","0.4","1","4","9","8","3","1","3.03","0.4","1.4","4","","0.1","0.1","2","0.25","0","0","0.2","0.025","0.5","0.0625","0","28.57142857","12.5","0","0.833333333","2.083333333","2.916666667","0","6.666666667","16.66666667","23.33333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00017","","","","16","12","1","2","9","1","1","8","1","3","0.4","0.02","0.2","2","8","3","1","1","1.17","0.42","0.62","4","0.4","0.006666667","0.105","0.5","0.25","0.125","0.0625","0.0525","0.02625","0.025","0.0125","25","67.74193548","50","0.833333333","0.875","0.416666667","1.291666667","1.666666667","1.75","0.833333333","2.583333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00018","","","","16","2","2","3","6","1","2","2","1","4","","0.1","0.5","2","8","3","1","2","0.15","","","5","","0.025","","2.5","0.3125","0.5","0.0625","","","0.25","0.03125","20","","12.5","","","1.041666667","","","","8.333333333",""
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00019","","","","16","9","2","2","3","1","2","6","1","4","0.24","0.1","0.1","5","5","2","4","3","7.76","0.34","0.44","5","0.24","0.025","0.068","0.833333333","0.3125","0.166666667","0.0625","0.056666667","0.02125","0.016666667","0.00625","20","77.27272727","37.5","0.5","0.708333333","0.208333333","0.916666667","1.333333333","1.888888889","0.555555556","2.444444444"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00020","","","","16","7","1","2","4","1","3","3","0","1","0","0.03","1.1","2","8","3","4","3","0.12","0.03","1.13","1","","0.03","0.03","0.333333333","0.0625","0","0","0.01","0.001875","0.366666667","0.06875","0","2.654867257","18.75","0","0.0625","2.291666667","2.354166667","0","0.333333333","12.22222222","12.55555556"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00021","","","","16","12","2","2","5","1","1","7","3","8","0.2","0.2","1.5","5","7","3","1","1","0","0.4","1.9","11","0.066666667","0.025","0.036363636","1.571428571","0.6875","0.428571429","0.1875","0.057142857","0.025","0.214285714","0.09375","27.27272727","21.05263158","43.75","0.416666667","0.833333333","3.125","3.958333333","0.952380952","1.904761905","7.142857143","9.047619048"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00022","","","","16","8","1","2","4","1","1","5","3","2","0.7","0.01","1.5","5","2","2","1","3","7.23","0.71","2.21","5","0.233333333","0.005","0.142","1","0.3125","0.6","0.1875","0.142","0.044375","0.3","0.09375","60","32.12669683","31.25","1.458333333","1.479166667","3.125","4.604166667","4.666666667","4.733333333","10","14.73333333"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00023","","","","16","6","2","2","4","1","2","6","6","2","0.66","0.04","3","4","5","4","3","4","7.76","0.7","3.7","8","0.11","0.02","0.0875","1.333333333","0.5","1","0.375","0.116666667","0.04375","0.5","0.1875","75","18.91891892","37.5","1.375","1.458333333","6.25","7.708333333","3.666666667","3.888888889","16.66666667","20.55555556"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00024","","","","16","12","2","1","5","1","2","12","7","4","0.9","0.18","3.5","5","5","3","3","4","0","1.08","4.58","11","0.128571429","0.045","0.098181818","0.916666667","0.6875","0.583333333","0.4375","0.09","0.0675","0.291666667","0.21875","63.63636364","23.58078603","75","1.875","2.25","7.291666667","9.541666667","2.5","3","9.722222222","12.72222222"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00025","","","","16","8","2","2","4","1","1","6","10","11","2.5","0.3","4","5","4","4","1","1","7.76","2.8","6.8","21","0.25","0.027272727","0.133333333","3.5","1.3125","1.666666667","0.625","0.466666667","0.175","0.666666667","0.25","47.61904762","41.17647059","37.5","5.208333333","5.833333333","8.333333333","14.16666667","13.88888889","15.55555556","22.22222222","37.77777778"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00026","","","","16","11","1","2","5","1","2","10","22","7","4.5","0.1","3.5","5","3","6","4","3","11.03","4.6","8.1","29","0.204545455","0.014285714","0.15862069","2.9","1.8125","2.2","1.375","0.46","0.2875","0.35","0.21875","75.86206897","56.79012346","62.5","9.375","9.583333333","7.291666667","16.875","15","15.33333333","11.66666667","27"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00027","","","","16","10","1","2","5","1","2","9","6","6","0.4","0.1","2","2","6","2","3","1","0.12","0.5","2.5","12","0.066666667","0.016666667","0.041666667","1.333333333","0.75","0.666666667","0.375","0.055555556","0.03125","0.222222222","0.125","50","20","56.25","0.833333333","1.041666667","4.166666667","5.208333333","1.481481481","1.851851852","7.407407407","9.259259259"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00028","","","","16","8","2","2","4","1","2","7","7","0","0.5","0","1","6","6","2","3","1","0.12","0.5","1.5","7","0.071428571","","0.071428571","1","0.4375","1","0.4375","0.071428571","0.03125","0.142857143","0.0625","100","33.33333333","43.75","1.041666667","1.041666667","2.083333333","3.125","2.380952381","2.380952381","4.761904762","7.142857143"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00029","","","","16","4","1","2","4","1","2","3","11","12","2.5","0.14","1.5","6","3","6","4","3","0.15","2.64","4.14","23","0.227272727","0.011666667","0.114782609","7.666666667","1.4375","3.666666667","0.6875","0.88","0.165","0.5","0.09375","47.82608696","63.76811594","18.75","5.208333333","5.5","3.125","8.625","27.77777778","29.33333333","16.66666667","46"
"","","UGP2016SER-PT04","","","","","","","","","UGP2016SER-PT04-00030","","","","16","7","1","2","4","1","2","6","21","7","5","0.12","3.5","6","2","5","3","3","7.23","5.12","8.62","28","0.238095238","0.017142857","0.182857143","4.666666667","1.75","3.5","1.3125","0.853333333","0.32","0.583333333","0.21875","75","59.39675174","37.5","10.41666667","10.66666667","7.291666667","17.95833333","27.77777778","28.44444444","19.44444444","47.88888889"
