"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|CO_331:0000198","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root shape estimating 1-9 CIP|CO_331:0000181","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00011","","","","54","53","2","3","1","85","13.2","110","5.1","12","3","4","3","8","18.3","30.3","195","0.155294118","0.046363636","0.093846154","3.679245283","3.611111111","1.603773585","1.574074074","0.345283019","0.338888889","0.226415094","0.222222222","43.58974359","60.3960396","98.14814815","8.148148148","11.2962963","7.407407407","18.7037037","8.301886792","11.50943396","7.547169811","19.05660377"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00012","","","","54","52","2","3","1","44","9.4","59","3","13","2","9","1","2","12.4","25.4","103","0.213636364","0.050847458","0.12038835","1.980769231","1.907407407","0.846153846","0.814814815","0.238461538","0.22962963","0.25","0.240740741","42.7184466","48.81889764","96.2962963","5.802469136","7.654320988","8.024691358","15.67901235","6.025641026","7.948717949","8.333333333","16.28205128"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00013","","","","54","46","2","4","1","52","12","58","3.4","16","3","9","1","8","15.4","31.4","110","0.230769231","0.05862069","0.14","2.391304348","2.037037037","1.130434783","0.962962963","0.334782609","0.285185185","0.347826087","0.296296296","47.27272727","49.04458599","85.18518519","7.407407407","9.50617284","9.87654321","19.38271605","8.695652174","11.15942029","11.5942029","22.75362319"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00014","","","","54","34","2","4","1","63","9.8","40","2.8","25.5","2","9","1","2","12.6","38.1","103","0.155555556","0.07","0.122330097","3.029411765","1.907407407","1.852941176","1.166666667","0.370588235","0.233333333","0.75","0.472222222","61.16504854","33.07086614","62.96296296","6.049382716","7.777777778","15.74074074","23.51851852","9.607843137","12.35294118","25","37.35294118"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00015","","","","54","54","1","3","1","115","28.4","76","3.3","28.6","3","4","3","8","31.7","60.3","191","0.246956522","0.043421053","0.165968586","3.537037037","3.537037037","2.12962963","2.12962963","0.587037037","0.587037037","0.52962963","0.52962963","60.20942408","52.57048093","100","17.5308642","19.56790123","17.65432099","37.22222222","17.5308642","19.56790123","17.65432099","37.22222222"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00016","","","","54","53","1","4","1","52","12.2","39","2.5","18.4","2","9","1","2","14.7","33.1","91","0.234615385","0.064102564","0.161538462","1.716981132","1.685185185","0.981132075","0.962962963","0.277358491","0.272222222","0.347169811","0.340740741","57.14285714","44.41087613","98.14814815","7.530864198","9.074074074","11.35802469","20.43209877","7.672955975","9.245283019","11.57232704","20.81761006"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00017","","","","54","45","5","4","1","5","0.8","91","4.2","8.8","3","9","1","8","5","13.8","96","0.16","0.046153846","0.052083333","2.133333333","1.777777778","0.111111111","0.092592593","0.111111111","0.092592593","0.195555556","0.162962963","5.208333333","36.23188406","83.33333333","0.49382716","3.086419753","5.432098765","8.518518519","0.592592593","3.703703704","6.518518519","10.22222222"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00018","","","","54","45","6","2","1","5","0.8","47","1.8","12","3","9","1","2","2.6","14.6","52","0.16","0.038297872","0.05","1.155555556","0.962962963","0.111111111","0.092592593","0.057777778","0.048148148","0.266666667","0.222222222","9.615384615","17.80821918","83.33333333","0.49382716","1.604938272","7.407407407","9.012345679","0.592592593","1.925925926","8.888888889","10.81481481"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00019","","","","54","51","4","3","1","15","2","89","3.4","12","3","4","2","8","5.4","17.4","104","0.133333333","0.038202247","0.051923077","2.039215686","1.925925926","0.294117647","0.277777778","0.105882353","0.1","0.235294118","0.222222222","14.42307692","31.03448276","94.44444444","1.234567901","3.333333333","7.407407407","10.74074074","1.307189542","3.529411765","7.843137255","11.37254902"
"","","UGP2012RAK-FT01","","","","","","","","","UGP2012RAK-FT01-00020","","","","54","45","4","3","1","2","0.4","29","1.9","12.6","2","9","1","2","2.3","14.9","31","0.2","0.065517241","0.074193548","0.688888889","0.574074074","0.044444444","0.037037037","0.051111111","0.042592593","0.28","0.233333333","6.451612903","15.43624161","83.33333333","0.24691358","1.419753086","7.777777778","9.197530864","0.296296296","1.703703704","9.333333333","11.03703704"
