"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Sprouting ability estimating 1-9|CO_331:0000277","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00001","","","","20","20","2","2","8","4","4","20","0","3","0","0.1","4.9","6","2","1","6","8","1","0.1","5","3","","0.033333333","0.033333333","0.15","0.15","0","0","0.005","0.005","0.245","0.245","0","2","100","0","0.166666667","8.166666667","8.333333333","0","0.166666667","8.166666667","8.333333333"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00002","","","","20","20","2","2","8","4","5","20","26","8","4.25","0.5","4.9","2","4","4","6","3","1","4.75","9.65","34","0.163461538","0.0625","0.139705882","1.7","1.7","1.3","1.3","0.2375","0.2375","0.245","0.245","76.47058824","49.22279793","100","7.083333333","7.916666667","8.166666667","16.08333333","7.083333333","7.916666667","8.166666667","16.08333333"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00003","","","","20","20","3","2","8","5","4","20","26","37","2.25","0.95","2","7","3","2","3","6","1","3.2","5.2","63","0.086538462","0.025675676","0.050793651","3.15","3.15","1.3","1.3","0.16","0.16","0.1","0.1","41.26984127","61.53846154","100","3.75","5.333333333","3.333333333","8.666666667","3.75","5.333333333","3.333333333","8.666666667"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00004","","","","20","20","2","1","6","6","3","18","17","18","1.6","0.6","2.6","5","5","1","7","5","1","2.2","4.8","35","0.094117647","0.033333333","0.062857143","1.944444444","1.75","0.944444444","0.85","0.122222222","0.11","0.144444444","0.13","48.57142857","45.83333333","90","2.666666667","3.666666667","4.333333333","8","2.962962963","4.074074074","4.814814815","8.888888889"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00005","","","","20","18","2","2","5","4","2","15","11","6","1.4","0.35","2.5","2","2","1","7","5","1","1.75","4.25","17","0.127272727","0.058333333","0.102941176","1.133333333","0.85","0.733333333","0.55","0.116666667","0.0875","0.166666667","0.125","64.70588235","41.17647059","75","2.333333333","2.916666667","4.166666667","7.083333333","3.111111111","3.888888889","5.555555556","9.444444444"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00006","","","","20","16","3","2","7","6","6","14","15","40","2.25","1.65","8.5","4","8","1","7","4","2","3.9","12.4","55","0.15","0.04125","0.070909091","3.928571429","2.75","1.071428571","0.75","0.278571429","0.195","0.607142857","0.425","27.27272727","31.4516129","70","3.75","6.5","14.16666667","20.66666667","5.357142857","9.285714286","20.23809524","29.52380952"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00007","","","","20","17","2","2","8","5","3","17","10","17","1.6","0.8","2","6","3","1","3","5","1","2.4","4.4","27","0.16","0.047058824","0.088888889","1.588235294","1.35","0.588235294","0.5","0.141176471","0.12","0.117647059","0.1","37.03703704","54.54545455","85","2.666666667","4","3.333333333","7.333333333","3.137254902","4.705882353","3.921568627","8.62745098"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00008","","","","20","20","2","2","8","4","4","20","26","32","3.55","1.45","9","6","4","3","8","4","1","5","14","58","0.136538462","0.0453125","0.086206897","2.9","2.9","1.3","1.3","0.25","0.25","0.45","0.45","44.82758621","35.71428571","100","5.916666667","8.333333333","15","23.33333333","5.916666667","8.333333333","15","23.33333333"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00009","","","","20","20","2","2","5","3","3","17","29","34","1.55","0.75","1","5","7","1","3","5","1","2.3","3.3","63","0.053448276","0.022058824","0.036507937","3.705882353","3.15","1.705882353","1.45","0.135294118","0.115","0.058823529","0.05","46.03174603","69.6969697","85","2.583333333","3.833333333","1.666666667","5.5","3.039215686","4.509803922","1.960784314","6.470588235"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00010","","","","20","20","2","2","8","5","3","18","43","10","5.2","0.5","8.4","2","4","1","6","4","2","5.7","14.1","53","0.120930233","0.05","0.10754717","2.944444444","2.65","2.388888889","2.15","0.316666667","0.285","0.466666667","0.42","81.13207547","40.42553191","90","8.666666667","9.5","14","23.5","9.62962963","10.55555556","15.55555556","26.11111111"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00011","","","","20","20","4","2","8","6","4","18","50","13","6.2","0.5","8.5","2","2","2","4","3","2","6.7","15.2","63","0.124","0.038461538","0.106349206","3.5","3.15","2.777777778","2.5","0.372222222","0.335","0.472222222","0.425","79.36507937","44.07894737","90","10.33333333","11.16666667","14.16666667","25.33333333","11.48148148","12.40740741","15.74074074","28.14814815"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00012","","","","20","20","2","2","8","3","3","20","0","0","0","0","45","","","","","","","0","45","0","","","","0","0","0","0","0","0","2.25","2.25","","0","100","0","0","75","75","0","0","75","75"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00013","","","","20","20","2","2","5","6","3","19","25","11","4.05","0.5","2.4","6","6","3","3","3","1","4.55","6.95","36","0.162","0.045454545","0.126388889","1.894736842","1.8","1.315789474","1.25","0.239473684","0.2275","0.126315789","0.12","69.44444444","65.4676259","95","6.75","7.583333333","4","11.58333333","7.105263158","7.98245614","4.210526316","12.19298246"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00014","","","","20","20","2","2","8","4","3","17","12","9","2.6","0.45","12.6","2","2","2","6","3","1","3.05","15.65","21","0.216666667","0.05","0.145238095","1.235294118","1.05","0.705882353","0.6","0.179411765","0.1525","0.741176471","0.63","57.14285714","19.48881789","85","4.333333333","5.083333333","21","26.08333333","5.098039216","5.980392157","24.70588235","30.68627451"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00015","","","","20","20","2","3","8","6","5","19","16","9","2.55","0.4","2.9","6","9","1","6","4","1","2.95","5.85","25","0.159375","0.044444444","0.118","1.315789474","1.25","0.842105263","0.8","0.155263158","0.1475","0.152631579","0.145","64","50.42735043","95","4.25","4.916666667","4.833333333","9.75","4.473684211","5.175438596","5.087719298","10.26315789"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00016","","","","20","20","2","2","8","6","5","17","24","18","1.45","0.55","1.2","5","7","4","6","5","2","2","3.2","42","0.060416667","0.030555556","0.047619048","2.470588235","2.1","1.411764706","1.2","0.117647059","0.1","0.070588235","0.06","57.14285714","62.5","85","2.416666667","3.333333333","2","5.333333333","2.843137255","3.921568627","2.352941176","6.274509804"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00017","","","","20","19","3","2","8","7","3","19","22","29","1.25","0.65","12.6","5","7","1","3","6","1","1.9","14.5","51","0.056818182","0.022413793","0.037254902","2.684210526","2.55","1.157894737","1.1","0.1","0.095","0.663157895","0.63","43.1372549","13.10344828","95","2.083333333","3.166666667","21","24.16666667","2.192982456","3.333333333","22.10526316","25.43859649"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00018","","","","20","17","2","2","8","3","4","14","30","29","2","0.08","0.6","6","3","5","7","6","2","2.08","2.68","59","0.066666667","0.002758621","0.035254237","4.214285714","2.95","2.142857143","1.5","0.148571429","0.104","0.042857143","0.03","50.84745763","77.6119403","70","3.333333333","3.466666667","1","4.466666667","4.761904762","4.952380952","1.428571429","6.380952381"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00019","","","","20","19","2","2","5","7","4","16","40","23","5.5","0.95","4.5","2","2","2","6","5","1","6.45","10.95","63","0.1375","0.041304348","0.102380952","3.9375","3.15","2.5","2","0.403125","0.3225","0.28125","0.225","63.49206349","58.90410959","80","9.166666667","10.75","7.5","18.25","11.45833333","13.4375","9.375","22.8125"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00020","","","","20","16","5","2","8","6","3","14","2","3","0.45","0.35","2","2","6","1","2","5","1","0.8","2.8","5","0.225","0.116666667","0.16","0.357142857","0.25","0.142857143","0.1","0.057142857","0.04","0.142857143","0.1","40","28.57142857","70","0.75","1.333333333","3.333333333","4.666666667","1.071428571","1.904761905","4.761904762","6.666666667"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00021","","","","20","17","3","2","8","6","4","17","20","27","3.1","1.15","13.9","2","4","4","8","5","1","4.25","18.15","47","0.155","0.042592593","0.090425532","2.764705882","2.35","1.176470588","1","0.25","0.2125","0.817647059","0.695","42.55319149","23.41597796","85","5.166666667","7.083333333","23.16666667","30.25","6.078431373","8.333333333","27.25490196","35.58823529"
"","","UGP2018NAM-PT01","","","","","","","","","UGP2018NAM-PT01-00022","","","","20","17","2","1","9","6","3","17","19","61","2.2","2.45","7.9","2","2","1","9","6","1","4.65","12.55","80","0.115789474","0.040163934","0.058125","4.705882353","4","1.117647059","0.95","0.273529412","0.2325","0.464705882","0.395","23.75","37.05179283","85","3.666666667","7.75","13.16666667","20.91666667","4.31372549","9.117647059","15.49019608","24.60784314"
