"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00011","","","","30","27","2","2","8","1","2","26","17","0","4","0","51","3","7","5","6","5","0.12","4","55","0.235294118","","17","0.653846154","0.566666667","0.653846154","0.566666667","0.153846154","0.133333333","1.961538462","1.7","100","7.272727273","86.66666667","0.235294118","4.444444444","4.444444444","56.66666667","61.11111111","5.128205128","5.128205128","65.38461538","70.51282051"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00012","","","","30","15","2","5","7","1","2","5","7","0","3","0","4","6","5","4","5","1","4.92","3","7","0.428571429","","7","1.4","0.233333333","1.4","0.233333333","0.6","0.1","0.8","0.133333333","100","42.85714286","16.66666667","0.428571429","3.333333333","3.333333333","4.444444444","7.777777778","20","20","26.66666667","46.66666667"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00013","","","","30","19","4","6","7","1","3","14","15","0","7.2","0","38.2","6","4","6","6","3","0.12","7.2","45.4","0.48","","15","1.071428571","0.5","1.071428571","0.5","0.514285714","0.24","2.728571429","1.273333333","100","15.85903084","46.66666667","0.48","8","8","42.44444444","50.44444444","17.14285714","17.14285714","90.95238095","108.0952381"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00014","","","","30","28","2","2","7","1","2","25","36","0","11","0","24.5","5","5","3","5","3","0.12","11","35.5","0.305555556","","36","1.44","1.2","1.44","1.2","0.44","0.366666667","0.98","0.816666667","100","30.98591549","83.33333333","0.305555556","12.22222222","12.22222222","27.22222222","39.44444444","14.66666667","14.66666667","32.66666667","47.33333333"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00015","","","","30","25","2","2","8","1","2","24","59","0","23","0","21","3","5","3","5","1","7.76","23","44","0.389830508","","59","2.458333333","1.966666667","2.458333333","1.966666667","0.958333333","0.766666667","0.875","0.7","100","52.27272727","80","0.389830508","25.55555556","25.55555556","23.33333333","48.88888889","31.94444444","31.94444444","29.16666667","61.11111111"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00016","","","","30","20","3","4","6","2","2","18","0","0","0","0","12.5","","","","","","","0","12.5","","","0","0","0","0","0","0","0","0.694444444","0.416666667","","0","60","","0","0","13.88888889","13.88888889","0","0","23.14814815","23.14814815"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00017","","","","30","24","3","3","8","2","2","22","30","0","9","0","56.5","2","7","4","5","3","0.02","9","65.5","0.3","","30","1.363636364","1","1.363636364","1","0.409090909","0.3","2.568181818","1.883333333","100","13.74045802","73.33333333","0.3","10","10","62.77777778","72.77777778","13.63636364","13.63636364","85.60606061","99.24242424"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00018","","","","30","26","2","2","8","3","2","23","8","0","0.5","0","75","2","4","2","2","7","0.02","0.5","75.5","0.0625","","8","0.347826087","0.266666667","0.347826087","0.266666667","0.02173913","0.016666667","3.260869565","2.5","100","0.662251656","76.66666667","0.0625","0.555555556","0.555555556","83.33333333","83.88888889","0.724637681","0.724637681","108.6956522","109.4202899"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00019","","","","30","23","3","5","8","2","2","22","0","0","0","0","52","","","","","","","0","52","","","0","0","0","0","0","0","0","2.363636364","1.733333333","","0","73.33333333","","0","0","57.77777778","57.77777778","0","0","78.78787879","78.78787879"
"","","UGP2014SER-PT06","","","","","","","","","UGP2014SER-PT06-00020","","","","30","21","2","2","6","1","2","20","22","0","7.2","0","23","2","6","4","5","3","0.12","7.2","30.2","0.327272727","","22","1.1","0.733333333","1.1","0.733333333","0.36","0.24","1.15","0.766666667","100","23.8410596","66.66666667","0.327272727","8","8","25.55555556","33.55555556","12","12","38.33333333","50.33333333"
