"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00096","","","","20","7","2","3","7","2","2","7","0","0","0","0","6","","","","","","","0","6","0","","","","0","0","0","0","0","0","0.857142857","0.3","","0","35","0","0","10","10","0","0","28.57142857","28.57142857"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00097","","","","20","8","1","2","7","1","2","8","2","2","1.7","0.02","6.5","2","2","1","4","2","0","1.72","8.22","4","0.85","0.01","0.43","0.5","0.2","0.25","0.1","0.215","0.086","0.8125","0.325","50","20.92457421","40","2.833333333","2.866666667","10.83333333","13.7","7.083333333","7.166666667","27.08333333","34.25"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00098","","","","20","3","2","2","6","2","2","3","1","0","0.05","0","1.5","3","1","1","3","8","0","0.05","1.55","1","0.05","","0.05","0.333333333","0.05","0.333333333","0.05","0.016666667","0.0025","0.5","0.075","100","3.225806452","15","0.083333333","0.083333333","2.5","2.583333333","0.555555556","0.555555556","16.66666667","17.22222222"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00099","","","","20","10","1","3","7","2","2","9","0","0","0","0","9","","","","","","","0","9","0","","","","0","0","0","0","0","0","1","0.45","","0","45","0","0","15","15","0","0","33.33333333","33.33333333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00100","","","","20","","2","2","6","1","2","5","9","5","1.5","0.01","3","3","3","1","3","3","0","1.51","4.51","14","0.166666667","0.002","0.107857143","2.8","0.7","1.8","0.45","0.302","0.0755","0.6","0.15","64.28571429","33.48115299","25","2.5","2.516666667","5","7.516666667","10","10.06666667","20","30.06666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00101","","","","20","6","2","5","7","1","2","6","12","0","3","0","5","3","3","1","3","3","7.76","3","8","12","0.25","","0.25","2","0.6","2","0.6","0.5","0.15","0.833333333","0.25","100","37.5","30","5","5","8.333333333","13.33333333","16.66666667","16.66666667","27.77777778","44.44444444"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00102","","","","20","9","3","6","6","1","2","6","9","0","0.7","0","3","4","3","1","6","4","0.12","0.7","3.7","9","0.077777778","","0.077777778","1.5","0.45","1.5","0.45","0.116666667","0.035","0.5","0.15","100","18.91891892","30","1.166666667","1.166666667","5","6.166666667","3.888888889","3.888888889","16.66666667","20.55555556"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00103","","","","20","10","2","3","8","2","2","10","9","0","3","0","23","2","3","1","6","3","0","3","26","9","0.333333333","","0.333333333","0.9","0.45","0.9","0.45","0.3","0.15","2.3","1.15","100","11.53846154","50","5","5","38.33333333","43.33333333","10","10","76.66666667","86.66666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00104","","","","20","9","1","3","8","1","2","9","9","0","3","0","14","8","5","1","3","3","0","3","17","9","0.333333333","","0.333333333","1","0.45","1","0.45","0.333333333","0.15","1.555555556","0.7","100","17.64705882","45","5","5","23.33333333","28.33333333","11.11111111","11.11111111","51.85185185","62.96296296"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00105","","","","20","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","0","","","","","0","","0","","0","","0","","","0","0","0","0","0","","","",""
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00106","","","","20","9","3","7","7","3","2","8","5","7","0.7","0.15","3","5","4","4","2","4","7.76","0.85","3.85","12","0.14","0.021428571","0.070833333","1.5","0.6","0.625","0.25","0.10625","0.0425","0.375","0.15","41.66666667","22.07792208","40","1.166666667","1.416666667","5","6.416666667","2.916666667","3.541666667","12.5","16.04166667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00107","","","","20","8","2","4","6","2","2","7","8","1","1.1","0.02","13","3","2","1","3","3","0.12","1.12","14.12","9","0.1375","0.02","0.124444444","1.285714286","0.45","1.142857143","0.4","0.16","0.056","1.857142857","0.65","88.88888889","7.932011331","35","1.833333333","1.866666667","21.66666667","23.53333333","5.238095238","5.333333333","61.9047619","67.23809524"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00108","","","","20","7","2","5","7","2","2","7","3","0","0.35","0","10","8","2","1","3","6","0","0.35","10.35","3","0.116666667","","0.116666667","0.428571429","0.15","0.428571429","0.15","0.05","0.0175","1.428571429","0.5","100","3.381642512","35","0.583333333","0.583333333","16.66666667","17.25","1.666666667","1.666666667","47.61904762","49.28571429"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00109","","","","20","8","1","5","6","1","2","6","13","0","8.5","0","12","4","3","1","5","1","0","8.5","20.5","13","0.653846154","","0.653846154","2.166666667","0.65","2.166666667","0.65","1.416666667","0.425","2","0.6","100","41.46341463","30","14.16666667","14.16666667","20","34.16666667","47.22222222","47.22222222","66.66666667","113.8888889"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00110","","","","20","6","3","6","6","1","2","5","4","4","0.6","0.25","5","3","3","3","4","5","5.46","0.85","5.85","8","0.15","0.0625","0.10625","1.6","0.4","0.8","0.2","0.17","0.0425","1","0.25","50","14.52991453","25","1","1.416666667","8.333333333","9.75","4","5.666666667","33.33333333","39"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00111","","","","20","4","1","3","7","1","2","4","6","2","3.6","0.02","7","3","1","1","4","2","0","3.62","10.62","8","0.6","0.01","0.4525","2","0.4","1.5","0.3","0.905","0.181","1.75","0.35","75","34.086629","20","6","6.033333333","11.66666667","17.7","30","30.16666667","58.33333333","88.5"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00112","","","","20","9","2","5","7","1","2","9","18","2","6","0.02","11","3","3","3","4","2","0","6.02","17.02","20","0.333333333","0.01","0.301","2.222222222","1","2","0.9","0.668888889","0.301","1.222222222","0.55","90","35.37015276","45","10","10.03333333","18.33333333","28.36666667","22.22222222","22.2962963","40.74074074","63.03703704"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00113","","","","20","8","1","2","9","1","2","8","4","0","1.35","0","27","9","3","1","4","2","0","1.35","28.35","4","0.3375","","0.3375","0.5","0.2","0.5","0.2","0.16875","0.0675","3.375","1.35","100","4.761904762","40","2.25","2.25","45","47.25","5.625","5.625","112.5","118.125"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00114","","","","20","6","1","6","7","1","2","6","7","7","1","0.04","6","3","2","1","3","3","3.96","1.04","7.04","14","0.142857143","0.005714286","0.074285714","2.333333333","0.7","1.166666667","0.35","0.173333333","0.052","1","0.3","50","14.77272727","30","1.666666667","1.733333333","10","11.73333333","5.555555556","5.777777778","33.33333333","39.11111111"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00115","","","","20","8","3","4","6","1","2","8","9","3","1.3","0.05","3.4","3","2","3","3","2","0","1.35","4.75","12","0.144444444","0.016666667","0.1125","1.5","0.6","1.125","0.45","0.16875","0.0675","0.425","0.17","75","28.42105263","40","2.166666667","2.25","5.666666667","7.916666667","5.416666667","5.625","14.16666667","19.79166667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00116","","","","20","9","2","5","7","1","2","8","10","0","1.3","0","6","4","2","1","4","3","0.02","1.3","7.3","10","0.13","","0.13","1.25","0.5","1.25","0.5","0.1625","0.065","0.75","0.3","100","17.80821918","40","2.166666667","2.166666667","10","12.16666667","5.416666667","5.416666667","25","30.41666667"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00117","","","","20","8","1","6","7","1","2","8","18","4","5.5","0.01","6","9","2","1","6","2","0","5.51","11.51","22","0.305555556","0.0025","0.250454545","2.75","1.1","2.25","0.9","0.68875","0.2755","0.75","0.3","81.81818182","47.87141616","40","9.166666667","9.183333333","10","19.18333333","22.91666667","22.95833333","25","47.95833333"
"","","UGP2017NAM-AT03","","","","","","","","","UGP2017NAM-AT03-00118","","","","20","7","1","6","7","1","2","6","14","0","4","0","4.5","3","3","1","6","2","0","4","8.5","14","0.285714286","","0.285714286","2.333333333","0.7","2.333333333","0.7","0.666666667","0.2","0.75","0.225","100","47.05882353","30","6.666666667","6.666666667","7.5","14.16666667","22.22222222","22.22222222","25","47.22222222"
