"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00013","","","","30","25","4","5","7","2","2","15","37","9","16","0.3","7.4","8","1","9","5","1","0.12","16.3","23.7","0.432432432","0.033333333","46","3.066666667","1.533333333","2.466666667","1.233333333","1.086666667","0.543333333","0.493333333","0.246666667","80.43478261","68.77637131","50","0.354347826","17.77777778","18.11111111","8.222222222","26.33333333","35.55555556","36.22222222","16.44444444","52.66666667"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00014","","","","30","22","1","2","8","1","1","16","80","14","28.2","0.44","15.4","2","1","2","3","1","0.12","28.64","44.04","0.3525","0.031428571","94","5.875","3.133333333","5","2.666666667","1.79","0.954666667","0.9625","0.513333333","85.10638298","65.03178928","53.33333333","0.304680851","31.33333333","31.82222222","17.11111111","48.93333333","58.75","59.66666667","32.08333333","91.75"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00015","","","","30","26","2","2","6","1","2","17","66","17","17.3","0.54","7.3","2","3","2","5","1","5.46","17.84","25.14","0.262121212","0.031764706","83","4.882352941","2.766666667","3.882352941","2.2","1.049411765","0.594666667","0.429411765","0.243333333","79.51807229","70.96260939","56.66666667","0.214939759","19.22222222","19.82222222","8.111111111","27.93333333","33.92156863","34.98039216","14.31372549","49.29411765"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00016","","","","30","8","2","","","3","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00017","","","","30","18","2","2","7","1","2","14","56","26","17","0.4","12","9","3","4","6","1","0","17.4","29.4","0.303571429","0.015384615","82","5.857142857","2.733333333","4","1.866666667","1.242857143","0.58","0.857142857","0.4","68.29268293","59.18367347","46.66666667","0.212195122","18.88888889","19.33333333","13.33333333","32.66666667","40.47619048","41.42857143","28.57142857","70"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00018","","","","30","30","1","1","8","1","4","29","34","42","10.1","1.9","56","2","3","5","2","1","0.12","12","68","0.297058824","0.045238095","76","2.620689655","2.533333333","1.172413793","1.133333333","0.413793103","0.4","1.931034483","1.866666667","44.73684211","17.64705882","96.66666667","0.157894737","11.22222222","13.33333333","62.22222222","75.55555556","11.6091954","13.79310345","64.36781609","78.16091954"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00019","","","","30","27","1","2","6","2","2","11","46","5","24.2","0.05","10.2","6","3","2","2","1","7.23","24.25","34.45","0.526086957","0.01","51","4.636363636","1.7","4.181818182","1.533333333","2.204545455","0.808333333","0.927272727","0.34","90.19607843","70.39187228","36.66666667","0.475490196","26.88888889","26.94444444","11.33333333","38.27777778","73.33333333","73.48484848","30.90909091","104.3939394"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00020","","","","30","30","3","4","7","1","2","25","84","86","24.3","0.62","9.2","9","3","7","2","1","0.15","24.92","34.12","0.289285714","0.007209302","170","6.8","5.666666667","3.36","2.8","0.9968","0.830666667","0.368","0.306666667","49.41176471","73.03634232","83.33333333","0.146588235","27","27.68888889","10.22222222","37.91111111","32.4","33.22666667","12.26666667","45.49333333"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00021","","","","30","21","2","2","8","1","2","12","0","0","0","0","6.1","","","","","","","0","6.1","","","0","0","0","0","0","0","0","0.508333333","0.203333333","","0","40","","0","0","6.777777778","6.777777778","0","0","16.94444444","16.94444444"
"","","UGP2014SER-PT02","","","","","","","","","UGP2014SER-PT02-00022","","","","30","26","1","2","8","1","1","17","28","13","17.2","0.4","39","2","3","5","1","1","0","17.6","56.6","0.614285714","0.030769231","41","2.411764706","1.366666667","1.647058824","0.933333333","1.035294118","0.586666667","2.294117647","1.3","68.29268293","31.09540636","56.66666667","0.429268293","19.11111111","19.55555556","43.33333333","62.88888889","33.7254902","34.50980392","76.47058824","110.9803922"
