"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00001","","","","20","12","2","2","7","1","2","5","6","4","2","0.08","3.5","6","2","3","4","3","11.03","2.08","5.58","0.333333333","0.02","10","2","0.5","1.2","0.3","0.416","0.104","0.7","0.175","60","37.27598566","25","3.333333333","3.466666667","5.833333333","9.3","0.208","13.33333333","13.86666667","23.33333333","37.2"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00002","","","","20","10","3","2","8","1","2","4","17","0","7.5","0","23","9","1","1","4","1","0","7.5","30.5","0.441176471","","17","4.25","0.85","4.25","0.85","1.875","0.375","5.75","1.15","100","24.59016393","20","12.5","12.5","38.33333333","50.83333333","0.441176471","62.5","62.5","191.6666667","254.1666667"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00003","","","","20","16","2","2","9","2","1","16","26","0","6.4","0","10","8","2","6","4","1","4.61","6.4","16.4","0.246153846","","26","1.625","1.3","1.625","1.3","0.4","0.32","0.625","0.5","100","39.02439024","80","10.66666667","10.66666667","16.66666667","27.33333333","0.246153846","13.33333333","13.33333333","20.83333333","34.16666667"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00004","","","","20","20","1","2","7","1","2","20","13","4","13","0.8","10","7","1","2","2","1","14.37","13.8","23.8","1","0.2","17","0.85","0.85","0.65","0.65","0.69","0.69","0.5","0.5","76.47058824","57.98319328","100","21.66666667","23","16.66666667","39.66666667","0.811764706","21.66666667","23","16.66666667","39.66666667"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00005","","","","20","10","2","2","7","1","2","10","0","6","0","0.06","3","3","8","3","1","1","4.92","0.06","3.06","","0.01","6","0.6","0.3","0","0","0.006","0.003","0.3","0.15","0","1.960784314","50","0","0.1","5","5.1","0.01","0","0.2","10","10.2"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00006","","","","20","10","2","2","8","1","1","10","22","14","4","","7.2","3","3","4","2","3","0","","","0.181818182","","36","3.6","1.8","2.2","1.1","","","0.72","0.36","61.11111111","","50","6.666666667","","12","","","13.33333333","","24",""
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00007","","","","20","14","1","2","8","1","2","8","25","10","13","0.3","23","2","1","1","6","1","0.12","13.3","36.3","0.52","0.03","35","4.375","1.75","3.125","1.25","1.6625","0.665","2.875","1.15","71.42857143","36.63911846","40","21.66666667","22.16666667","38.33333333","60.5","0.38","54.16666667","55.41666667","95.83333333","151.25"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00008","","","","20","14","3","2","8","1","2","8","20","0","7","0","8","2","1","4","8","3","0","7","15","0.35","","20","2.5","1","2.5","1","0.875","0.35","1","0.4","100","46.66666667","40","11.66666667","11.66666667","13.33333333","25","0.35","29.16666667","29.16666667","33.33333333","62.5"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00009","","","","20","7","2","2","7","1","2","4","0","0","0","0","","","","","","","","0","","","","0","0","0","0","0","0","0","","","","","20","0","0","","","","0","0","",""
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00010","","","","20","10","5","1","1","5","1","1","0","0","0","0","","","","","","","","0","","","","0","0","0","0","0","0","0","","","","","5","0","0","","","","0","0","",""
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00011","","","","20","14","2","2","8","2","2","7","19","2","9","0.06","37.2","9","1","1","4","1","0","9.06","46.26","0.473684211","0.03","21","3","1.05","2.714285714","0.95","1.294285714","0.453","5.314285714","1.86","90.47619048","19.5849546","35","15","15.1","62","77.1","0.431428571","42.85714286","43.14285714","177.1428571","220.2857143"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00012","","","","20","12","2","2","8","1","2","3","15","2","9.2","0.08","12","3","1","3","4","1","1.38","9.28","21.28","0.613333333","0.04","17","5.666666667","0.85","5","0.75","3.093333333","0.464","4","0.6","88.23529412","43.60902256","15","15.33333333","15.46666667","20","35.46666667","0.545882353","102.2222222","103.1111111","133.3333333","236.4444444"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00013","","","","20","10","1","2","4","1","2","10","13","7","12","0.5","12.4","5","1","6","4","1","0.12","12.5","24.9","0.923076923","0.071428571","20","2","1","1.3","0.65","1.25","0.625","1.24","0.62","65","50.20080321","50","20","20.83333333","20.66666667","41.5","0.625","40","41.66666667","41.33333333","83"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00014","","","","20","14","1","2","7","1","2","14","","1","19.8","0.02","14.5","7","1","3","2","1","1.17","19.82","34.32","","0.02","","","","","","1.415714286","0.991","1.035714286","0.725","","57.75058275","70","33","33.03333333","24.16666667","57.2","","47.14285714","47.19047619","34.52380952","81.71428571"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00015","","","","20","12","2","2","7","2","2","11","1","0","0.12","0","12","3","1","1","5","5","0.12","0.12","12.12","0.12","","1","0.090909091","0.05","0.090909091","0.05","0.010909091","0.006","1.090909091","0.6","100","0.99009901","55","0.2","0.2","20","20.2","0.12","0.363636364","0.363636364","36.36363636","36.72727273"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00016","","","","20","13","3","2","8","1","2","9","17","6","4","0.18","20","8","1","1","6","2","0.12","4.18","24.18","0.235294118","0.03","23","2.555555556","1.15","1.888888889","0.85","0.464444444","0.209","2.222222222","1","73.91304348","17.28701406","45","6.666666667","6.966666667","33.33333333","40.3","0.18173913","14.81481481","15.48148148","74.07407407","89.55555556"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00017","","","","20","12","2","3","8","2","2","7","15","4","9","0.04","17","2","1","1","6","1","0.12","9.04","26.04","0.6","0.01","19","2.714285714","0.95","2.142857143","0.75","1.291428571","0.452","2.428571429","0.85","78.94736842","34.71582181","35","15","15.06666667","28.33333333","43.4","0.475789474","42.85714286","43.04761905","80.95238095","124"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00018","","","","20","16","1","2","5","1","2","16","25","2","11.6","0.02","11","4","1","2","2","1","0.15","11.62","22.62","0.464","0.01","27","1.6875","1.35","1.5625","1.25","0.72625","0.581","0.6875","0.55","92.59259259","51.37046861","80","19.33333333","19.36666667","18.33333333","37.7","0.43037037","24.16666667","24.20833333","22.91666667","47.125"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00019","","","","20","13","2","2","7","1","2","5","6","0","1.2","0","12","8","1","4","6","5","1.76","1.2","13.2","0.2","","6","1.2","0.3","1.2","0.3","0.24","0.06","2.4","0.6","100","9.090909091","25","2","2","20","22","0.2","8","8","80","88"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00020","","","","20","20","2","2","8","1","2","20","30","4","6","0.02","3","8","2","3","2","1","0.12","6.02","9.02","0.2","0.005","34","1.7","1.7","1.5","1.5","0.301","0.301","0.15","0.15","88.23529412","66.7405765","100","10","10.03333333","5","15.03333333","0.177058824","10","10.03333333","5","15.03333333"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00021","","","","20","16","1","2","6","1","2","16","9","6","15","0.4","14","5","1","2","3","1","0.03","15.4","29.4","1.666666667","0.066666667","15","0.9375","0.75","0.5625","0.45","0.9625","0.77","0.875","0.7","60","52.38095238","80","25","25.66666667","23.33333333","49","1.026666667","31.25","32.08333333","29.16666667","61.25"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00022","","","","20","14","2","1","8","2","1","14","18","0","6","0","7","6","2","4","1","1","7.76","6","13","0.333333333","","18","1.285714286","0.9","1.285714286","0.9","0.428571429","0.3","0.5","0.35","100","46.15384615","70","10","10","11.66666667","21.66666667","0.333333333","14.28571429","14.28571429","16.66666667","30.95238095"
"","","UGP2016SER-ST01","","","","","","","","","UGP2016SER-ST01-00023","","","","20","10","1","1","8","1","1","10","0","28","0","0.5","12","3","7","3","2","1","0.02","0.5","12.5","","0.017857143","28","2.8","1.4","0","0","0.05","0.025","1.2","0.6","0","4","50","0","0.833333333","20","20.83333333","0.017857143","0","1.666666667","40","41.66666667"
