"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00012","","","","5","5","2","6","7","1","2","5","18","19","3","0.48","2.6","5","3","1","8","3","","3.96","3.48","6.08","0.166666667","0.025263158","37","7.4","7.4","3.6","3.6","0.696","0.696","0.52","0.52","48.64864865","57.23684211","100","0.094054054","20","23.2","17.33333333","40.53333333","20","23.2","17.33333333","40.53333333"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00013","","","","5","3","1","3","6","1","2","3","1","1","0.12","0.04","1.2","2","1","1","3","5","","5.46","0.16","1.36","0.12","0.04","2","0.666666667","0.4","0.333333333","0.2","0.053333333","0.032","0.4","0.24","50","11.76470588","60","0.08","0.8","1.066666667","8","9.066666667","1.333333333","1.777777778","13.33333333","15.11111111"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00014","","","","5","0","","","","","","0","0","0","0","0","0","","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00015","","","","5","4","2","5","7","1","2","4","4","2","0.88","0.06","3.6","2","1","1","9","3","","0","0.94","4.54","0.22","0.03","6","1.5","1.2","1","0.8","0.235","0.188","0.9","0.72","66.66666667","20.70484581","80","0.156666667","5.866666667","6.266666667","24","30.26666667","7.333333333","7.833333333","30","37.83333333"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00016","","","","5","3","2","4","5","1","2","3","2","6","0.16","0.12","0.6","2","1","1","3","7","","0.12","0.28","0.88","0.08","0.02","8","2.666666667","1.6","0.666666667","0.4","0.093333333","0.056","0.2","0.12","25","31.81818182","60","0.035","1.066666667","1.866666667","4","5.866666667","1.777777778","3.111111111","6.666666667","9.777777778"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00017","","","","5","3","2","4","5","1","2","2","1","0","0.08","0","0.7","5","","","3","7","","5.49","0.08","0.78","0.08","","1","0.5","0.2","0.5","0.2","0.04","0.016","0.35","0.14","100","10.25641026","40","0.08","0.533333333","0.533333333","4.666666667","5.2","1.333333333","1.333333333","11.66666667","13"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00018","","","","5","4","1","3","7","1","2","4","4","1","0.5","0.03","4","2","1","1","3","5","","4.61","0.53","4.53","0.125","0.03","5","1.25","1","1","0.8","0.1325","0.106","1","0.8","80","11.69977925","80","0.106","3.333333333","3.533333333","26.66666667","30.2","4.166666667","4.416666667","33.33333333","37.75"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00019","","","","5","2","1","2","6","2","3","1","1","1","0.16","0.04","0.6","2","1","1","4","5","","0.12","0.2","0.8","0.16","0.04","2","2","0.4","1","0.2","0.2","0.04","0.6","0.12","50","25","20","0.1","1.066666667","1.333333333","4","5.333333333","5.333333333","6.666666667","20","26.66666667"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00020","","","","5","1","1","2","5","1","1","1","1","2","0.12","0.08","1.6","2","1","1","9","7","","0.15","0.2","1.8","0.12","0.04","3","3","0.6","1","0.2","0.2","0.04","1.6","0.32","33.33333333","11.11111111","20","0.066666667","0.8","1.333333333","10.66666667","12","4","6.666666667","53.33333333","60"
"","","UGP2013NAM-OT04","","","","","","","","","UGP2013NAM-OT04-00021","","","","5","2","2","3","7","1","2","2","0","0","0","0","4","","","","","","","","0","4","","","0","0","0","0","0","0","0","2","0.8","","0","40","","0","0","26.66666667","26.66666667","0","0","66.66666667","66.66666667"
