"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00001","","","","10","7","2","2","6","1","2","6","9","1","0.8","","0.9","4","5","2","1","1","0","","","0.088888889","","10","1.666666667","1","1.5","0.9","","","0.15","0.09","90","","60","2.666666667","","3","","","4.444444444","","5",""
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00002","","","","10","5","2","3","6","1","2","4","7","3","0.7","","0.5","4","6","3","2","1","1.5","","","0.1","","10","2.5","1","1.75","0.7","","","0.125","0.05","70","","40","2.333333333","","1.666666667","","","5.833333333","","4.166666667",""
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00003","","","","10","10","3","3","6","1","2","9","0","3","0","","1.2","8","7","3","1","1","0","","","","","3","0.333333333","0.3","0","0","","","0.133333333","0.12","0","","90","0","","4","","","0","","4.444444444",""
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00004","","","","10","5","2","3","5","1","2","5","9","0","0.6","0","0.4","5","6","3","1","1","1.17","0.6","1","0.066666667","","9","1.8","0.9","1.8","0.9","0.12","0.06","0.08","0.04","100","60","50","2","2","1.333333333","3.333333333","0.066666667","4","4","2.666666667","6.666666667"
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00005","","","","10","10","3","4","6","1","2","5","12","5","0.6","","0.9","5","5","3","1","3","0","","","0.05","","17","3.4","1.7","2.4","1.2","","","0.18","0.09","70.58823529","","50","2","","3","","","4","","6",""
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00006","","","","10","10","3","2","6","2","1","8","10","4","0.6","0.1","1.1","4","5","4","1","1","0","0.7","1.8","0.06","0.025","14","1.75","1.4","1.25","1","0.0875","0.07","0.1375","0.11","71.42857143","38.88888889","80","2","2.333333333","3.666666667","6","0.05","2.5","2.916666667","4.583333333","7.5"
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00007","","","","10","10","3","2","6","2","2","4","3","0","0.4","0","0.6","4","5","4","1","1","0","0.4","1","0.133333333","","3","0.75","0.3","0.75","0.3","0.1","0.04","0.15","0.06","100","40","40","1.333333333","1.333333333","2","3.333333333","0.133333333","3.333333333","3.333333333","5","8.333333333"
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00008","","","","10","9","2","3","5","2","2","3","0","1","0","","0.2","4","9","3","1","1","0","","","","","1","0.333333333","0.1","0","0","","","0.066666667","0.02","0","","30","0","","0.666666667","","","0","","2.222222222",""
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00009","","","","10","10","4","5","7","1","2","9","27","8","4.8","0.2","3.4","8","1","3","1","1","0","5","8.4","0.177777778","0.025","35","3.888888889","3.5","3","2.7","0.555555556","0.5","0.377777778","0.34","77.14285714","59.52380952","90","16","16.66666667","11.33333333","28","0.142857143","17.77777778","18.51851852","12.59259259","31.11111111"
"","","UGP2016NAM-PT08","","","","","","","","","UGP2016NAM-PT08-00010","","","","10","7","3","2","6","1","2","4","0","0","0","0","1.4","","","","","","","0","1.4","","","0","0","0","0","0","0","0","0.35","0.14","","0","40","0","0","4.666666667","4.666666667","","0","0","11.66666667","11.66666667"
