"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00138","","","","16","16","2","2","7","1","1","9","16","12","2.7","0.4","2","6","5","3","3","0","3.1","5.1","28","0.16875","0.033333333","0.110714286","3.111111111","1.75","1.777777778","1","0.344444444","0.19375","0.222222222","0.125","57.14285714","60.78431373","56.25","5.625","6.458333333","4.166666667","10.625","10","11.48148148","7.407407407","18.88888889"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00139","","","","16","14","2","3","7","1","1","14","26","27","4","0.19","5","4","3","2","3","1.74","4.19","9.19","53","0.153846154","0.007037037","0.079056604","3.785714286","3.3125","1.857142857","1.625","0.299285714","0.261875","0.357142857","0.3125","49.05660377","45.59303591","87.5","8.333333333","8.729166667","10.41666667","19.14583333","9.523809524","9.976190476","11.9047619","21.88095238"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00140","","","","16","15","3","2","7","1","2","15","44","48","8","1","4.2","4","1","5","4","7.23","9","13.2","92","0.181818182","0.020833333","0.097826087","6.133333333","5.75","2.933333333","2.75","0.6","0.5625","0.28","0.2625","47.82608696","68.18181818","93.75","16.66666667","18.75","8.75","27.5","17.77777778","20","9.333333333","29.33333333"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00141","","","","16","14","3","3","6","1","1","14","40","32","5","0.68","4.4","5","4","5","3","7.23","5.68","10.08","72","0.125","0.02125","0.078888889","5.142857143","4.5","2.857142857","2.5","0.405714286","0.355","0.314285714","0.275","55.55555556","56.34920635","87.5","10.41666667","11.83333333","9.166666667","21","11.9047619","13.52380952","10.47619048","24"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00142","","","","16","15","3","3","7","1","1","15","44","18","9","0.67","5","2","7","7","3","0.69","9.67","14.67","62","0.204545455","0.037222222","0.155967742","4.133333333","3.875","2.933333333","2.75","0.644666667","0.604375","0.333333333","0.3125","70.96774194","65.91683708","93.75","18.75","20.14583333","10.41666667","30.5625","20","21.48888889","11.11111111","32.6"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00143","","","","16","16","3","3","9","1","1","14","63","25","14","0.64","10","4","1","2","2","7.76","14.64","24.64","88","0.222222222","0.0256","0.166363636","6.285714286","5.5","4.5","3.9375","1.045714286","0.915","0.714285714","0.625","71.59090909","59.41558442","87.5","29.16666667","30.5","20.83333333","51.33333333","33.33333333","34.85714286","23.80952381","58.66666667"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00144","","","","16","13","3","3","8","1","1","13","70","50","11","1","8","8","2","3","3","4.61","12","20","120","0.157142857","0.02","0.1","9.230769231","7.5","5.384615385","4.375","0.923076923","0.75","0.615384615","0.5","58.33333333","60","81.25","22.91666667","25","16.66666667","41.66666667","28.20512821","30.76923077","20.51282051","51.28205128"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00145","","","","16","14","1","3","8","1","1","14","45","17","14","0.75","12","4","1","2","3","12.39","14.75","26.75","62","0.311111111","0.044117647","0.237903226","4.428571429","3.875","3.214285714","2.8125","1.053571429","0.921875","0.857142857","0.75","72.58064516","55.14018692","87.5","29.16666667","30.72916667","25","55.72916667","33.33333333","35.11904762","28.57142857","63.69047619"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00146","","","","16","10","4","5","7","1","1","8","11","17","6.5","0.34","6.9","4","1","1","2","4.92","6.84","13.74","28","0.590909091","0.02","0.244285714","3.5","1.75","1.375","0.6875","0.855","0.4275","0.8625","0.43125","39.28571429","49.78165939","50","13.54166667","14.25","14.375","28.625","27.08333333","28.5","28.75","57.25"
"","","UGP2017NAM-PT04","","","","","","","","","UGP2017NAM-PT04-00147","","","","16","16","3","4","7","1","2","16","31","33","4.8","1.3","5","5","4","3","5","4.41","6.1","11.1","64","0.15483871","0.039393939","0.0953125","4","4","1.9375","1.9375","0.38125","0.38125","0.3125","0.3125","48.4375","54.95495495","100","10","12.70833333","10.41666667","23.125","10","12.70833333","10.41666667","23.125"
