"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|month 1|after planting|COMP:0000023","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Alternaria symptoms estimating 1-9|month 1|before harvest|COMP:0000022","Alternaria symptoms estimating 1-9|month 1|after planting|COMP:0000026","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Sprouting ability estimating 1-9|CO_331:0000277","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Average total storage root weight computation kg|CO_331:0002040","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00001","","","","30","15","7","8","8","2","2","1","0","2","0","0.08","0.08","8","9","9","1","1","0.12","0.08","0.16","","0.04","2","2","0.066666667","0","0","0.08","0.002666667","0.08","0.002666667","0","50","3.333333333","0.04","0","0.088888889","0.088888889","0.177777778","0","2.666666667","2.666666667","5.333333333"
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00002","","","","30","27","3","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00003","","","","30","20","2","3","3","1","1","7","9","3","0.54","0.1","2.9","8","9","5","1","1","0","0.64","3.54","0.06","0.033333333","12","1.714285714","0.4","1.285714286","0.3","0.091428571","0.021333333","0.414285714","0.096666667","75","18.07909605","23.33333333","0.053333333","0.6","0.711111111","3.222222222","3.933333333","2.571428571","3.047619048","13.80952381","16.85714286"
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00004","","","","30","1","2","","","1","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00005","","","","30","9","3","3","2","3","1","3","4","4","0.1","0.18","2.3","8","8","5","1","1","0","0.28","2.58","0.025","0.045","8","2.666666667","0.266666667","1.333333333","0.133333333","0.093333333","0.009333333","0.766666667","0.076666667","50","10.85271318","10","0.035","0.111111111","0.311111111","2.555555556","2.866666667","1.111111111","3.111111111","25.55555556","28.66666667"
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00006","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00007","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00008","","","","30","20","2","2","9","4","4","13","4","21","0.6","0.6","30","2","4","5","1","1","0.12","1.2","31.2","0.15","0.028571429","25","1.923076923","0.833333333","0.307692308","0.133333333","0.092307692","0.04","2.307692308","1","16","3.846153846","43.33333333","0.048","0.666666667","1.333333333","33.33333333","34.66666667","1.538461538","3.076923077","76.92307692","80"
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00009","","","","30","0","","","","","","0","0","0","0","0","0","","","","","","","0","0","","","0","","0","","0","","0","","0","","","0","","0","0","0","0","","","",""
"","","UGP2013KAC-PT01","","","","","","","","","UGP2013KAC-PT01-00010","","","","30","29","4","3","6","2","4","18","7","37","0.68","0.74","12","2","9","5","1","1","0.12","1.42","13.42","0.097142857","0.02","44","2.444444444","1.466666667","0.388888889","0.233333333","0.078888889","0.047333333","0.666666667","0.4","15.90909091","10.58122206","60","0.032272727","0.755555556","1.577777778","13.33333333","14.91111111","1.259259259","2.62962963","22.22222222","24.85185185"
