"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Content of fructose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001046","Content of glucose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001048","Harvest index computing percent|CO_331:0000302","Content of maltose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001052","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in boiled storage roots measuring percentage|CO_331:2000027","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Commercial storage root yield tons per ha|CO_331:0000809","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in boiled storage roots measuring g per 100g|CO_331:0001050","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00001","","","","7","14.73333333","2.466666667","2.7466869","5.938271","83.25791855","1.2966731","1","20","28","10","10","10","10","6","6","5","49.3585358","20.63020214","1","41.66666667","9.933333333","5","19.2640305","48","4.8","3.68","6","1","1","2.98","0.7","0.74","12.26666667","4.42","0.149","0.025","0.076666667","4.8","2","2","0.368","0.368","0.074","0.074","100","0.759191439","9.933333333","12.26666667","2.466666667","2.530638129","2.530638129","14.73333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00010","","","","1","12.46666667","4.6","","","63.10160428","","1","18","16","10","10","10","10","","","1","","","1","52.94117647","6","5","","34","3.4","2.36","8","1","1","1.8","0.56","1.38","7.866666667","3.74","0.1","0.035","0.069411765","3.4","1.8","1.8","0.236","0.236","0.138","0.138","100","","6","7.866666667","4.6","","","12.46666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00011","","","","1","9.4","2.466666667","1.237015","1.578301","73.75886525","2.878063","1","14","15","10","10","10","10","4","8","1","65.5265503","34.20895522","3","48.27586207","4.866666667","7","13.1192322","29","2.9","2.08","7","1","1","1.46","0.62","0.74","6.933333333","2.82","0.104285714","0.041333333","0.071724138","2.9","1.4","1.4","0.208","0.208","0.074","0.074","100","0.711546269","4.866666667","6.933333333","2.466666667","2.371820895","2.371820895","9.4"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00012","","","","1","6.2","1.666666667","","","73.11827957","","1","2","56","10","10","10","10","","","1","","","3","3.448275862","0.8","7","","58","5.8","1.36","7","1","1","0.24","1.12","0.5","4.533333333","1.86","0.12","0.02","0.023448276","5.8","0.2","0.2","0.136","0.136","0.05","0.05","100","","0.8","4.533333333","1.666666667","","","6.2"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00013","","","","1","1.666666667","1.333333333","","","20","","1","0","16","10","9","10","9","","","1","","","3","0","0","9","","16","1.777777778","0.1","6","1","1","0","0.1","0.4","0.333333333","0.5","","0.00625","0.00625","1.6","0","0","0.011111111","0.01","0.044444444","0.04","90","","0","0.37037037","1.481481481","","","1.851851852"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00014","","","","5","5.333333333","1.733333333","","","67.5","","1","5","21","10","10","10","10","","","1","","","1","19.23076923","1.733333333","7","","26","2.6","1.08","7","1","1","0.52","0.56","0.52","3.6","1.6","0.104","0.026666667","0.041538462","2.6","0.5","0.5","0.108","0.108","0.052","0.052","100","","1.733333333","3.6","1.733333333","","","5.333333333"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00015","","","","1","7.666666667","1.733333333","2.696125","6.467783","77.39130435","16.4010067","1","10","18","10","10","10","10","7","6","1","44.9792442","17.94564349","1","35.71428571","4.066666667","7","21.5544052","28","2.8","1.78","6","1","1","1.22","0.56","0.52","5.933333333","2.3","0.122","0.031111111","0.063571429","2.8","1","1","0.178","0.178","0.052","0.052","100","0.319432454","4.066666667","5.933333333","1.733333333","1.064774847","1.064774847","7.666666667"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00016","","","","1","4.933333333","2.133333333","","","56.75675676","","1","4","19","10","9","10","9","","","3","","","5","17.39130435","1.2","5","","23","2.555555556","0.84","7","1","1","0.36","0.48","0.64","2.8","1.48","0.09","0.025263158","0.036521739","2.3","0.444444444","0.4","0.093333333","0.084","0.071111111","0.064","90","","1.333333333","3.111111111","2.37037037","","","5.481481481"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00017","","","","3","10.2","4.133333333","2.6199341","4.1684952","59.47712418","8.0770493","1","7","49","10","10","10","10","5","4","1","49.9760323","27.93296089","1","12.5","2.333333333","7","17.162468","56","5.6","1.82","9","1","1","0.7","1.12","1.24","6.066666667","3.06","0.1","0.022857143","0.0325","5.6","0.7","0.7","0.182","0.182","0.124","0.124","100","0.508379888","2.333333333","6.066666667","4.133333333","1.694599627","1.694599627","10.2"
"","","GHP2018WAG-PT01","","","","","","","","","GHP2018WAG-PT01-00018","","","","3","16.2","3.333333333","2.1634481","4.383337","79.42386831","1.905193","1","21","35","10","10","10","10","6","4","1","53.3727646","27.5780324","3","37.5","9","5","16.7396545","56","5.6","3.86","7","1","1","2.7","1.16","1","12.86666667","4.86","0.128571429","0.033142857","0.068928571","5.6","2.1","2.1","0.386","0.386","0.1","0.1","100","1.064512051","9","12.86666667","3.333333333","3.548373502","3.548373502","16.2"
