"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00019","","","","5","28","34","33","45","32","4","3","3","3","8","6","2","11.5","8","19.5","62","0.214285714","0.058823529","0.129032258","1.878787879","1.377777778","0.848484848","0.622222222","0.242424242","0.177777778","0.348484848","0.255555556","45.16129032","41.02564103","73.33333333","4.444444444","6.060606061","5.925925926","8.080808081","8.518518519","11.61616162","14.44444444","19.6969697"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00002","","","","5","58","24","41","45","41","5","4","4","4","5","17","1.4","10","18.4","28.4","82","0.293103448","0.058333333","0.224390244","2","1.822222222","1.414634146","1.288888889","0.448780488","0.408888889","0.243902439","0.222222222","70.73170732","64.78873239","91.11111111","12.59259259","13.82113821","13.62962963","14.95934959","7.407407407","8.130081301","21.03703704","23.08943089"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00020","","","","4","24","65","40","45","39","4","3","2","7","7","4.1","2.8","16.2","6.9","23.1","89","0.170833333","0.043076923","0.07752809","2.225","1.977777778","0.6","0.533333333","0.1725","0.153333333","0.405","0.36","26.96629213","29.87012987","88.88888889","3.037037037","3.416666667","5.111111111","5.75","12","13.5","17.11111111","19.25"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00021","","","","4","67","66","39","45","39","3","4","4","6","5","17.1","3.9","9.2","21","30.2","133","0.255223881","0.059090909","0.157894737","3.41025641","2.955555556","1.717948718","1.488888889","0.538461538","0.466666667","0.235897436","0.204444444","50.37593985","69.53642384","86.66666667","12.66666667","14.61538462","15.55555556","17.94871795","6.814814815","7.863247863","22.37037037","25.81196581"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00022","","","","5","106","37","41","45","41","4","4","4","8","4","25.7","2.3","34.7","28","62.7","143","0.24245283","0.062162162","0.195804196","3.487804878","3.177777778","2.585365854","2.355555556","0.682926829","0.622222222","0.846341463","0.771111111","74.12587413","44.65709729","91.11111111","19.03703704","20.89430894","20.74074074","22.76422764","25.7037037","28.21138211","46.44444444","50.97560976"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00023","","","","4","72","67","40","45","40","4","4","3","3","6","14.8","2.9","20","17.7","37.7","139","0.205555556","0.043283582","0.127338129","3.475","3.088888889","1.8","1.6","0.4425","0.393333333","0.5","0.444444444","51.79856115","46.94960212","88.88888889","10.96296296","12.33333333","13.11111111","14.75","14.81481481","16.66666667","27.92592593","31.41666667"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00024","","","","5","26","24","26","45","23","4","3","3","8","3","4.8","1.4","38.4","6.2","44.6","50","0.184615385","0.058333333","0.124","1.923076923","1.111111111","1","0.577777778","0.238461538","0.137777778","1.476923077","0.853333333","52","13.90134529","57.77777778","3.555555556","6.153846154","4.592592593","7.948717949","28.44444444","49.23076923","33.03703704","57.17948718"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00025","","","","4","0","3","20","45","2","4","2","2","9","4","0","0.1","33.2","0.1","33.3","3","","0.033333333","0.033333333","0.15","0.066666667","0","0","0.005","0.002222222","1.66","0.737777778","0","0.3003003","44.44444444","0","0","0.074074074","0.166666667","24.59259259","55.33333333","24.66666667","55.5"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00026","","","","5","40","22","33","45","31","4","3","3","3","8","5.4","1","4.2","6.4","10.6","62","0.135","0.045454545","0.103225806","1.878787879","1.377777778","1.212121212","0.888888889","0.193939394","0.142222222","0.127272727","0.093333333","64.51612903","60.37735849","73.33333333","4","5.454545455","4.740740741","6.464646465","3.111111111","4.242424242","7.851851852","10.70707071"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00003","","","","5","27","43","37","45","34","5","3","3","4","8","5.1","1.4","7.5","6.5","14","70","0.188888889","0.03255814","0.092857143","1.891891892","1.555555556","0.72972973","0.6","0.175675676","0.144444444","0.202702703","0.166666667","38.57142857","46.42857143","82.22222222","3.777777778","4.594594595","4.814814815","5.855855856","5.555555556","6.756756757","10.37037037","12.61261261"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00004","","","","5","61","32","35","45","34","3","4","4","6","5","12.1","1.6","4.3","13.7","18","93","0.198360656","0.05","0.147311828","2.657142857","2.066666667","1.742857143","1.355555556","0.391428571","0.304444444","0.122857143","0.095555556","65.59139785","76.11111111","77.77777778","8.962962963","11.52380952","10.14814815","13.04761905","3.185185185","4.095238095","13.33333333","17.14285714"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00005","","","","5","33","108","39","45","37","4","3","2","7","5","4.2","3.2","18.8","7.4","26.2","141","0.127272727","0.02962963","0.05248227","3.615384615","3.133333333","0.846153846","0.733333333","0.18974359","0.164444444","0.482051282","0.417777778","23.40425532","28.24427481","86.66666667","3.111111111","3.58974359","5.481481481","6.324786325","13.92592593","16.06837607","19.40740741","22.39316239"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00006","","","","3","96","25","42","45","42","4","5","4","3","8","24.1","1.4","15.2","25.5","40.7","121","0.251041667","0.056","0.210743802","2.880952381","2.688888889","2.285714286","2.133333333","0.607142857","0.566666667","0.361904762","0.337777778","79.33884298","62.65356265","93.33333333","17.85185185","19.12698413","18.88888889","20.23809524","11.25925926","12.06349206","30.14814815","32.3015873"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00007","","","","4","110","40","41","45","41","4","4","5","8","4","24.5","2.9","20.6","27.4","48","150","0.222727273","0.0725","0.182666667","3.658536585","3.333333333","2.682926829","2.444444444","0.668292683","0.608888889","0.502439024","0.457777778","73.33333333","57.08333333","91.11111111","18.14814815","19.91869919","20.2962963","22.27642276","15.25925926","16.74796748","35.55555556","39.02439024"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00008","","","","4","21","28","31","45","27","3","3","3","7","6","3.9","1.4","11.9","5.3","17.2","49","0.185714286","0.05","0.108163265","1.580645161","1.088888889","0.677419355","0.466666667","0.170967742","0.117777778","0.383870968","0.264444444","42.85714286","30.81395349","68.88888889","2.888888889","4.193548387","3.925925926","5.698924731","8.814814815","12.79569892","12.74074074","18.49462366"
"","","GHP2010PKS-AT02","","","","","","","","","GHP2010PKS-AT02-00009","","","","3","6","18","33","45","14","4","2","2","9","3","1.1","1.2","33.6","2.3","35.9","24","0.183333333","0.066666667","0.095833333","0.727272727","0.533333333","0.181818182","0.133333333","0.06969697","0.051111111","1.018181818","0.746666667","25","6.406685237","73.33333333","0.814814815","1.111111111","1.703703704","2.323232323","24.88888889","33.93939394","26.59259259","36.26262626"
