"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00019","","","","5","37.8","16.73333333","55.7319224","1","21","10","5","5","10","5","5","3","67.74193548","1","19.33333333","50","31","6.2","6.32","8","2","1","5.8","0.52","5.02","21.06666667","11.34","0.276190476","0.052","0.203870968","3.1","4.2","2.1","1.264","0.632","1.004","0.502","38.66666667","42.13333333","33.46666667","75.6"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00002","","","","3","19.73333333","11.2","43.24324324","1","14","3","8","7","10","7","1","3","82.35294118","3","8.066666667","70","17","2.428571429","2.56","6","2","1","2.42","0.14","3.36","8.533333333","5.92","0.172857143","0.046666667","0.150588235","1.7","2","1.4","0.365714286","0.256","0.48","0.336","11.52380952","12.19047619","16","28.19047619"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00020","","","","5","39.73333333","21.06666667","46.97986577","1","27","37","9","9","10","9","1","1","42.1875","3","14","90","64","7.111111111","5.6","8","1","2","4.2","1.4","6.32","18.66666667","11.92","0.155555556","0.037837838","0.0875","6.4","3","2.7","0.622222222","0.56","0.702222222","0.632","15.55555556","20.74074074","23.40740741","44.14814815"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00021","","","","3","43.73333333","22.66666667","48.17073171","6","12","10","10","10","10","10","1","1","54.54545455","3","19.46666667","100","22","2.2","6.32","6","1","1","5.84","0.48","6.8","21.06666667","13.12","0.486666667","0.048","0.287272727","2.2","1.2","1.2","0.632","0.632","0.68","0.68","19.46666667","21.06666667","22.66666667","43.73333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00022","","","","1","26.66666667","16.66666667","37.5","1","16","11","5","5","10","5","3","1","59.25925926","5","8.533333333","50","27","5.4","3","6","1","1","2.56","0.44","5","10","8","0.16","0.04","0.111111111","2.7","3.2","1.6","0.6","0.3","1","0.5","17.06666667","20","33.33333333","53.33333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00023","","","","1","5.333333333","4.4","17.5","1","1","5","2","2","10","1","1","1","16.66666667","9","0.4","20","6","3","0.28","8","1","1","0.12","0.16","1.32","0.933333333","1.6","0.12","0.032","0.046666667","0.6","0.5","0.1","0.14","0.028","0.66","0.132","2","4.666666667","22","26.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00024","","","","1","29.13333333","17.13333333","41.18993135","3","21","4","7","7","10","7","1","1","84","3","11.53333333","70","25","3.571428571","3.6","6","2","1","3.46","0.14","5.14","12","8.74","0.164761905","0.035","0.144","2.5","3","2.1","0.514285714","0.36","0.734285714","0.514","16.47619048","17.14285714","24.47619048","41.61904762"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00025","","","","7","39.93333333","16.86666667","57.76293823","1","23","21","8","8","10","8","1","1","52.27272727","3","15.2","80","44","5.5","6.92","6","1","1","4.56","2.36","5.06","23.06666667","11.98","0.19826087","0.112380952","0.157272727","4.4","2.875","2.3","0.865","0.692","0.6325","0.506","19","28.83333333","21.08333333","49.91666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00026","","","","5","36.66666667","17.13333333","53.27272727","1","34","37","9","9","10","9","1","3","47.88732394","5","15.86666667","90","71","7.888888889","5.86","6","1","1","4.76","1.1","5.14","19.53333333","11","0.14","0.02972973","0.082535211","7.1","3.777777778","3.4","0.651111111","0.586","0.571111111","0.514","17.62962963","21.7037037","19.03703704","40.74074074"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00027","","","","5","26.53333333","11.6","56.28140704","1","29","24","9","9","10","9","1","1","54.71698113","3","11.86666667","90","53","5.888888889","4.48","6","1","1","3.56","0.92","3.48","14.93333333","7.96","0.122758621","0.038333333","0.084528302","5.3","3.222222222","2.9","0.497777778","0.448","0.386666667","0.348","13.18518519","16.59259259","12.88888889","29.48148148"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00028","","","","5","48.53333333","10.8","77.74725275","3","50","45","10","10","10","10","7","1","52.63157895","3","33.86666667","100","95","9.5","11.32","6","1","1","10.16","1.16","3.24","37.73333333","14.56","0.2032","0.025777778","0.119157895","9.5","5","5","1.132","1.132","0.324","0.324","33.86666667","37.73333333","10.8","48.53333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00029","","","","1","22.33333333","11.73333333","47.46268657","1","21","8","10","9","10","8","1","3","72.4137931","5","9.666666667","90","29","3.222222222","3.18","6","1","1","2.9","0.28","3.52","10.6","6.7","0.138095238","0.035","0.109655172","2.9","2.333333333","2.1","0.353333333","0.318","0.391111111","0.352","10.74074074","11.77777778","13.03703704","24.81481481"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00003","","","","5","25.66666667","11.6","54.80519481","1","16","10","5","5","10","5","1","3","61.53846154","3","12.66666667","50","26","5.2","4.22","7","1","1","3.8","0.42","3.48","14.06666667","7.7","0.2375","0.042","0.162307692","2.6","3.2","1.6","0.844","0.422","0.696","0.348","25.33333333","28.13333333","23.2","51.33333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00030","","","","1","31.86666667","11.6","63.59832636","3","34","9","8","8","10","8","1","3","79.06976744","3","19.06666667","80","43","5.375","6.08","6","1","1","5.72","0.36","3.48","20.26666667","9.56","0.168235294","0.04","0.141395349","4.3","4.25","3.4","0.76","0.608","0.435","0.348","23.83333333","25.33333333","14.5","39.83333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00031","","","","5","29","14.6","49.65517241","1","25","31","9","9","10","9","1","3","44.64285714","3","11.33333333","90","56","6.222222222","4.32","7","1","1","3.4","0.92","4.38","14.4","8.7","0.136","0.029677419","0.077142857","5.6","2.777777778","2.5","0.48","0.432","0.486666667","0.438","12.59259259","16","16.22222222","32.22222222"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00032","","","","3","24","7.266666667","69.72222222","1","23","22","7","7","10","7","1","5","51.11111111","3","14.53333333","70","45","6.428571429","5.02","6","2","1","4.36","0.66","2.18","16.73333333","7.2","0.189565217","0.03","0.111555556","4.5","3.285714286","2.3","0.717142857","0.502","0.311428571","0.218","20.76190476","23.9047619","10.38095238","34.28571429"
