"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Biomass yield in tons per ha|CO_331:0001003","Total foliage yield in tons per ha|CO_331:0000684","Harvest index computing percent|CO_331:0000302","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Percentage of commercial storage root|CO_331:0000682","Storage root size estimating 1-9|CO_331:0000184","Commercial storage root yield tons per ha|CO_331:0000809","Survival index computing percent|CO_331:0000301","Number of storage roots after harvest per NET plot|CO_331:0000233","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Total storage root weight per NET plot in kg|CO_331:0000237","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage roots yield computation tons per ha|CO_331:0000296","Biomass yield in kg per plot|CO_331:0000683","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00050","","","","3","21.46666667","13.06666667","39.13043478","1","21","24","9","9","10","9","","1","46.66666667","5","7.4","90","45","5","2.52","6","1","1","2.22","0.3","3.92","8.4","6.44","0.105714286","0.0125","0.056","4.5","2.333333333","2.1","0.28","0.252","0.435555556","0.392","8.222222222","9.333333333","14.51851852","23.85185185"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00051","","","","3","14.33333333","5.133333333","64.18604651","1","16","15","7","7","10","7","1","1","51.61290323","3","7.4","70","31","4.428571429","2.76","6","1","1","2.22","0.54","1.54","9.2","4.3","0.13875","0.036","0.089032258","3.1","2.285714286","1.6","0.394285714","0.276","0.22","0.154","10.57142857","13.14285714","7.333333333","20.47619048"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00052","","","","3","26.13333333","14.86666667","43.1122449","1","20","13","10","9","10","9","1","1","60.60606061","3","9.2","90","33","3.666666667","3.38","7","1","1","2.76","0.62","4.46","11.26666667","7.84","0.138","0.047692308","0.102424242","3.3","2.222222222","2","0.375555556","0.338","0.495555556","0.446","10.22222222","12.51851852","16.51851852","29.03703704"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00053","","","","3","34.06666667","14.13333333","58.51272016","1","26","45","10","10","10","10","1","1","36.61971831","3","15.06666667","100","71","7.1","5.98","7","1","1","4.52","1.46","4.24","19.93333333","10.22","0.173846154","0.032444444","0.084225352","7.1","2.6","2.6","0.598","0.598","0.424","0.424","15.06666667","19.93333333","14.13333333","34.06666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00054","","","","3","33.4","10.8","67.66467066","3","38","16","9","9","10","9","","1","70.37037037","3","20.4","90","54","6","6.78","6","2","1","6.12","0.66","3.24","22.6","10.02","0.161052632","0.04125","0.125555556","5.4","4.222222222","3.8","0.753333333","0.678","0.36","0.324","22.66666667","25.11111111","12","37.11111111"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00055","","","","5","35.46666667","15.2","57.14285714","1","25","10","7","7","10","7","1","1","71.42857143","3","19.46666667","70","35","5","6.08","7","1","1","5.84","0.24","4.56","20.26666667","10.64","0.2336","0.024","0.173714286","3.5","3.571428571","2.5","0.868571429","0.608","0.651428571","0.456","27.80952381","28.95238095","21.71428571","50.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00056","","","","3","19.53333333","9.933333333","49.14675768","1","12","3","2","2","10","2","","1","80","3","7.6","20","15","7.5","2.88","6","1","1","2.28","0.6","2.98","9.6","5.86","0.19","0.2","0.192","1.5","6","1.2","1.44","0.288","1.49","0.298","38","48","49.66666667","97.66666667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00057","","","","3","31.13333333","14.86666667","52.248394","1","16","5","9","9","10","7","5","1","76.19047619","3","14.26666667","90","21","2.333333333","4.88","7","1","1","4.28","0.6","4.46","16.26666667","9.34","0.2675","0.12","0.232380952","2.1","1.777777778","1.6","0.542222222","0.488","0.495555556","0.446","15.85185185","18.07407407","16.51851852","34.59259259"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00058","","","","5","26.46666667","10.4","60.70528967","1","20","22","8","8","10","8","1","5","47.61904762","3","13.66666667","80","42","5.25","4.82","6","1","1","4.1","0.72","3.12","16.06666667","7.94","0.205","0.032727273","0.114761905","4.2","2.5","2","0.6025","0.482","0.39","0.312","17.08333333","20.08333333","13","33.08333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00059","","","","1","14.93333333","9.666666667","35.26785714","1","8","9","10","6","10","6","1","1","47.05882353","3","4.2","60","17","2.833333333","1.58","6","2","1","1.26","0.32","2.9","5.266666667","4.48","0.1575","0.035555556","0.092941176","1.7","1.333333333","0.8","0.263333333","0.158","0.483333333","0.29","7","8.777777778","16.11111111","24.88888889"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00006","","","","3","37.93333333","11.4","69.94727592","1","44","20","10","10","10","10","1","1","68.75","3","24.4","100","64","6.4","7.96","6","1","1","7.32","0.64","3.42","26.53333333","11.38","0.166363636","0.032","0.124375","6.4","4.4","4.4","0.796","0.796","0.342","0.342","24.4","26.53333333","11.4","37.93333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00060","","","","1","22.33333333","10.53333333","52.8358209","1","13","7","3","3","10","3","1","5","65","3","10.8","30","20","6.666666667","3.54","6","1","2","3.24","0.3","3.16","11.8","6.7","0.249230769","0.042857143","0.177","2","4.333333333","1.3","1.18","0.354","1.053333333","0.316","36","39.33333333","35.11111111","74.44444444"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00061","","","","3","28.13333333","14.26666667","49.28909953","1","17","13","7","7","10","7","1","3","56.66666667","3","11.93333333","70","30","4.285714286","4.16","7","2","1","3.58","0.58","4.28","13.86666667","8.44","0.210588235","0.044615385","0.138666667","3","2.428571429","1.7","0.594285714","0.416","0.611428571","0.428","17.04761905","19.80952381","20.38095238","40.19047619"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00062","","","","3","18.33333333","5.866666667","68","3","16","12","4","4","10","4","3","1","57.14285714","3","11.13333333","40","28","7","3.74","6","1","1","3.34","0.4","1.76","12.46666667","5.5","0.20875","0.033333333","0.133571429","2.8","4","1.6","0.935","0.374","0.44","0.176","27.83333333","31.16666667","14.66666667","45.83333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00063","","","","5","27.26666667","12.06666667","55.74572127","3","18","17","8","8","10","8","1","3","51.42857143","3","11","80","35","4.375","4.56","6","2","1","3.3","1.26","3.62","15.2","8.18","0.183333333","0.074117647","0.130285714","3.5","2.25","1.8","0.57","0.456","0.4525","0.362","13.75","19","15.08333333","34.08333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00064","","","","3","31.43333333","14.53333333","53.76458112","3","27","18","8","8","10","8","1","3","60","3","13.5","80","45","5.625","5.07","7","1","1","4.05","1.02","4.36","16.9","9.43","0.15","0.056666667","0.112666667","4.5","3.375","2.7","0.63375","0.507","0.545","0.436","16.875","21.125","18.16666667","39.29166667"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00007","","","","1","35.4","11.93333333","66.29001883","1","33","15","7","7","10","7","1","1","68.75","3","22.06666667","70","48","6.857142857","7.04","6","1","1","6.62","0.42","3.58","23.46666667","10.62","0.200606061","0.028","0.146666667","4.8","4.714285714","3.3","1.005714286","0.704","0.511428571","0.358","31.52380952","33.52380952","17.04761905","50.57142857"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00008","","","","1","18.46666667","12.33333333","33.21299639","1","10","9","5","5","10","5","1","3","52.63157895","5","5.266666667","50","19","3.8","1.84","7","3","1","1.58","0.26","3.7","6.133333333","5.54","0.158","0.028888889","0.096842105","1.9","2","1","0.368","0.184","0.74","0.37","10.53333333","12.26666667","24.66666667","36.93333333"
"","","GHP2018BWK-PT01","","","","","","","","","GHP2018BWK-PT01-00009","","","","1","24.73333333","11.33333333","54.17789757","1","15","0","8","5","10","5","5","7","100","3","13.4","50","15","3","4.02","6","2","1","4.02","0","3.4","13.4","7.42","0.268","","0.268","1.5","3","1.5","0.804","0.402","0.68","0.34","26.8","26.8","22.66666667","49.46666667"
