"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00001","","","","4","2.726376057","1.558791995","11.5","50.5","6.444427013","9.599634171","4","27","66","29","25","30","25","8","5","6.964865208","1","42.89076996","3","22.77227723","7","7","15.8222599","6","4","5","3.8","1.7","5.8","5.5","11.3","93","0.140740741","0.025757576","0.059139785","3.72","3.1","1.08","0.9","0.22","0.183333333","0.232","0.193333333","29.03225806","48.67256637","83.33333333","1.252475248","4.222222222","5.066666667","6.111111111","7.333333333","6.444444444","7.733333333","1.391639164","1.669966997","12.55555556","15.06666667"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00010","","","","4","2.687915087","1.706851959","13.5","50.7","6.040369987","9.696666718","4","22","60","30","20","30","20","8","5","6.800434113","1","49.49866104","3","26.62721893","6","7","11.5382967","6","3","4","2.4","2.4","6","4.8","10.8","82","0.109090909","0.04","0.058536585","4.1","2.733333333","1.1","0.733333333","0.24","0.16","0.3","0.2","26.82926829","44.44444444","66.66666667","1.278106509","2.666666667","4","5.333333333","8","6.666666667","10","1.420118343","2.130177515","12","18"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00011","","","","3","2.059598923","1.238302946","22.3","50.4","1.309280038","3.082879066","3","37","54","30","25","30","25","2","6","4.684340954","1","71.74575043","3","44.24603175","5","6","2.005681038","6","3","4","3.5","1.8","6","5.3","11.3","91","0.094594595","0.033333333","0.058241758","3.64","3.033333333","1.48","1.233333333","0.212","0.176666667","0.24","0.2","40.65934066","46.90265487","83.33333333","2.345039683","3.888888889","4.666666667","5.888888889","7.066666667","6.666666667","8","2.605599647","3.126719577","12.55555556","15.06666667"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00012","","","","3","2.240303993","1.164512038","19.6","50.3","2.650295973","4.623383045","3","15","20","20","13","30","13","9","9","7.312464237","1","63.85639572","2","38.96620278","6","7","4.867369175","4","5","5","2","0.6","6.5","2.6","9.1","35","0.133333333","0.03","0.074285714","2.692307692","1.166666667","1.153846154","0.5","0.2","0.086666667","0.5","0.216666667","42.85714286","28.57142857","43.33333333","1.013121272","2.222222222","5.128205128","2.888888889","6.666666667","7.222222222","16.66666667","1.125690303","2.597746852","10.11111111","23.33333333"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00013","","","","1","","","","","","","3","0","1","30","30","30","1","1","","","1","","","","3","3","","7","3","4","0","0.1","18.5","0.1","18.6","1","","0.1","0.1","0.033333333","0.033333333","0","0","0.003333333","0.003333333","0.616666667","0.616666667","0","0.537634409","100","","0","0","0.111111111","0.111111111","20.55555556","20.55555556","","","20.66666667","20.66666667"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00014","","","","3","1.976631045","1.20441699","18.5","50.6","1.345064044","2.643187046","3","10","66","29","22","30","22","8","7","5.865856171","1","63.66907883","8","36.56126482","5","6","9.337225914","6","3","5","1.3","2.7","3.8","4","7.8","76","0.13","0.040909091","0.052631579","3.454545455","2.533333333","0.454545455","0.333333333","0.181818182","0.133333333","0.172727273","0.126666667","13.15789474","51.28205128","73.33333333","1.462450593","1.444444444","1.96969697","4.444444444","6.060606061","4.222222222","5.757575758","1.624945103","2.215834232","8.666666667","11.81818182"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00015","","","","3","1.776147962","0.953063011","20.8","50.8","1.818290949","3.714344025","4","16","13","21","13","30","10","9","9","5.580184937","1","67.28645325","2","40.94488189","5","6","4.322783947","3","5","7","1.9","0.5","4","2.4","6.4","29","0.11875","0.038461538","0.082758621","2.230769231","0.966666667","1.230769231","0.533333333","0.184615385","0.08","0.307692308","0.133333333","55.17241379","37.5","43.33333333","0.982677165","2.111111111","4.871794872","2.666666667","6.153846154","4.444444444","10.25641026","1.091863517","2.519685039","7.111111111","16.41025641"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00016","","","","4","2.09612608","1.355149984","17.1","50.8","1.396217942","2.683264017","4","41","114","30","30","30","30","8","7","6.918502808","1","59.58248901","8","33.66141732","5","6","10.44404984","7","1","3","4.5","3.6","5.5","8.1","13.6","155","0.109756098","0.031578947","0.052258065","5.166666667","5.166666667","1.366666667","1.366666667","0.27","0.27","0.183333333","0.183333333","26.4516129","59.55882353","100","2.726574803","5","5","9","9","6.111111111","6.111111111","3.029527559","3.029527559","15.11111111","15.11111111"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00017","","","","4","2.502737045","1.555470943","12.4","50.3","6.262098789","9.93855381","4","35","64","28","22","30","21","8","5","5.398725986","1","46.75162506","3","24.65208748","5","6","15.36876106","4","3","5","3.9","2.3","6.1","6.2","12.3","99","0.111428571","0.0359375","0.062626263","4.5","3.3","1.590909091","1.166666667","0.281818182","0.206666667","0.277272727","0.203333333","35.35353535","50.40650407","73.33333333","1.528429423","4.333333333","5.909090909","6.888888889","9.393939394","6.777777778","9.242424242","1.698254915","2.315802157","13.66666667","18.63636364"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00018","","","","1","","","","","","","3","0","6","30","30","30","1","1","","","1","","","","3","4","","6","4","4","0","0.2","14","0.2","14.2","6","","0.033333333","0.033333333","0.2","0.2","0","0","0.006666667","0.006666667","0.466666667","0.466666667","0","1.408450704","100","","0","0","0.222222222","0.222222222","15.55555556","15.55555556","","","15.77777778","15.77777778"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00019","","","","3","1.696684957","1.158555984","19.3","50.5","1.684723973","3.424596071","3","28","50","30","30","30","29","6","2","4.232625961","1","69.16632843","5","38.21782178","5","6","3.973004103","7","1","3","2.1","1.3","9","3.4","12.4","78","0.075","0.026","0.043589744","2.6","2.6","0.933333333","0.933333333","0.113333333","0.113333333","0.3","0.3","35.8974359","27.41935484","100","1.299405941","2.333333333","2.333333333","3.777777778","3.777777778","10","10","1.443784378","1.443784378","13.77777778","13.77777778"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00002","","","","3","2.241317034","1.345690012","17.9","50.2","1.728525996","3.429255962","3","55","85","30","30","30","29","8","7","7.450897217","1","61.48085403","8","35.65737052","6","7","7.683777809","7","1","3","4.6","2.7","5","7.3","12.3","140","0.083636364","0.031764706","0.052142857","4.666666667","4.666666667","1.833333333","1.833333333","0.243333333","0.243333333","0.166666667","0.166666667","39.28571429","59.3495935","100","2.602988048","5.111111111","5.111111111","8.111111111","8.111111111","5.555555556","5.555555556","2.892208942","2.892208942","13.66666667","13.66666667"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00020","","","","2","","","","","","","3","4","42","30","27","30","25","2","","","1","","","","3","4","","6","1","4","0.3","1.1","13.4","1.4","14.8","46","0.075","0.026190476","0.030434783","1.703703704","1.533333333","0.148148148","0.133333333","0.051851852","0.046666667","0.496296296","0.446666667","8.695652174","9.459459459","90","","0.333333333","0.37037037","1.555555556","1.728395062","14.88888889","16.54320988","","","16.44444444","18.27160494"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00021","","","","3","2.071691036","1.213307977","21.2","50.1","1.45915401","3.047887087","3","40","49","30","28","30","28","2","6","5.119403839","1","68.55961609","3","42.31536926","7","7","3.989088058","7","3","3","5.2","2.1","8","7.3","15.3","89","0.13","0.042857143","0.082022472","3.178571429","2.966666667","1.428571429","1.333333333","0.260714286","0.243333333","0.285714286","0.266666667","44.94382022","47.7124183","93.33333333","3.089021956","5.777777778","6.19047619","8.111111111","8.69047619","8.888888889","9.523809524","3.432246618","3.677407091","17","18.21428571"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00003","","","","2","","","","","","","3","0","29","30","26","30","6","2","","","1","","","","3","4","","6","3","4","0","0.8","5.5","0.8","6.3","29","","0.027586207","0.027586207","1.115384615","0.966666667","0","0","0.030769231","0.026666667","0.211538462","0.183333333","0","12.6984127","86.66666667","","0","0","0.888888889","1.025641026","6.111111111","7.051282051","","","7","8.076923077"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00004","","","","3","1.961609006","1.048324943","21","51","1.484210014","3.203896999","3","22","35","30","23","30","23","9","9","5.090838909","1","65.4643631","2","41.17647059","6","7","4.837128162","4","5","5","2.7","1.5","2.7","4.2","6.9","57","0.122727273","0.042857143","0.073684211","2.47826087","1.9","0.956521739","0.733333333","0.182608696","0.14","0.117391304","0.09","38.59649123","60.86956522","76.66666667","1.729411765","3","3.913043478","4.666666667","6.086956522","3","3.913043478","1.921568627","2.506393862","7.666666667","10"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00005","","","","3","1.768239021","1.099521041","20","50.4","2.524820089","4.19302702","3","44","41","30","27","30","26","2","6","4.809830189","1","68.21982574","3","39.68253968","5","6","3.220472097","6","3","3","4","1.3","6.2","5.3","11.5","85","0.090909091","0.031707317","0.062352941","3.148148148","2.833333333","1.62962963","1.466666667","0.196296296","0.176666667","0.22962963","0.206666667","51.76470588","46.08695652","90","2.103174603","4.444444444","4.938271605","5.888888889","6.543209877","6.888888889","7.654320988","2.33686067","2.596511856","12.77777778","14.19753086"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00006","","","","3","1.957726002","1.301637053","17.3","50.7","2.264359951","3.963370085","3","20","42","29","29","30","25","6","2","5.002358913","1","64.32025146","5","34.12228797","6","7","6.638323784","8","1","1","3.4","1.9","13.4","5.3","18.7","62","0.17","0.045238095","0.085483871","2.137931034","2.066666667","0.689655172","0.666666667","0.182758621","0.176666667","0.462068966","0.446666667","32.25806452","28.34224599","96.66666667","1.808481262","3.777777778","3.908045977","5.888888889","6.091954023","14.88888889","15.40229885","2.009423625","2.078714095","20.77777778","21.49425287"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00007","","","","1","","","","","","","3","0","7","30","29","30","5","1","","","1","","","","3","4","","7","3","3","0","0.3","16","0.3","16.3","7","","0.042857143","0.042857143","0.24137931","0.233333333","0","0","0.010344828","0.01","0.551724138","0.533333333","0","1.840490798","96.66666667","","0","0","0.333333333","0.344827586","17.77777778","18.3908046","","","18.11111111","18.73563218"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00008","","","","3","","","","","","","3","10","35","30","30","30","15","2","","","1","","","","3","4","","6","1","3","0.6","1","13.9","1.6","15.5","45","0.06","0.028571429","0.035555556","1.5","1.5","0.333333333","0.333333333","0.053333333","0.053333333","0.463333333","0.463333333","22.22222222","10.32258065","100","","0.666666667","0.666666667","1.777777778","1.777777778","15.44444444","15.44444444","","","17.22222222","17.22222222"
"","","GHP2015OHW-AT01","","","","","","","","","GHP2015OHW-AT01-00009","","","","3","1.573101997","1.136262059","18.5","50.4","2.426408052","3.996455908","3","17","40","30","30","30","24","6","2","3.836203098","1","65.81454468","5","36.70634921","6","7","6.152752876","8","1","1","2.4","1.5","16.5","3.9","20.4","57","0.141176471","0.0375","0.068421053","1.9","1.9","0.566666667","0.566666667","0.13","0.13","0.55","0.55","29.8245614","19.11764706","100","1.431547619","2.666666667","2.666666667","4.333333333","4.333333333","18.33333333","18.33333333","1.590608466","1.590608466","22.66666667","22.66666667"
