"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Content of maltose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001051","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root secondary defects estimating 1-18| CO_331:0000810","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of commercial storage roots per plant harvested|CO_331:2000036","Storage roots yield in kg per plant harvested|CO_331:0000681","Vine weight in kg per plant harvested|CO_331:0000990","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield adjusted in tons per ha|CO_331:0001004","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant planted|CO_331:0000991","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Biomass yield in tons per ha|CO_331:0001003"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00001","","","","5","3.146143","21.76","50.22","0.18","1.19","20.37","1","10","10","10","8","11","3","5","3","5","59.15","7","2","43.32935086","3","5","17.43","5","3","6","1.9","0.2","4","2.1","6.1","14","0.172727273","0.066666667","0.15","1.4","1.1","0.21","0.4","78.57142857","34.42622951","0.909916368","6.333333333","7","13.33333333","3.03305456","20.33333333","1.4","1.1","0.21","0.4","100","6.333333333","7","13.33333333","3.03305456","20.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00010","","","","7","8.4520741","17.53","50.21","0.57","2.12","22.77","1","10","10","9","9","48","25","5","3","4","56.45","6","2","34.91336387","3","5","18.53","7","3","3","6.7","0.6","11","7.3","18.3","73","0.139583333","0.024","0.1","8.111111111","5.333333333","0.811111111","1.222222222","65.75342466","39.89071038","2.548675563","24.81481481","27.03703704","40.74074074","9.439539121","67.77777778","7.3","4.8","0.73","1.1","90","22.33333333","24.33333333","36.66666667","8.495585209","61"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00011","","","","3","","","","","","","1","10","3","2","2","2","2","","","4","","7","","","3","5","","7","3","3","1.3","0.2","5.5","1.5","7","4","0.65","0.1","0.375","2","1","0.75","2.75","50","21.42857143","","21.66666667","25","91.66666667","","116.6666667","0.4","0.2","0.15","0.55","20","4.333333333","5","18.33333333","","23.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00012","","","","3","0.1601696","18.81","50.82","0","0.95","14.32","1","10","10","9","9","10","4","4","5","4","59.71","5","2","37.01298701","3","5","19.92","6","4","5","2.6","0.1","4.5","2.7","7.2","14","0.26","0.025","0.192857143","1.555555556","1.111111111","0.3","0.5","71.42857143","37.5","0.999350649","9.62962963","10","16.66666667","3.701298701","26.66666667","1.4","1","0.27","0.45","90","8.666666667","9","15","3.331168831","24"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00013","","","","5","7.1673431","20","50.34","1.02","2.35","17.8","3","10","10","10","10","44","19","3","5","5","56.31","5","3","39.72983711","3","3","18.14","6","3","5","8.5","0.6","5.5","9.1","14.6","63","0.193181818","0.031578947","0.144444444","6.3","4.4","0.91","0.55","69.84126984","62.32876712","3.615415177","28.33333333","30.33333333","18.33333333","12.05138392","48.66666667","6.3","4.4","0.91","0.55","100","28.33333333","30.33333333","18.33333333","12.05138392","48.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00014","","","","5","41.3609047","11.17","50.58","1.91","6.92","21.29","5","10","10","8","8","31","22","7","6","6","41.52","8","2","22.0838276","3","3","27.07","6","1","5","8.1","0.7","3.5","8.8","12.3","53","0.261290323","0.031818182","0.166037736","6.625","3.875","1.1","0.4375","58.49056604","71.54471545","1.943376829","33.75","36.66666667","14.58333333","8.097403453","51.25","5.3","3.1","0.88","0.35","80","27","29.33333333","11.66666667","6.477922763","41"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00015","","","","3","3.5046883","16.62","50.21","0.1","1.72","10.78","1","10","10","8","8","22","12","6","5","4","58.39","7","2","33.1009759","3","3","19.03","6","3","5","4.6","0.3","9","4.9","13.9","34","0.209090909","0.025","0.144117647","4.25","2.75","0.6125","1.125","64.70588235","35.25179856","1.621947819","19.16666667","20.41666667","37.5","6.758115913","57.91666667","3.4","2.2","0.49","0.9","80","15.33333333","16.33333333","30","5.406492731","46.33333333"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00016","","","","5","10.3854961","22.58","50.66","0.41","2.08","23.36","1","10","10","10","10","27","9","5","3","4","57.73","7","4","44.57165417","3","3","17.53","8","1","3","8.1","0.3","11","8.4","19.4","36","0.3","0.033333333","0.233333333","3.6","2.7","0.84","1.1","75","43.29896907","3.74401895","27","28","36.66666667","12.48006317","64.66666667","3.6","2.7","0.84","1.1","100","27","28","36.66666667","12.48006317","64.66666667"
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00017","","","","5","10.0939636","19.81","50.41","0","1.67","29.75","1","10","2","2","2","5","","2","8","5","55.23","7","3","39.29775838","3","3","20.21","6","1","4","3.8","","3","","","","0.76","","","","2.5","","1.5","","","","63.33333333","","50","","","","0.5","","0.3","20","12.66666667","","10","",""
"","","GHP2017KMD-PT01","","","","","","","","","GHP2017KMD-PT01-00018","","","","7","0","21.28","50.34","0.79","2.05","16.4","3","10","10","10","10","36","14","3","5","5","58.76","7","3","42.27254668","3","3","18.7","7","1","4","9.1","0.6","6","9.7","15.7","50","0.252777778","0.042857143","0.194","5","3.6","0.97","0.6","72","61.78343949","4.100437028","30.33333333","32.33333333","20","13.66812343","52.33333333","5","3.6","0.97","0.6","100","30.33333333","32.33333333","20","13.66812343","52.33333333"
